F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.1128478996202205e+18,0.005253155793355656,100035.38287796566,0.03497262440988015,1.417141648822896e-25,False
0.001,0.05361336110051615,1.0378456757577792e+18,0.005632786769328905,93293.33287873513,0.04021001956267731,1.8733778587839807e-25,False
0.001,0.05748784976988677,9.678983507599821e+17,0.006039852621324808,87005.67448459874,0.046231751277268036,2.476495278151724e-25,False
0.001,0.061642336972103286,9.026652413615081e+17,0.00647633599161972,81141.78322216876,0.053155279440527115,3.2737810121705865e-25,False
0.001,0.06609705742330142,8.418286252088919e+17,0.006944362802539549,75673.09860506728,0.0611156543790675,4.3277458310550655e-25,False
0.001,0.07087370814634027,7.850921933719118e+17,0.0074462126109109085,70572.98502810962,0.0702681511506432,5.721025294174015e-25,False
0.001,0.07599555414764668,7.321796071505331e+17,0.007984329710799674,65816.60203675441,0.08079129833911745,7.562858747783597e-25,False
0.001,0.0814875417310322,6.828331521482284e+17,0.008561335038613654,61380.78333995811,0.09289036043266576,9.997654178731398e-25,False
0.001,0.08737642000038418,6.368124830562568e+17,0.009180038938553904,57243.92397715873,0.10680134171247446,1.321631044699837e-24,False
0.001,0.09369087114301919,5.938934530352787e+17,0.009843454850589793,53385.87508982682,0.1227955897517815,1.7471184610788604e-24,False
0.001,0.10046165012825234,5.538670219927334e+17,0.010554813987625956,49787.84578506202,0.1411850883211013,2.3095877849447895e-24,False
0.001,0.10772173450159418,5.16538238438665e+17,0.011317581073347389,46432.31161325444,0.16232854294303345,3.0531391289130297e-24,False
0.001,0.11550648500415797,4.817252899610616e+17,0.012135471217394816,43302.92921404569,0.18663837780147446,4.036070246501862e-24,False
0.001,0.12385381779958553,4.492586176959756e+17,0.013012468010062176,40384.456714866166,0.21458878048693075,5.33544733695024e-24,False
0.001,0.1328043891473343,4.189800904793959e+17,0.013952842924647567,37662.67949434472,0.24672495149871776,7.053147380188012e-24,False
0.001,0.14240179342179007,3.9074223465851885e+17,0.014961176121958242,35124.340949015896,0.28367373892481784,9.323845748065912e-24,False
0.001,0.15269277544167076,3.6440751581116314e+17,0.016042378758299343,32757.077926119553,0.32615586573944033,1.2325575356318353e-23,False
0.001,0.1637274581438864,3.398476688748906e+17,0.017201716905599056,30549.36050801354,0.3749999882239262,1.6293685242036067e-23,False
0.001,0.17555958671075653,3.169430734231833e+17,0.018444837200174712,28490.43585491549,0.4311588597345275,2.1539292981601132e-23,False
0.001,0.18824679033962338,2.955821710459148e+17,0.019777794345064006,26570.275832455874,0.49572791510748426,2.8473677701244087e-23,False
0.001,0.2018508629298277,2.756609219964285e+17,0.021207080599873262,24779.528168958677,0.5699666382087649,3.764052620143417e-23,False
0.001,0.2164380640541529,2.5708229845878342e+17,0.022739657401775124,23109.47090455789,0.655323129423858,4.975856043558956e-23,False
0.001,0.23207944168063896,2.3975581196709222e+17,0.0243829892716679,21551.96991029107,0.7534623523010168,6.577788852823961e-23,False
0.001,0.24885117821660555,2.2359707267521418e+17,0.02614508017063885,20099.439270263905,0.8662986103269271,8.695449750469149e-23,False
0.001,0.26683496156031544,2.0852737833019533e+17,0.028034512483808102,18744.804333924145,0.9960328873267212,1.1494872829563821e-22,False
0.001,0.2861183829675108,1.944733309475236e+17,0.03006048882142664,17481.46725848874,1.1451957798501025,1.519554538978455e-22,False
