F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.158392544979726e+18,0.005206539677463452,114498.78573462005,0.02841393803514962,1.0626165611118752e-25,False
0.001,0.05361336110051615,1.0803207644526633e+18,0.00558280183624026,106781.95079017132,0.03266912402271107,1.404716557175255e-25,False
0.001,0.05748784976988677,1.0075107606359926e+18,0.005986255415979474,99585.20469363307,0.03756155387862826,1.8569526188615021e-25,False
0.001,0.061642336972103286,9.396079073899854e+17,0.006418865465136562,92873.49519733276,0.04318665932996179,2.4547820776247737e-25,False
0.001,0.06609705742330142,8.762814791898388e+17,0.006882739040759983,86614.13245777517,0.04965416367248246,3.2450774389291183e-25,False
0.001,0.07087370814634027,8.172230403042218e+17,0.007380135471057707,80776.62981750761,0.05709022203306089,4.289801396479167e-25,False
0.001,0.07599555414764668,7.621449425377979e+17,0.007913477359610895,75332.5553177545,0.06563988215132169,5.670864984752843e-25,False
0.001,0.0814875417310322,7.107789242208696e+17,0.008485362384831562,70255.39321860315,0.07546991368056509,7.496549770739962e-25,False
0.001,0.08737642000038418,6.628748036224376e+17,0.009098575952134228,65520.414852265974,0.08677206119629297,9.909997613464727e-25,False
0.001,0.09369087114301919,6.181992604228424e+17,0.009756104760444901,61104.558180400265,0.09976678436551827,1.310043362643917e-24,False
0.001,0.10046165012825234,5.765346993110742e+17,0.010461151349123943,56986.315468861736,0.11470755823259207,1.7318002273537973e-24,False
0.001,0.10772173450159418,5.3767819017181843e+17,0.011217149696154678,53145.62853280344,0.13188581750291592,2.2893379814618115e-24,False
0.001,0.11550648500415797,5.014404797003503e+17,0.012027781943569717,49563.791041904835,0.15163664126772672,3.0263700804405267e-24,False
0.001,0.12385381779958553,4.676450696312739e+17,0.012896996331577428,46223.35740990101,0.17434528905618576,4.000683139820778e-24,False
0.001,0.1328043891473343,4.361273570915625e+17,0.013829026428737857,43108.057824652955,0.20045471570698992,5.288667664503359e-24,False
0.001,0.14240179342179007,4.067338328909243e+17,0.014828411751850084,40202.71900490672,0.23047421164457604,6.991307406268724e-24,False
0.001,0.15269277544167076,3.793213338447163e+17,0.015900019875981518,37493.19029778164,0.2649893370971296,9.24209694192193e-24,False
0.001,0.1637274581438864,3.537563454877896e+17,0.01704907014232763,34966.27475704062,0.3046733440332335,1.2217508245638654e-23,False
0.001,0.17555958671075653,3.299143517830893e+17,0.018281159079372788,32609.66486645434,0.35030030861343114,1.6150826881632724e-23,False
0.001,0.18824679033962338,3.07679228657717e+17,0.01960228766116786,30411.88259519546,0.40276023031827823,2.1350442636581595e-23,False
0.001,0.2018508629298277,2.8694267841263434e+17,0.021018890535487698,28362.22349329883,0.46307639227644365,2.8224028659260746e-23,False
0.001,0.2164380640541529,2.6760370225125824e+17,0.022537867364226468,26450.704554900374,0.532425321423387,3.7310504860161267e-23,False
0.001,0.23207944168063896,2.4956810835786403e+17,0.024166616428676246,24668.015595319313,0.6121597378334276,4.9322291644688983e-23,False
0.001,0.24885117821660555,2.327480531298581e+17,0.025913070663365713,23005.47390516226,0.7038349408748271,6.520116686175655e-23,False
0.001,0.26683496156031544,2.170616133294592e+17,0.02778573629396435,21454.981960588906,0.8092391468761838,8.619210540255557e-23,False
0.001,0.2861183829675108,2.02432387070925e+17,0.02979373426744057,20008.98798376432,0.9304283700705881,1.1394089080455933e-22,False
0.001,0.30679536367065857,1.8878912169990406e+17,0.03194684467626227,18660.44916140473,1.069766527205172,1.506231520474216e-22,False
0.001,0.328966612328784,1.7606536675247402e+17,0.034255554393011034,17402.797342270227,1.2299715480964895,1.9911494260314198e-22,False
0.001,0.35274011553593215,1.6419915030357885e+17,0.036731108147417466,16229.907046531614,1.4141683915641212,2.6321823590154497e-22,False
0.001,0.3782316637773144,1.5313267712849853e+17,0.03938556329459207,15136.06563119894,1.6259500008712124,3.4795901706489027e-22,False
0.001,0.4055654153948436,1.4281204720722517e+17,0.04223184854120401,14115.945466300202,1.8694473876686322,4.599813426378723e-22,False
0.001,0.43487450130889166,1.3318699320070261e+17,0.04528382691563754,13164.577986292585,2.1494102115000318,6.080682643596543e-22,False
0.001,0.4663016734416099,1.242106356202879e+17,0.04855636328882696,12277.329490321625,2.471299426651489,8.038304597333467e-22,False
0.001,0.49999999999999994,1.1583925449797258e+17,0.05206539677463453,11449.878573462001,2.841393803514962,1.0626165611118762e-21,False
0.001,0.5361336110051615,1.0803207644526634e+17,0.05582801836240261,10678.195079017134,3.2669124022711076,1.4047165571752549e-21,False
0.001,0.5748784976988678,1.0075107606359925e+17,0.05986255415979475,9958.520469363306,3.756155387862827,1.856952618861503e-21,False
0.001,0.6164233697210328,9.396079073899853e+16,0.06418865465136563,9287.349519733272,4.318665932996179,2.4547820776247747e-21,False
0.001,0.6609705742330146,8.762814791898384e+16,0.06882739040759987,8661.413245777512,4.9654163672482525,3.245077438929126e-21,False
0.001,0.7087370814634026,8.172230403042219e+16,0.07380135471057707,8077.662981750761,5.7090222033060884,4.289801396479166e-21,False
0.001,0.7599555414764668,7.621449425377979e+16,0.07913477359610895,7533.25553177545,6.563988215132169,5.670864984752843e-21,False
0.001,0.8148754173103221,7.107789242208696e+16,0.08485362384831562,7025.539321860315,7.546991368056509,7.496549770739962e-21,False
0.001,0.8737642000038418,6.628748036224376e+16,0.09098575952134229,6552.041485226597,8.677206119629298,9.909997613464728e-21,False
0.001,0.9369087114301918,6.181992604228424e+16,0.09756104760444902,6110.455818040027,9.976678436551827,1.3100433626439169e-20,False
0.001,1.0046165012825232,5.7653469931107416e+16,0.10461151349123943,5698.631546886174,11.470755823259205,1.731800227353797e-20,False
0.001,1.0772173450159421,5.376781901718182e+16,0.11217149696154681,5314.562853280343,13.188581750291599,2.289337981461814e-20,False
0.001,1.15506485004158,5.014404797003501e+16,0.12027781943569721,4956.379104190482,15.163664126772682,3.026370080440531e-20,False
0.001,1.2385381779958555,4.6764506963127384e+16,0.1289699633157743,4622.3357409901,17.434528905618585,4.0006831398207826e-20,False
0.001,1.3280438914733432,4.361273570915623e+16,0.13829026428737862,4310.805782465294,20.045471570699,5.288667664503366e-20,False
0.001,1.4240179342179007,4.067338328909243e+16,0.14828411751850085,4020.271900490672,23.047421164457603,6.991307406268723e-20,False
0.001,1.5269277544167075,3.7932133384471624e+16,0.1590001987598152,3749.3190297781634,26.498933709712958,9.242096941921934e-20,False
0.001,1.637274581438864,3.537563454877896e+16,0.17049070142327627,3496.627475704063,30.467334403323346,1.221750824563865e-19,False
