F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,6.959064370264456e+17,0.005830798710730717,84993.08808018475,0.023340701590278116,2.418626783303473e-25,False
0.001,0.05361336110051615,6.490046722884399e+17,0.0062521743356566,79264.83840552061,0.026836134930913316,3.1972822676308886e-25,False
0.001,0.05748784976988677,6.052639295190464e+17,0.00670400160641874,73922.65358714611,0.030855033866255117,4.226618992842047e-25,False
0.001,0.061642336972103286,5.64471166417152e+17,0.007188481178867366,68940.51414586132,0.03547579103096086,5.587341565525945e-25,False
0.001,0.06609705742330142,5.26427699019711e+17,0.0077079727441376035,64294.15422828025,0.040788538905115496,7.386136726003346e-25,False
0.001,0.07087370814634027,4.909482339978145e+17,0.008265006521687721,59960.94341832005,0.046896907938209303,9.7640380663e-25,False
0.001,0.07599555414764668,4.5785996617276806e+17,0.008862295582907295,55919.77651420066,0.053920047964479724,1.290748369503064e-24,False
0.001,0.0814875417310322,4.2700173685656134e+17,0.009502749065318363,52150.970734105205,0.061994952339342005,1.7062933819615345e-24,False
0.001,0.08737642000038418,3.982232489173771e+17,0.010189486341730116,48636.16984983537,0.07127913013150768,2.2556194329702147e-24,False
0.001,0.09369087114301919,3.713843347470554e+17,0.010925852213359082,45358.254781537216,0.08195367849456649,2.9817961437229394e-24,False
0.001,0.10046165012825234,3.46354273565102e+17,0.011715433200913884,42301.26021804342,0.0942268151477048,3.941759018724679e-24,False
0.001,0.10772173450159418,3.2301115473412045e+17,0.01256207501299144,39450.2968567253,0.10833793987012297,5.21077344418923e-24,False
0.001,0.11550648500415797,3.0124128398565434e+17,0.013469901276865627,36791.47888411858,0.12456230423265313,6.888335831207796e-24,False
0.001,0.12385381779958553,2.809386296644197e+17,0.014443333622898012,34311.8563441123,0.14321638065435394,9.105974579726536e-24,False
0.001,0.1328043891473343,2.620043062938233e+17,0.015487113220393148,31999.352064295374,0.16466403551288838,1.2037562493826156e-23,False
0.001,0.14240179342179007,2.4434609294743584e+17,0.016606323869790312,29842.70283325633,0.18932362672136466,1.5912949187820156e-23,False
0.001,0.15269277544167076,2.27877984080617e+17,0.017806416763663777,27831.4045423362,0.21767616421695868,2.103598232482854e-23,False
0.001,0.1637274581438864,2.125197706345845e+17,0.01909323703713181,25955.661024643592,0.2502746925397945,2.7808330633594927e-23,False
0.001,0.17555958671075653,1.9819664937266778e+17,0.020473052236989937,24206.336342148963,0.2877550785186462,3.67609765346975e-23,False
0.001,0.18824679033962338,1.8483885854598998e+17,0.021952582848229433,22574.91028846904,0.33084841448803826,4.8595847539010784e-23,False
0.001,0.2018508629298277,1.723813381140643e+17,0.023539035026622447,21053.43689061466,0.3803952789738716,6.424085050639998e-23,False
0.001,0.2164380640541529,1.607634128653843e+17,0.025240135696800146,19634.50570758188,0.4373621330164821,8.492262369686488e-23,False
0.001,0.23207944168063896,1.4992849689462627e+17,0.027064170186771493,18311.205737288543,0.5028601719577755,1.1226271070058202e-22,False
0.001,0.24885117821660555,1.3982381799709891e+17,0.029020022582184075,17077.091756062513,0.5781670004153606,1.484046967134369e-22,False
0.001,0.26683496156031544,1.3040016063808466e+17,0.03111721899687536,15926.152926735745,0.6647515532356862,1.9618227521111339e-22,False
0.001,0.2861183829675108,1.2161162624518726e+17,0.033365973970466395,14852.783522447744,0.7643027485342406,2.5934142220125773e-22,False
0.001,0.30679536367065857,1.1341540965617286e+17,0.03577724021898075,13851.755623566707,0.8787624317289595,3.4283409750954403e-22,False
0.001,0.328966612328784,1.0577159063347824e+17,0.03836276198080251,12918.19365474677,1.010363253173097,4.532065005950816e-22,False
0.001,0.35274011553593215,9.864293942994365e+16,0.041135132217798354,12047.550638102413,1.161672218228582,5.991123218889321e-22,False
0.001,0.3782316637773144,9.19947354587642e+16,0.04410785395020598,11235.58604683938,1.3356407592675168,7.919912308580039e-22,False
0.001,0.4055654153948436,8.579459818447987e+16,0.04729540602402445,10478.34515147681,1.5356623063061716,1.0469657972954555e-21,False
0.001,0.43487450130889166,8.001232941134696e+16,0.05071331363123099,9772.139758064834,1.7656384792441404,1.3840271684814046e-21,False
0.001,0.4663016734416099,7.461976620094486e+16,0.054378223926298305,9113.530244581842,2.0300551928543706,1.8296024646104944e-21,False
0.001,0.49999999999999994,6.959064370264455e+16,0.058307987107307176,8499.308808018475,2.334070159027812,2.418626783303474e-21,False
