F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.0193082925384733e+18,0.005356654929837829,111586.04091082796,0.024518959495490465,1.1842614171546157e-25,False
0.001,0.05361336110051615,9.506103251272005e+17,0.005743765500885111,104065.51521888607,0.028190845199813897,1.5655238978773794e-25,False
0.001,0.05748784976988677,8.86542370795373e+17,0.0061588514775128105,97051.8477882598,0.03241262147466071,2.069530459511037e-25,False
0.001,0.061642336972103286,8.267923821575496e+17,0.006603934564566836,90510.87806853192,0.03726663827967002,2.7357974724314477e-25,False
0.001,0.06609705742330142,7.710693427776809e+17,0.007081182569886033,84410.7478160519,0.042847578057007646,3.6165632526764873e-25,False
0.001,0.07087370814634027,7.191018497535095e+17,0.007592919962759623,78721.7459261654,0.04926430260689511,4.780883779743204e-25,False
0.001,0.07599555414764668,6.706367918300374e+17,0.008141639195414985,73416.16372323234,0.05664197654566854,6.320046994476334e-25,False
0.001,0.0814875417310322,6.25438116603718e+17,0.00873001284267799,68468.16000361291,0.06512450876653689,8.354730182237324e-25,False
0.001,0.08737642000038418,5.83285680812965e+17,0.009360906618932772,63853.635174305215,0.07487735952616693,1.1044461612230598e-24,False
0.001,0.09369087114301919,5.439741781152287e+17,0.01003739333578109,59550.11387421713,0.08609076791212172,1.4600128267861086e-24,False
0.001,0.10046165012825234,5.073121391283111e+17,0.010762767868382922,55536.63550637178,0.09898346264612488,1.9300510330167613e-24,False
0.001,0.10772173450159418,4.7312099886554854e+17,0.011540563203372926,51793.65214787577,0.11380692860607261,2.551413879184225e-24,False
0.001,0.11550648500415797,4.4123422702274266e+17,0.012374567646515244,48302.933340414216,0.13085031228956265,3.37281899366096e-24,False
0.001,0.12385381779958553,4.114965168808402e+17,0.013268843273907724,45047.47729754735,0.15044606190490298,4.458668214048208e-24,False
0.001,0.1328043891473343,3.83763028873859e+17,0.014227745716603396,42011.42809633854,0.17297641210520298,5.8940969795078645e-24,False
0.001,0.14240179342179007,3.578986851378026e+17,0.015255945375011602,39179.998449989056,0.19888083985675875,7.791649330260782e-24,False
0.001,0.15269277544167076,3.3377751160461843e+17,0.016358450166404928,36539.397685339165,0.22866463687588517,1.0300101864089503e-23,False
0.001,0.1637274581438864,3.112820244368199e+17,0.01754062991632532,34076.76457444428,0.2629087658481321,1.3616128487531565e-23,False
0.001,0.17555958671075653,2.9030265781436256e+17,0.018808242512689317,31780.104693078283,0.3022811926852751,1.7999720530468473e-23,False
0.001,0.18824679033962338,2.707372302867686e+17,0.020167461949977837,29638.232001063927,0.34754991586706596,2.3794571230115072e-23,False
0.001,0.2018508629298277,2.524904470913334e+17,0.021624908400101634,27640.714359893565,0.3995979470180537,3.1455022819195067e-23,False
0.001,0.2164380640541529,2.354734360134181e+17,0.02318768045640468,25777.82272227982,0.459440534930581,4.158168899063186e-23,False
0.001,0.23207944168063896,2.196033145282054e+17,0.024863389707852117,24040.483746160466,0.5282449690057135,5.496854569943315e-23,False
0.001,0.24885117821660555,2.048027861156528e+17,0.02666019781179865,22420.235602360903,0.607353348397979,7.266518243141604e-23,False
0.001,0.26683496156031544,1.9099976378246608e+17,0.028586856245903028,20909.186760672103,0.6983087609988143,9.605909471687954e-23,False
