F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.511547697347874e+18,0.0049075849543877125,266441.9027852987,0.007937753903324305,1.7434543366639118e-26,False
0.001,0.05361336110051615,1.4096744415202516e+18,0.0052622424858209714,248484.6102875031,0.009126488078092802,2.30474402810757e-26,False
0.001,0.05748784976988677,1.3146671021775206e+18,0.00564253013181595,231737.579203098,0.010493243511201233,3.0467359674367415e-26,False
0.001,0.061642336972103286,1.22606293952802e+18,0.006050300109551832,216119.24196342446,0.012064680131415517,4.027605643866083e-26,False
0.001,0.06609705742330142,1.1434304008933102e+18,0.006487538490797896,201553.52838095406,0.013871450378331061,5.324257630420589e-26,False
0.001,0.07087370814634027,1.0663670188011223e+18,0.006956374875212909,187969.49514419973,0.015948797108798724,7.038355246687229e-26,False
0.001,0.07599555414764668,9.944974507398083e+17,0.007459092762706953,175300.98028342982,0.01833724104402051,9.304291418117609e-26,False
0.001,0.0814875417310322,9.274716510267753e+17,0.007998140675385092,163486.28092423597,0.021083371166657063,1.229972568292901e-25,False
0.001,0.08737642000038418,8.649631658868765e+17,0.008576144083242941,152467.8527594328,0.024240753485430873,1.6259513495108277e-25,False
0.001,0.09369087114301919,8.066675434368067e+17,0.00919591819169918,142192.029775545,0.027870975893586194,2.1494119943222335e-25,False
0.001,0.10046165012825234,7.523008508312311e+17,0.009860481653247474,132608.76286879173,0.03204484950221239,2.841396160300992e-25,False
0.001,0.10772173450159418,7.015982913483e+17,0.01057307127001143,123671.37607747842,0.03684378988163635,3.756158503395258e-25,False
0.001,0.11550648500415797,6.543129146789729e+17,0.011337157758812316,115336.33924350973,0.042361405153375706,4.96542048579877e-25,False
0.001,0.12385381779958553,6.102144141385248e+17,0.012156462655534463,107563.05599575561,0.048705321909971414,6.563993659613576e-25,False
0.001,0.1328043891473343,5.690880049419716e+17,0.013034976441122175,100313.66602262891,0.05599928457908825,8.6772133169133e-25,False
0.001,0.14240179342179007,5.3073337807997696e+17,0.013976977977492085,93552.86067082924,0.06438556918207526,1.1470765337645093e-24,False
0.001,0.15269277544167076,4.949637247000239e+17,0.014987055348024903,87247.7109721149,0.0740277585697559,1.5163676704230862e-24,False
0.001,0.1637274581438864,4.616048262410269e+17,0.016070128204141623,81367.50726049418,0.08511393326919155,2.004548819735853e-24,False
0.001,0.17555958671075653,4.304942058898289e+17,0.01723147172680468,75883.60959868158,0.09786034018206902,2.6498955689178337e-24,False
0.001,0.18824679033962338,4.014803372266884e+17,0.01847674231965028,70769.30828531006,0.112515610696336,3.503005991690283e-24,False
0.001,0.2018508629298277,3.744219062054133e+17,0.019812005158891983,65999.69376349053,0.1293656104895606,4.6307677637384355e-24,False
0.001,0.2164380640541529,3.4918712287356346e+17,0.0212437637341793,61551.535297098846,0.14873901562427105,6.121602455875854e-24,False
0.001,0.23207944168063896,3.2565307948040736e+17,0.022778991524292094,57403.167823875025,0.17101372370257883,8.092398180972997e-24,False
0.001,0.24885117821660555,3.0370515184625517e+17,0.024425165961949376,53534.38643424501,0.19662422513605557,1.0697674145199842e-23,False
0.001,0.26683496156031544,2.8323644107749414e+17,0.026190304853160557,49926.347961916545,0.2260700783148391,1.414169564542081e-23,False
0.001,0.2861183829675108,2.6414725290816294e+17,0.028083005428501957,46561.4792069396,0.2599256539926002,1.8694489382764626e-23,False
0.001,0.30679536367065857,2.463446121321611e+17,0.030112486216520618,43423.391344225325,0.2988513389613235,2.4713014764637854e-23,False
0.001,0.328966612328784,2.2974180976110205e+17,0.03228863194321272,40496.80010064437,0.34360641755476173,3.266915112002332e-23,False
0.001,0.35274011553593215,2.1425798070221174e+17,0.03462204167626249,37767.45131192165,0.3950638822471427,4.31866951510139e-23,False
0.001,0.3782316637773144,1.9981770989932304e+17,0.037124080448531604,35222.05149674719,0.4542274622426395,5.709026938638356e-23,False
0.001,0.4055654153948436,1.863506650186489e+17,0.03980693461223476,32848.20310995954,0.522251202215236,7.546997627887097e-23,False
0.001,0.43487450130889166,1.7379125389030576e+17,0.04268367119340753,30634.344159448065,0.600461973101845,9.97668671167946e-23,False
0.001,0.4663016734416099,1.6207830503713056e+17,0.04576830153575716,28569.691892673687,0.6903853540441733,1.3188592689523317e-22,False
0.001,0.49999999999999994,1.511547697347874e+17,0.049075849543877136,26644.19027852987,0.7937753903324306,1.7434543366639124e-22,False
0.001,0.5361336110051615,1.4096744415202517e+17,0.05262242485820972,24848.46102875031,0.9126488078092804,2.30474402810757e-22,False
0.001,0.5748784976988678,1.3146671021775205e+17,0.05642530131815951,23173.7579203098,1.0493243511201236,3.046735967436743e-22,False
0.001,0.6164233697210328,1.2260629395280198e+17,0.060503001095518316,21611.924196342447,1.206468013141552,4.0276056438660846e-22,False
0.001,0.6609705742330146,1.1434304008933096e+17,0.064875384907979,20155.352838095394,1.387145037833108,5.324257630420601e-22,False
0.001,0.7087370814634026,1.0663670188011224e+17,0.06956374875212909,18796.949514419972,1.5948797108798722,7.038355246687224e-22,False
0.001,0.7599555414764668,9.944974507398083e+16,0.07459092762706954,17530.09802834298,1.8337241044020514,9.30429141811761e-22,False
0.001,0.8148754173103221,9.274716510267754e+16,0.07998140675385092,16348.6280924236,2.108337116665706,1.2299725682929007e-21,False
0.001,0.8737642000038418,8.649631658868765e+16,0.08576144083242941,15246.78527594328,2.4240753485430875,1.625951349510828e-21,False
0.001,0.9369087114301918,8.066675434368067e+16,0.0919591819169918,14219.202977554502,2.7870975893586194,2.149411994322234e-21,False
0.001,1.0046165012825232,7.523008508312312e+16,0.09860481653247473,13260.876286879175,3.2044849502212376,2.8413961603009893e-21,False
0.001,1.0772173450159421,7.015982913482997e+16,0.10573071270011433,12367.137607747836,3.6843789881636377,3.7561585033952656e-21,False
0.001,1.15506485004158,6.543129146789728e+16,0.11337157758812319,11533.63392435097,4.236140515337573,4.965420485798776e-21,False
0.001,1.2385381779958555,6.102144141385248e+16,0.12156462655534465,10756.305599575562,4.870532190997143,6.563993659613578e-21,False
0.001,1.3280438914733432,5.690880049419714e+16,0.13034976441122179,10031.366602262888,5.5999284579088275,8.677213316913309e-21,False
0.001,1.4240179342179007,5.30733378079977e+16,0.13976977977492086,9355.286067082923,6.438556918207526,1.1470765337645091e-20,False
0.001,1.5269277544167075,4.949637247000238e+16,0.14987055348024905,8724.771097211491,7.402775856975591,1.5163676704230875e-20,False
0.001,1.637274581438864,4.616048262410269e+16,0.1607012820414162,8136.750726049418,8.511393326919151,2.004548819735852e-20,False
0.001,1.7555958671075653,4.304942058898289e+16,0.17231471726804679,7588.360959868157,9.786034018206902,2.6498955689178344e-20,False
0.001,1.8824679033962335,4.014803372266884e+16,0.1847674231965028,7076.930828531007,11.251561069633597,3.503005991690282e-20,False
0.001,2.0185086292982777,3.744219062054132e+16,0.19812005158891988,6599.969376349052,12.936561048956069,4.6307677637384404e-20,False
0.001,2.1643806405415296,3.4918712287356336e+16,0.21243763734179305,6155.1535297098835,14.873901562427111,6.12160245587586e-20,False
0.001,2.3207944168063896,3.2565307948040736e+16,0.22778991524292092,5740.316782387502,17.101372370257884,8.092398180972995e-20,False
0.001,2.4885117821660554,3.037051518462551e+16,0.2442516596194938,5353.4386434245,19.662422513605556,1.0697674145199847e-19,False
0.001,2.6683496156031548,2.8323644107749404e+16,0.2619030485316057,4992.634796191653,22.607007831483923,1.414169564542083e-19,False
0.001,2.861183829675108,2.6414725290816292e+16,0.28083005428501956,4656.147920693959,25.99256539926002,1.8694489382764632e-19,False
0.001,3.067953636706586,2.4634461213216108e+16,0.3011248621652062,4342.339134422532,29.885133896132345,2.4713014764637856e-19,False
0.001,3.289666123287841,2.297418097611019e+16,0.3228863194321273,4049.680010064434,34.3606417554762,3.266915112002338e-19,False
0.001,3.527401155359322,2.1425798070221172e+16,0.34622041676262494,3776.7451311921645,39.50638822471428,4.3186695151013925e-19,False
0.001,3.7823166377731448,1.9981770989932296e+16,0.3712408044853162,3522.2051496747176,45.42274622426398,5.709026938638364e-19,False
0.001,4.055654153948436,1.863506650186489e+16,0.3980693461223475,3284.8203109959536,52.225120221523596,7.546997627887098e-19,False
0.001,4.348745013088917,1.7379125389030574e+16,0.42683671193407535,3063.434415944806,60.046197310184496,9.976686711679462e-19,False
0.001,4.663016734416099,1.6207830503713052e+16,0.45768301535757155,2856.9691892673677,69.03853540441735,1.3188592689523324e-18,False
0.001,4.999999999999999,1.5115476973478742e+16,0.49075849543877126,2664.4190278529877,79.37753903324304,1.7434543366639116e-18,False
