F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,7.070014924940087e+17,0.005810339360262772,88686.14050728096,0.021971285432283463,2.2058270789666594e-25,False
0.001,0.05361336110051615,6.593519581513443e+17,0.0062302364447662005,82708.99145924574,0.025261639123648275,2.9159735820866508e-25,False
0.001,0.05748784976988677,6.149138429459484e+17,0.006680478325096926,77134.68225222823,0.029044746297627724,3.854745466000227e-25,False
0.001,0.061642336972103286,5.7347070797621414e+17,0.007163257935351858,71936.06282920174,0.033394400235249956,5.095746648368556e-25,False
0.001,0.06609705742330142,5.3482070159810694e+17,0.007680926686883139,67087.81295611514,0.03839544527759042,6.736277176636245e-25,False
0.001,0.07087370814634027,4.9877557629282605e+17,0.008236005921009143,62566.318897948375,0.0441454317993206,8.90496198726804e-25,False
0.001,0.07599555414764668,4.6515977179429645e+17,0.008831199189381047,58349.558406389515,0.05075651902612249,1.1771835676495434e-24,False
0.001,0.0814875417310322,4.3380956001079565e+17,0.009469405421817434,54416.993458956786,0.05835766281232261,1.5561673973739746e-24,False
0.001,0.08737642000038418,4.045722475760051e+17,0.01015373304574167,50749.470227145386,0.0670971310535302,2.057161716489942e-24,False
0.001,0.09369087114301919,3.7730543214544896e+17,0.010887515125991839,47329.1257863861,0.07714539579991501,2.7194467220770626e-24,False
0.001,0.10046165012825234,3.518763088160654e+17,0.011674325598742643,44139.3011134406,0.08869845848367938,3.594948522974728e-24,False
0.001,0.10772173450159418,3.2816102329077594e+17,0.01251799667860778,41164.45994748092,0.10198167312260605,4.7523103791374715e-24,False
0.001,0.11550648500415797,3.0604406863759994e+17,0.013422637523705216,38390.113119660964,0.11725414207508154,6.282274640464017e-24,False
0.001,0.12385381779958553,2.8541772270518352e+17,0.014392654249594917,35802.74798262122,0.134813770090185,8.304797353194015e-24,False
0.001,0.1328043891473343,2.66181523454641e+17,0.015432771389568214,33389.762596209,0.15500307523713225,1.097845335085893e-23,False
0.001,0.14240179342179007,2.4824177965227245e+17,0.016548054905812706,31139.404348860662,0.1782158700620544,1.4512869231015184e-23,False
0.001,0.15269277544167076,2.3151111453995606e+17,0.01774393686353009,29040.712715697344,0.20490494329474088,1.9185159018785502e-23,False
0.001,0.1637274581438864,2.159080402606275e+17,0.019026241888183977,27083.465874533427,0.23559089194470473,2.536165114679671e-23,False
0.001,0.17555958671075653,2.013565609660582e+17,0.02040121553473948,25258.13091978735,0.27087227606541625,3.3526610243991207e-23,False
0.001,0.18824679033962338,1.87785802673841e+17,0.02187555470706895,23555.817431808224,0.3114372942655191,4.4320205650114675e-23,False
0.001,0.2018508629298277,1.75129668070776e+17,0.023456440275683676,21968.234175474438,0.3580772077095238,5.858870355736321e-23,False
0.001,0.2164380640541529,1.6332651458135306e+17,0.025151572052658396,20487.648717161792,0.411701774456513,7.745081806775644e-23,False
0.001,0.23207944168063896,1.5231885413334083e+17,0.026969206294096507,19106.84976339279,0.47335699519903685,1.023854233861235e-22,False
0.001,0.24885117821660555,1.4205307315817066e+17,0.02891819591279418,17819.112037734973,0.544245516550545,1.3534750417723269e-22,False
0.001,0.26683496156031544,1.3247917146235688e+17,0.031008033596962095,16618.163524878713,0.625750089867843,1.789214351140614e-22,False
0.001,0.2861183829675108,1.2355051869810997e+17,0.033248898045017315,15498.154922354535,0.7194605431963143,2.3652360741987245e-22,False
0.001,0.30679536367065857,1.1522362724701518e+17,0.03565170354163518,14453.631151102487,0.827204792452617,3.126702892319544e-22,False
0.001,0.328966612328784,1.0745794041059091e+17,0.03822815311652476,13479.504786133744,0.9510844967489291,4.133317212384956e-22,False
0.001,0.35274011553593215,1.0021563487609469e+17,0.040990795544841294,12571.03127787671,1.0935160533514163,5.464002102714574e-22,False
0.001,0.3782316637773144,9.346143649547266e+16,0.043953086466860095,11723.785843521462,1.2572777319205142,7.223089214883299e-22,False
0.001,0.4055654153948436,8.716244848019128e+16,0.04712945392459963,10933.641915810225,1.4455638674334115,9.548498852195427e-22,False
0.001,0.43487450130889166,8.128799117516262e+16,0.05053536863459396,10196.751044307277,1.6620471688757694,1.2622553538797772e-21,False
0.001,0.4663016734416099,7.58094526313703e+16,0.054187419339083685,9509.524151255935,1.910950359095918,1.6686272921652269e-21,False
0.001,0.49999999999999994,7.070014924940086e+16,0.05810339360262772,8868.614050728094,2.1971285432283465,2.20582707896666e-21,False
0.001,0.5361336110051615,6.593519581513442e+16,0.06230236444766202,8270.899145924572,2.526163912364828,2.9159735820866525e-21,False
0.001,0.5748784976988678,6.149138429459483e+16,0.06680478325096927,7713.468225222821,2.904474629762773,3.854745466000228e-21,False
0.001,0.6164233697210328,5.734707079762141e+16,0.07163257935351858,7193.606282920174,3.3394400235249964,5.0957466483685574e-21,False
0.001,0.6609705742330146,5.3482070159810664e+16,0.07680926686883144,6708.781295611509,3.8395445277590476,6.736277176636262e-21,False
0.001,0.7087370814634026,4.987755762928261e+16,0.08236005921009143,6256.631889794839,4.41454317993206,8.904961987268035e-21,False
0.001,0.7599555414764668,4.651597717942965e+16,0.08831199189381046,5834.955840638952,5.0756519026122495,1.1771835676495433e-20,False
0.001,0.8148754173103221,4.338095600107957e+16,0.09469405421817433,5441.699345895679,5.835766281232261,1.5561673973739744e-20,False
0.001,0.8737642000038418,4.045722475760051e+16,0.10153733045741671,5074.947022714538,6.709713105353021,2.0571617164899422e-20,False
0.001,0.9369087114301918,3.77305432145449e+16,0.1088751512599184,4732.91257863861,7.714539579991501,2.719446722077062e-20,False
0.001,1.0046165012825232,3.518763088160654e+16,0.11674325598742642,4413.93011134406,8.869845848367937,3.5949485229747276e-20,False
0.001,1.0772173450159421,3.2816102329077584e+16,0.12517996678607785,4116.445994748091,10.19816731226061,4.752310379137476e-20,False
0.001,1.15506485004158,3.0604406863759984e+16,0.13422637523705222,3839.011311966095,11.725414207508162,6.282274640464026e-20,False
0.001,1.2385381779958555,2.854177227051835e+16,0.1439265424959492,3580.2747982621217,13.481377009018502,8.304797353194015e-20,False
0.001,1.3280438914733432,2.661815234546409e+16,0.15432771389568217,3338.9762596208993,15.50030752371323,1.0978453350858942e-19,False
0.001,1.4240179342179007,2.4824177965227244e+16,0.16548054905812706,3113.940434886066,17.821587006205434,1.4512869231015182e-19,False
