F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,5.7555936027214816e+17,0.006082087394442092,70235.10118711271,0.025439024208034147,3.853690790669981e-25,False
0.001,0.05361336110051615,5.367685857197704e+17,0.006521622954462426,65501.49043578293,0.029248696039279605,5.094352429651231e-25,False
0.001,0.05748784976988677,5.005921795440304e+17,0.006992922528380182,61086.90920625039,0.033628892877423766,6.734434101543852e-25,False
0.001,0.061642336972103286,4.668539420663285e+17,0.007498281613239623,56969.85597650049,0.038665054833299066,8.90252555046367e-25,False
0.001,0.06609705742330142,4.353895488766828e+17,0.008040161595279535,53130.278355139366,0.044455417272022624,1.1768614850428105e-24,False
0.001,0.07087370814634027,4.060457504803694e+17,0.00862120173828448,49549.47541484003,0.051112926991833396,1.5557416231229326e-24,False
0.001,0.07599555414764668,3.786796258857014e+17,0.009244232038300867,46210.00660818765,0.058767445364114185,2.0565988679875322e-24,False
0.001,0.0814875417310322,3.531578864974907e+17,0.0099122870073277,43095.60682229151,0.06756828140904451,2.7187026694813735e-24,False
0.001,0.08737642000038418,3.293562269257641e+17,0.010628620453116291,40191.10715843238,0.07768710421705169,3.593964929231866e-24,False
0.001,0.09369087114301919,3.0715871954779686e+17,0.011396721327065108,37482.36105089618,0.08932129152574812,4.751010126095403e-24,False
0.001,0.10046165012825234,2.8645724987463968e+17,0.012220330717397906,34956.17536515102,0.1026977797696894,6.28055578246429e-24,False
0.001,0.10772173450159418,2.6715098997205174e+17,0.013103460070391676,32600.246139776602,0.11807749070201648,8.302525124075804e-24,False
0.001,0.11550648500415797,2.4914590737110096e+17,0.014050410728402078,30403.098659172425,0.13576042093365456,1.097544959768883e-23,False
0.001,0.12385381779958553,2.323543070765454e+17,0.015065794879847737,28354.031565164933,0.15609149366661051,1.450889844609979e-23,False
0.001,0.1328043891473343,2.166944044423177e+17,0.016154558023191684,26443.06473530528,0.17946728676526683,1.917990987481414e-23,False
0.001,0.14240179342179007,2.0208992683377155e+17,0.017322003054332326,24660.890673995353,0.20634376840341703,2.5354712087386733e-23,False
0.001,0.15269277544167076,1.8846974213656035e+17,0.018573816094723257,22998.829179689244,0.23724519117855897,3.3517437215825527e-23,False
0.001,0.1637274581438864,1.757675123027736e+17,0.01991609418601954,21448.78506737365,0.2727743181820214,4.430807944672642e-23,False
0.001,0.17555958671075653,1.6392137024690422e+17,0.021355374986139118,20003.2087404115,0.31362418049462687,5.857267343012957e-23,False
0.001,0.18824679033962338,1.5287361851794634e+17,0.022898668611376138,18655.05941971144,0.36059159544957936,7.742962718295112e-23,False
0.001,0.2018508629298277,1.425704482799853e+17,0.024553491779655278,17397.770851128225,0.4145927093497843,1.0235741028352695e-22,False
0.001,0.2164380640541529,1.329616772325553e+17,0.02632790442122427,16225.219324069507,0.47668086781581476,1.3531047250421414e-22,False
0.001,0.23207944168063896,1.2400050519428746e+17,0.02823054893509946,15131.693845541513,0.5480671623434966,1.7887248142170196e-22,False
0.001,0.24885117821660555,1.156432861594026e+17,0.030270692282465584,14111.868324364237,0.6301440538522217,2.3645889351957307e-22,False
0.001,0.26683496156031544,1.0784931571683282e+17,0.032458271122048694,13160.775630077385,0.724512534024879,3.125847412642706e-22,False
0.001,0.2861183829675108,1.0058063279658333e+17,0.03480394020729705,12273.783400189288,0.8330133542484447,4.132186318598464e-22,False
0.001,0.30679536367065857,9.380183477772576e+16,0.037319124281091805,11446.571477936235,0.9577629313068814,5.4625071276836655e-22,False
0.001,0.328966612328784,8.747990505749384e+16,0.04001607372074432,10675.110870661336,1.1011946302027287,7.221112945874024e-22,False
0.001,0.35274011553593215,8.158405224164507e+16,0.042907924204302804,9955.644126328205,1.2661062293700098,9.54588634087161e-22,False
0.001,0.3782316637773144,7.608556017285366e+16,0.04600876068877727,9284.667032591955,1.4557144941348188,1.2619099952577993e-21,False
0.001,0.4055654153948436,7.095764806668791e+16,0.04933368601189299,8658.911549291548,1.6737179229333852,1.668170748391859e-21,False
0.001,0.43487450130889166,6.617534007395479e+16,0.052898894451502025,8075.329891235065,1.9243688902152276,2.205223554966568e-21,False
0.001,0.4663016734416099,6.17153436341055e+16,0.05672175060092938,7531.079683751929,2.212556593250735,2.9151757588768432e-21,False
0.001,0.49999999999999994,5.755593602721481e+16,0.06082087394442092,7023.5101187112705,2.543902420803415,3.853690790669982e-21,False
0.001,0.5361336110051615,5.367685857197703e+16,0.06521622954462428,6550.149043578293,2.924869603927961,5.094352429651235e-21,False
0.001,0.5748784976988678,5.005921795440303e+16,0.06992922528380183,6108.6909206250375,3.3628892877423775,6.7344341015438565e-21,False
0.001,0.6164233697210328,4.668539420663285e+16,0.07498281613239623,5696.9855976500485,3.866505483329906,8.902525550463669e-21,False
0.001,0.6609705742330146,4.353895488766826e+16,0.0804016159527954,5313.0278355139335,4.445541727202268,1.1768614850428134e-20,False
0.001,0.7087370814634026,4.0604575048036936e+16,0.0862120173828448,4954.9475414840035,5.1112926991833385,1.5557416231229326e-20,False
0.001,0.7599555414764668,3.7867962588570136e+16,0.09244232038300867,4621.000660818765,5.876744536411418,2.0565988679875326e-20,False
0.001,0.8148754173103221,3.5315788649749068e+16,0.099122870073277,4309.560682229151,6.756828140904452,2.7187026694813745e-20,False
0.001,0.8737642000038418,3.2935622692576412e+16,0.10628620453116291,4019.1107158432387,7.76871042170517,3.593964929231865e-20,False
0.001,0.9369087114301918,3.0715871954779684e+16,0.11396721327065108,3748.2361050896175,8.932129152574813,4.7510101260954047e-20,False
0.001,1.0046165012825232,2.8645724987463972e+16,0.12220330717397906,3495.617536515103,10.269777976968937,6.280555782464284e-20,False
0.001,1.0772173450159421,2.6715098997205164e+16,0.13103460070391681,3260.024613977659,11.807749070201655,8.302525124075817e-20,False
0.001,1.15506485004158,2.491459073711009e+16,0.14050410728402082,3040.3098659172415,13.576042093365466,1.0975449597688847e-19,False
0.001,1.2385381779958555,2.323543070765454e+16,0.1506579487984774,2835.4031565164933,15.609149366661057,1.4508898446099798e-19,False
0.001,1.3280438914733432,2.1669440444231764e+16,0.1615455802319169,2644.3064735305275,17.946728676526693,1.917990987481416e-19,False
0.001,1.4240179342179007,2.020899268337715e+16,0.17322003054332327,2466.089067399535,20.6343768403417,2.5354712087386746e-19,False
0.001,1.5269277544167075,1.8846974213656036e+16,0.18573816094723258,2299.8829179689246,23.724519117855902,3.3517437215825536e-19,False
0.001,1.637274581438864,1.7576751230277362e+16,0.19916094186019537,2144.878506737365,27.27743181820214,4.430807944672641e-19,False
0.001,1.7555958671075653,1.639213702469042e+16,0.21355374986139117,2000.3208740411496,31.36241804946268,5.857267343012955e-19,False
0.001,1.8824679033962335,1.5287361851794632e+16,0.22898668611376136,1865.505941971144,36.05915954495793,7.742962718295112e-19,False
0.001,2.0185086292982777,1.4257044827998528e+16,0.24553491779655284,1739.777085112822,41.45927093497845,1.0235741028352702e-18,False
0.001,2.1643806405415296,1.3296167723255526e+16,0.2632790442122428,1622.5219324069503,47.6680867815815,1.3531047250421427e-18,False
0.001,2.3207944168063896,1.2400050519428744e+16,0.2823054893509946,1513.169384554151,54.80671623434966,1.7887248142170207e-18,False
0.001,2.4885117821660554,1.1564328615940256e+16,0.30270692282465583,1411.1868324364232,63.014405385222155,2.364588935195731e-18,False
0.001,2.6683496156031548,1.0784931571683278e+16,0.32458271122048704,1316.0775630077383,72.45125340248795,3.1258474126427096e-18,False
0.001,2.861183829675108,1.0058063279658332e+16,0.3480394020729705,1227.3783400189286,83.30133542484447,4.132186318598464e-18,False
0.001,3.067953636706586,9380183477772576.0,0.37319124281091803,1144.6571477936234,95.77629313068815,5.462507127683668e-18,False
0.001,3.289666123287841,8747990505749381.0,0.40016073720744333,1067.5110870661333,110.11946302027293,7.221112945874032e-18,False
0.001,3.527401155359322,8158405224164505.0,0.42907924204302816,995.5644126328202,126.61062293700104,9.545886340871621e-18,False
0.001,3.7823166377731448,7608556017285363.0,0.4600876068877729,928.4667032591951,145.571449413482,1.2619099952578013e-17,False
0.001,4.055654153948436,7095764806668791.0,0.49333686011892985,865.8911549291546,167.37179229333847,1.6681707483918585e-17,False
0.001,4.348745013088917,6617534007395479.0,0.5289889445150203,807.5329891235065,192.43688902152275,2.2052235549665682e-17,False
0.001,4.663016734416099,6171534363410550.0,0.5672175060092938,753.107968375193,221.25565932507354,2.915175758876844e-17,False
0.001,4.999999999999999,5755593602721482.0,0.6082087394442092,702.3510118711272,254.39024208034144,3.853690790669979e-17,False
0.001,5.3613361100516155,5367685857197703.0,0.6521622954462427,655.0149043578292,292.4869603927961,5.094352429651235e-17,False
0.001,5.748784976988677,5005921795440304.0,0.6992922528380181,610.8690920625038,336.28892877423755,6.73443410154385e-17,False
0.001,6.164233697210329,4668539420663285.0,0.7498281613239623,569.6985597650049,386.6505483329906,8.902525550463667e-17,False
0.001,6.609705742330143,4353895488766827.5,0.8040161595279536,531.3027835513936,444.55417272022635,1.176861485042811e-16,False
0.001,7.087370814634023,4060457504803696.5,0.8621201738284475,495.49475414840066,511.1292699183334,1.5557416231229294e-16,False
0.001,7.599555414764665,3786796258857015.0,0.9244232038300864,462.1000660818766,587.6744536411412,2.0565988679875291e-16,False
0.001,8.148754173103224,3531578864974905.0,0.9912287007327704,430.95606822291484,675.6828140904458,2.71870266948138e-16,False
0.001,8.737642000038422,3293562269257640.0,1.0628620453116295,401.91107158432374,776.8710421705176,3.5939649292318707e-16,False
0.001,9.369087114301923,3071587195477967.0,1.1396721327065114,374.82361050896156,893.2129152574821,4.751010126095413e-16,False
0.001,10.046165012825238,2864572498746395.0,1.2220330717397914,349.56175365151,1026.9777976968949,6.280555782464301e-16,False
0.001,10.772173450159421,2671509899720516.5,1.3103460070391681,326.0024613977659,1180.7749070201655,8.302525124075816e-16,False
0.001,11.5506485004158,2491459073711008.5,1.405041072840208,304.0309865917241,1357.6042093365465,1.0975449597688848e-15,False
0.001,12.385381779958555,2323543070765454.0,1.506579487984774,283.5403156516494,1560.9149366661059,1.45088984460998e-15,False
0.001,13.280438914733432,2166944044423176.5,1.6154558023191687,264.4306473530528,1794.6728676526689,1.9179909874814153e-15,False
0.001,14.240179342179008,2020899268337715.0,1.732200305433233,246.60890673995345,2063.437684034171,2.5354712087386756e-15,False
0.001,15.269277544167075,1884697421365603.8,1.8573816094723257,229.98829179689247,2372.4519117855893,3.3517437215825516e-15,False
0.001,16.37274581438864,1757675123027736.0,1.9916094186019537,214.4878506737365,2727.743181820214,4.430807944672643e-15,False
0.001,17.555958671075654,1639213702469042.0,2.1355374986139117,200.03208740411495,3136.2418049462685,5.857267343012956e-15,False
0.001,18.824679033962333,1528736185179463.5,2.289866861137613,186.5505941971144,3605.915954495792,7.742962718295108e-15,False
0.001,20.185086292982767,1425704482799853.2,2.455349177965527,173.97770851128226,4145.927093497841,1.0235741028352684e-14,False
0.001,21.643806405415283,1329616772325553.5,2.632790442122426,162.25219324069514,4766.808678158144,1.353104725042139e-14,False
0.001,23.207944168063907,1240005051942874.2,2.8230548935099473,151.3169384554151,5480.671623434971,1.7887248142170223e-14,False
0.001,24.885117821660565,1156432861594025.5,3.0270692282465594,141.11868324364232,6301.44053852222,2.3645889351957333e-14,False
0.001,26.68349615603156,1078493157168327.4,3.245827112204872,131.60775630077376,7245.125340248802,3.1258474126427154e-14,False
0.001,28.611838296751095,1005806327965832.6,3.4803940207297073,122.73783400189278,8330.133542484456,4.132186318598474e-14,False
0.001,30.679536367065875,938018347777257.0,3.7319124281091827,114.46571477936229,9577.629313068826,5.4625071276836813e-14,False
0.001,32.89666123287841,874799050574938.1,4.0016073720744325,106.75110870661332,11011.946302027292,7.221112945874031e-14,False
0.001,35.27401155359322,815840522416450.5,4.290792420430281,99.55644126328203,12661.062293700104,9.545886340871622e-14,False
