F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,7.288668842721827e+17,0.0057711447590677156,74501.58748071724,0.03264469672019523,3.083705247168242e-25,False
0.001,0.05361336110051615,6.797436957045821e+17,0.006188209358624975,69480.4298326299,0.03753346841668199,4.0764768559723042e-25,False
0.001,0.05748784976988677,6.339312456368623e+17,0.006635414058191086,64797.681404795374,0.04315436787362009,5.388862496679214e-25,False
0.001,0.061642336972103286,5.912064013747864e+17,0.0071149369990648,60430.53454838475,0.04961703634466201,7.123759077785632e-25,False
0.001,0.06609705742330142,5.513610686209101e+17,0.007629113730765679,56357.718773765664,0.057047534628178846,9.417190256683237e-25,False
0.001,0.07087370814634027,5.142011779369691e+17,0.008180448586488932,52559.3971511171,0.06559080200894327,1.2448971303242964e-24,False
0.001,0.07599555414764668,4.7954573951531155e+17,0.00877162688063276,49017.069693296195,0.07541348344353035,1.6456807421829629e-24,False
0.001,0.0814875417310322,4.472259616555683e+17,0.009405527987807168,45713.48325037608,0.08670718013651035,2.1754930903297726e-24,False
0.001,0.08737642000038418,4.170844286530496e+17,0.010085239367026336,42632.547476990745,0.09969218691316435,2.87587383431045e-24,False
0.001,0.09369087114301919,3.8897433409470957e+17,0.01081407159939048,39759.25646319934,0.11462178928990932,3.8017359593717586e-24,False
0.001,0.10046165012825234,3.6275876582839795e+17,0.011595574512499162,37079.615647168,0.1317872040610785,5.0256712002965e-24,False
0.001,0.10772173450159418,3.383100391227901e+17,0.012433554470131185,34580.57365369228,0.15152325977313397,6.643641558332608e-24,False
0.001,0.11550648500415797,3.155090747701071e+17,0.013332092911401602,32249.95872657511,0.1742149278896291,8.782503151618849e-24,False
0.001,0.12385381779958553,2.942448191026299e+17,0.014295566229692119,30076.419445249652,0.20030483204381314,1.1609952302657539e-23,False
0.001,0.1328043891473343,2.744137030981603e+17,0.015328667088176559,28049.369436903384,0.23030188185434272,1.5347673680610916e-23,False
0.001,0.14240179342179007,2.5591913793996243e+17,0.01643642727576015,26158.93581481999,0.2647911997152934,2.028872137162865e-23,False
0.001,0.15269277544167076,2.386710445742774e+17,0.01762424221475404,24395.91109180445,0.30444553419241754,2.6820495630918036e-23,False
0.001,0.1637274581438864,2.2258541497408525e+17,0.01889789723965138,22751.708334482297,0.35003838265533266,3.545511679676392e-23,False
0.001,0.17555958671075653,2.075839029722223e+17,0.020263595774997537,21218.31934004904,0.40245907911567813,4.6869577817311265e-23,False
0.001,0.18824679033962338,1.935934426709761e+17,0.021727989549596732,19788.27563176669,0.46273014157458175,6.195882352793438e-23,False
0.001,0.2018508629298277,1.8054589256959702e+17,0.023298210994215425,18454.612083233274,0.5320272172567599,8.19059183321216e-23,False
0.001,0.2164380640541529,1.6837770367642445e+17,0.024981907980577745,17210.83299425486,0.6117020147829508,1.0827480374612966e-22,False
0.001,0.23207944168063896,1.5702960998914445e+17,0.02678728107085163,16050.88045309023,0.7033086705955872,1.4313291841409262e-22,False
0.001,0.24885117821660555,1.464463398356428e+17,0.02872312345905179,14969.104830974402,0.808634063941158,1.8921329455161994e-22,False
0.001,0.26683496156031544,1.3657634666951794e+17,0.030798863798897,13960.237265212505,0.929732671733246,2.5012883990460928e-22,False
0.001,0.2861183829675108,1.2737155800907533e+17,0.0330246121267176,13019.363996821034,1.0689666431751261,3.306556058879747e-22,False
0.001,0.30679536367065857,1.1878714129699384e+17,0.03541120910308391,12141.902437726189,1.2290518758374365,4.371072513942798e-22,False
0.001,0.328966612328784,1.1078128554026638e+17,0.03797027881299046,11323.578850952968,1.413110991950803,5.778300619109841e-22,False
0.001,0.35274011553593215,1.0331499766687808e+17,0.040714285381762715,10560.407535094784,1.6247342482688691,7.638573356608029e-22,False
0.001,0.3782316637773144,9.635191260736256e+16,0.04365659368243821,9848.67141168017,1.8680495676094133,1.0097744435676423e-21,False
0.001,0.4055654153948436,8.98581161762258e+16,0.04681153443030146,9184.903920886009,2.1478030581086403,1.3348623876214566e-21,False
0.001,0.43487450130889166,8.380197989056939e+16,0.05019447398161994,8565.872137419103,2.4694515907970573,1.764609517736413e-21,False
0.001,0.4663016734416099,7.81540069213853e+16,0.05382188917654106,7988.561024330775,2.839269241314984,2.332709932470559e-21,False
0.001,0.49999999999999994,7.288668842721826e+16,0.057711447590677166,7450.1587480717235,3.2644696720195245,3.0837052471682443e-21,False
0.001,0.5361336110051615,6.797436957045821e+16,0.06188209358624976,6948.04298326299,3.7533468416682005,4.076476855972307e-21,False
0.001,0.5748784976988678,6.339312456368622e+16,0.06635414058191087,6479.768140479536,4.31543678736201,5.388862496679218e-21,False
0.001,0.6164233697210328,5.912064013747864e+16,0.071149369990648,6043.053454838475,4.9617036344662,7.123759077785632e-21,False
0.001,0.6609705742330146,5.513610686209098e+16,0.07629113730765684,5635.771877376564,5.704753462817891,9.417190256683256e-21,False
0.001,0.7087370814634026,5.142011779369691e+16,0.08180448586488931,5255.939715111711,6.559080200894326,1.2448971303242963e-20,False
0.001,0.7599555414764668,4.795457395153116e+16,0.0877162688063276,4901.70696932962,7.541348344353036,1.645680742182963e-20,False
0.001,0.8148754173103221,4.472259616555683e+16,0.09405527987807168,4571.3483250376075,8.670718013651035,2.1754930903297725e-20,False
0.001,0.8737642000038418,4.170844286530496e+16,0.10085239367026336,4263.254747699074,9.969218691316435,2.8758738343104495e-20,False
0.001,0.9369087114301918,3.889743340947096e+16,0.10814071599390479,3975.925646319934,11.46217892899093,3.801735959371757e-20,False
0.001,1.0046165012825232,3.62758765828398e+16,0.1159557451249916,3707.9615647168002,13.178720406107846,5.025671200296497e-20,False
0.001,1.0772173450159421,3.383100391227899e+16,0.12433554470131189,3458.0573653692263,15.152325977313405,6.643641558332617e-20,False
0.001,1.15506485004158,3.1550907477010696e+16,0.13332092911401608,3224.99587265751,17.42149278896292,8.782503151618858e-20,False
0.001,1.2385381779958555,2.9424481910262988e+16,0.14295566229692122,3007.641944524965,20.030483204381326,1.1609952302657546e-19,False
0.001,1.3280438914733432,2.7441370309816016e+16,0.15328667088176562,2804.9369436903376,23.030188185434284,1.534767368061094e-19,False
0.001,1.4240179342179007,2.5591913793996244e+16,0.1643642727576015,2615.893581481999,26.479119971529343,2.028872137162865e-19,False
0.001,1.5269277544167075,2.386710445742774e+16,0.1762424221475404,2439.5911091804455,30.44455341924175,2.6820495630918043e-19,False
0.001,1.637274581438864,2.225854149740853e+16,0.1889789723965138,2275.17083344823,35.003838265533254,3.5455116796763895e-19,False
0.001,1.7555958671075653,2.0758390297222228e+16,0.2026359577499754,2121.8319340049043,40.245907911567805,4.686957781731126e-19,False
0.001,1.8824679033962335,1.935934426709761e+16,0.21727989549596732,1978.827563176669,46.273014157458164,6.195882352793436e-19,False
0.001,2.0185086292982777,1.80545892569597e+16,0.23298210994215432,1845.4612083233271,53.20272172567602,8.190591833212167e-19,False
0.001,2.1643806405415296,1.683777036764244e+16,0.2498190798057775,1721.0832994254856,61.17020147829511,1.0827480374612977e-18,False
0.001,2.3207944168063896,1.5702960998914444e+16,0.26787281070851626,1605.088045309023,70.33086705955871,1.4313291841409262e-18,False
0.001,2.4885117821660554,1.464463398356428e+16,0.2872312345905179,1496.9104830974402,80.86340639411581,1.8921329455162005e-18,False
0.001,2.6683496156031548,1.3657634666951788e+16,0.3079886379889701,1396.0237265212502,92.97326717332464,2.5012883990460967e-18,False
0.001,2.861183829675108,1.2737155800907532e+16,0.33024612126717595,1301.936399682103,106.89666431751262,3.306556058879747e-18,False
0.001,3.067953636706586,1.1878714129699384e+16,0.35411209103083907,1214.190243772619,122.90518758374367,4.3710725139427985e-18,False
0.001,3.289666123287841,1.1078128554026632e+16,0.37970278812990477,1132.3578850952963,141.31109919508037,5.77830061910985e-18,False
