F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,9.34714846354858e+17,0.005460785231379949,104890.02625194145,0.02425065116872481,1.3929059130149414e-25,False
0.001,0.05361336110051615,8.717181940919752e+17,0.005855421010046778,97820.7895372294,0.02788235582419162,1.8413396423560936e-25,False
0.001,0.05748784976988677,8.129673053491724e+17,0.006278576020143738,91227.9957171792,0.03205793365703311,2.4341426415322414e-25,False
0.001,0.061642336972103286,7.581760298752708e+17,0.006732311267300157,85079.53413528937,0.03685883348017033,3.2177933190772634e-25,False
0.001,0.06609705742330142,7.070775029883098e+17,0.0072188367002967374,79345.45828583605,0.04237870163602611,4.253733395747312e-25,False
0.001,0.07087370814634027,6.594228457927272e+17,0.007740521974773356,73997.83995735356,0.04872520866189454,5.623185210442515e-25,False
0.001,0.07599555414764668,6.149799529975548e+17,0.008299907994800085,69010.6332063568,0.05602214951122758,7.433519915129564e-25,False
0.001,0.0814875417310322,5.735323624316049e+17,0.00889971928852556,64359.54749877863,0.06441185829775176,9.826675853751471e-25,False
0.001,0.08737642000038418,5.348782007495547e+17,0.009542877278178992,60021.92940125051,0.07405798466440774,1.2990287163711609e-24,False
0.001,0.09369087114301919,4.9882920019390944e+17,0.010232514509058422,55976.65224599456,0.08514868593296104,1.717239513210044e-24,False
0.001,0.10046165012825234,4.652097816239197e+17,0.010971989906808399,52204.013231932644,0.09790029730034674,2.27008957428413e-24,False
0.001,0.10772173450159418,4.338561993452792e+17,0.01176490513729875,48685.63746083626,0.11256155167259177,3.000924818949924e-24,False
0.001,0.11550648500415797,4.046157435754409e+17,0.01261512214878631,45404.38844111897,0.1294184314483861,3.967046001622873e-24,False
0.001,0.12385381779958553,3.773459966600988e+17,0.013526781981799997,42344.284623373336,0.14879974689118422,5.244201347402908e-24,False
0.001,0.1328043891473343,3.519141394181925e+17,0.014504324938363978,39490.42156113364,0.17108354990155156,6.932525551972896e-24,False
0.001,0.14240179342179007,3.2819630423693434e+17,0.015552512208794595,36828.89931774249,0.19670450829678654,9.164390789945147e-24,False
0.001,0.15269277544167076,3.060769717660684e+17,0.016676449061405814,34346.754765751786,0.22616238444050227,1.2114785285851585e-23,False
0.001,0.1637274581438864,2.8544840827291622e+17,0.017881609708070276,32031.898449117296,0.26003178360629947,1.6015033174197992e-23,False
0.001,0.17555958671075653,2.662101409178095e+17,0.01917386396674534,29873.055700670215,0.2989733622270931,2.117093134702084e-23,False
0.001,0.18824679033962338,2.4826846839420272e+17,0.020559505850825863,27859.711728073893,0.3437467146581815,2.798672529897619e-23,False
0.001,0.2018508629298277,2.3153600455000432e+17,0.022045284224570035,25982.0604008034,0.39522518982323357,3.6996803783531864e-23,False
0.001,0.2164380640541529,2.1593125276730246e+17,0.023638435673907714,24230.95648871123,0.4544129267566609,4.890759728317444e-23,False
0.001,0.23207944168063896,2.0137820902747277e+17,0.025346719752730753,22597.871119553758,0.5224644413376299,6.46529653212337e-23,False
0.001,0.24885117821660555,1.8780599172836976e+17,0.027178456776334788,21074.850238531493,0.6007071462745099,8.546741522848602e-23,False
0.001,0.26683496156031544,1.751484964506e+17,0.02914256834608814,19654.4758675171,0.6906672436145284,1.1298289304356765e-22,False
0.001,0.2861183829675108,1.633440739913933e+17,0.03124862080270591,18329.829975281926,0.7940994948378761,1.493567353870283e-22,False
0.001,0.30679536367065857,1.523352300979137e+17,0.03350687181977146,17094.460782748287,0.9130214492316562,1.974408143086651e-22,False
0.001,0.328966612328784,1.4206834543753971e+17,0.03592832036444234,15942.351339154997,1.0497527982022758,2.6100513682126485e-22,False
0.001,0.35274011553593215,1.3249341444121096e+17,0.03852476026867751,14867.890216084133,1.2069606231714145,3.4503343032503585e-22,False
0.001,0.3782316637773144,1.2356380174785888e+17,0.0413088376719085,13865.844176612341,1.3877114196609437,4.561138891430514e-22,False
0.001,0.4055654153948436,1.152360150636678e+17,0.04429411261493273,12931.33268646987,1.5955309123484944,6.029557184450733e-22,False
0.001,0.43487450130889166,1.0746949332986176e+17,0.047495125085026325,12059.804143062183,1.834472827846012,7.970719749154391e-22,False
0.001,0.4663016734416099,1.0022640916727294e+17,0.050927465833953994,11247.013706575912,2.109197966683019,1.0536822419298016e-21,False
0.001,0.49999999999999994,9.347148463548578e+16,0.05460785231379949,10489.002625194144,2.4250651168724815,1.3929059130149422e-21,False
0.001,0.5361336110051615,8.717181940919752e+16,0.05855421010046778,9782.078953722941,2.788235582419163,1.8413396423560943e-21,False
0.001,0.5748784976988678,8.129673053491723e+16,0.06278576020143739,9122.79957171792,3.205793365703312,2.434142641532242e-21,False
0.001,0.6164233697210328,7.581760298752707e+16,0.06732311267300158,8507.953413528938,3.6858833480170343,3.217793319077265e-21,False
0.001,0.6609705742330146,7.070775029883093e+16,0.07218836700296742,7934.545828583598,4.237870163602616,4.2537333957473226e-21,False
0.001,0.7087370814634026,6.594228457927271e+16,0.07740521974773355,7399.783995735355,4.872520866189453,5.623185210442516e-21,False
0.001,0.7599555414764668,6.149799529975549e+16,0.08299907994800086,6901.06332063568,5.602214951122758,7.433519915129562e-21,False
0.001,0.8148754173103221,5.735323624316049e+16,0.08899719288525561,6435.954749877862,6.441185829775176,9.826675853751476e-21,False
0.001,0.8737642000038418,5.3487820074955464e+16,0.09542877278178992,6002.192940125051,7.405798466440776,1.2990287163711615e-20,False
0.001,0.9369087114301918,4.988292001939094e+16,0.10232514509058423,5597.665224599456,8.514868593296105,1.7172395132100445e-20,False
0.001,1.0046165012825232,4.6520978162391976e+16,0.10971989906808399,5220.401323193265,9.790029730034673,2.270089574284129e-20,False
0.001,1.0772173450159421,4.338561993452791e+16,0.11764905137298753,4868.563746083625,11.256155167259184,3.000924818949928e-20,False
0.001,1.15506485004158,4.046157435754407e+16,0.12615122148786315,4540.438844111895,12.941843144838618,3.967046001622879e-20,False
0.001,1.2385381779958555,3.773459966600988e+16,0.13526781981799998,4234.428462337333,14.879974689118427,5.2442013474029114e-20,False
0.001,1.3280438914733432,3.5191413941819236e+16,0.1450432493836398,3949.0421561133626,17.108354990155163,6.932525551972904e-20,False
0.001,1.4240179342179007,3.281963042369343e+16,0.15552512208794594,3682.8899317742494,19.670450829678657,9.164390789945149e-20,False
0.001,1.5269277544167075,3.0607697176606844e+16,0.16676449061405815,3434.675476575178,22.616238444050225,1.2114785285851582e-19,False
0.001,1.637274581438864,2.8544840827291624e+16,0.17881609708070276,3203.18984491173,26.00317836062995,1.6015033174197988e-19,False
0.001,1.7555958671075653,2.6621014091780948e+16,0.1917386396674534,2987.305570067021,29.897336222709306,2.117093134702084e-19,False
0.001,1.8824679033962335,2.482684683942027e+16,0.2055950585082586,2785.971172807389,34.374671465818146,2.7986725298976184e-19,False
0.001,2.0185086292982777,2.3153600455000428e+16,0.22045284224570041,2598.20604008034,39.52251898232338,3.6996803783531903e-19,False
0.001,2.1643806405415296,2.159312527673024e+16,0.2363843567390772,2423.095648871122,45.441292675666105,4.890759728317449e-19,False
