F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.2728323856667087e+18,0.005098669449627898,162393.76340525429,0.01635463189905266,5.0658811766396204e-26,False
0.001,0.05361336110051615,1.187047742894126e+18,0.00546713612670141,151448.96726470193,0.018803852433090754,6.696796780639416e-26,False
0.001,0.05748784976988677,1.1070446979332339e+18,0.005862230866930399,141241.81375306824,0.02161986087537282,8.852771227242072e-26,False
0.001,0.061642336972103286,1.0324335904418572e+18,0.0062858780064666275,131722.58822596783,0.02485758628098571,1.1702842563247399e-25,False
0.001,0.06609705742330142,9.628510218807355e+17,0.006740140947889758,122844.9266396578,0.028580183715266112,1.5470469138376394e-25,False
0.001,0.07087370814634027,8.979580855559018e+17,0.007227232210151782,114565.58973176843,0.0328602661563797,2.0451049740093594e-25,False
0.001,0.07599555414764668,8.374387159502829e+17,0.007749524204802978,106844.2524214971,0.037781320883929013,2.703508418075519e-25,False
0.001,0.0814875417310322,7.809981493048198e+17,0.008309560790985849,99643.30740352377,0.043439337981663946,3.573879023078329e-25,False
0.001,0.08737642000038418,7.283614879512758e+17,0.008910069665476299,92927.6819790398,0.049944682719864665,4.724457740246813e-25,False
0.001,0.09369087114301919,6.792723614042017e+17,0.009553975648118721,86664.66723175197,0.05742424834008482,6.245455091021095e-25,False
0.001,0.10046165012825234,6.334916776908268e+17,0.010244414927362538,80823.75871685243,0.06602393123446934,8.25612407571743e-25,False
0.001,0.10772173450159418,5.907964588371309e+17,0.010984750335284118,75376.50788701836,0.07591147680049021,1.091411014253194e-24,False
0.001,0.11550648500415797,5.509787548382627e+17,0.011778587726492068,70296.38353180276,0.08727975148233655,1.442781129630341e-24,False
0.001,0.12385381779958553,5.138446308237129e+17,0.012629793540690538,65558.64255554571,0.10035050482339235,1.9072717434886476e-24,False
0.001,0.1328043891473343,4.7921322248416723e+17,0.013542513634440168,61140.20946442262,0.11537869491238956,2.5213009990241867e-24,False
0.001,0.14240179342179007,4.469158551594274e+17,0.014521193473838085,57019.56397566165,0.13265746159538105,3.3330115382785806e-24,False
0.001,0.15269277544167076,4.167952222968583e+17,0.015570599786466797,53176.63620152393,0.15252384446099587,4.406045100762515e-24,False
0.001,0.1637274581438864,3.8870461927898566e+17,0.016695843778069284,49592.708897532604,0.17536535713398615,5.824532320695118e-24,False
0.001,0.17555958671075653,3.625072288885498e+17,0.01790240602702869,46250.32629884415,0.2016275461152228,7.699688945297207e-24,False
0.001,0.18824679033962338,3.3807545493082304e+17,0.01919616317790292,43133.209100743064,0.23182268161085698,1.0178535647177377e-23,False
0.001,0.2018508629298277,3.152903007675527e+17,0.020583416564026825,40226.17516916673,0.2665397498739449,1.345542510313208e-23,False
0.001,0.2164380640541529,2.940407897356367e+17,0.022070922898590317,37515.06559507557,0.3064559419691309,1.778728011393306e-23,False
0.001,0.23207944168063896,2.742234246276398e+17,0.023665927183675474,34986.675732511,0.35234986306021104,2.3513737501899657e-23,False
0.001,0.24885117821660555,2.5574168360151533e+17,0.02537619799753829,32628.690884457697,0.40511671988091175,3.1083777157989944e-23,False
0.001,0.26683496156031544,2.385055500643227e+17,0.027210065332004305,30429.626323263255,0.46578578263566306,4.109092407489532e-23,False
0.001,0.2861183829675108,2.2243107424021072e+17,0.029176461164267656,28378.771353481043,0.5355404619421628,5.43197833630975e-23,False
0.001,0.30679536367065857,2.0743996428725043e+17,0.03128496296070136,26466.13714469006,0.6157413924365365,7.180755680343902e-23,False
0.001,0.328966612328784,1.9345920497162534e+17,0.03354584032456711,24682.408080208254,0.7079529733098507,9.492536410927787e-23,False
0.001,0.35274011553593215,1.8042070204190464e+17,0.035970105014825456,23018.896384739644,0.8139738834756273,1.2548574484917477e-22,False
0.001,0.3782316637773144,1.6826095057130048e+17,0.03856956457966648,21467.499809966244,0.9358721665971637,1.6588476966203306e-22,False
0.001,0.4055654153948436,1.5692072565254678e+17,0.041356879865986754,20020.662171989403,1.076025570343125,2.1928990292005107e-22,False
0.001,0.43487450130889166,1.463447939389087e+17,0.044345626684916276,18671.33654841559,1.237167926728846,2.898883461131361e-22,False
0.001,0.4663016734416099,1.364816446263614e+17,0.047550361933742034,17412.95095583537,1.422442478238204,3.8321533318771676e-22,False
0.001,0.49999999999999994,1.2728323856667086e+17,0.05098669449627899,16239.376340525427,1.6354631899052663,5.065881176639623e-22,False
0.001,0.5361336110051615,1.1870477428941259e+17,0.05467136126701411,15144.89672647019,1.8803852433090757,6.696796780639419e-22,False
0.001,0.5748784976988678,1.1070446979332338e+17,0.058622308669304,14124.18137530682,2.1619860875372825,8.852771227242076e-22,False
0.001,0.6164233697210328,1.0324335904418571e+17,0.06285878006466628,13172.258822596781,2.4857586280985715,1.17028425632474e-21,False
0.001,0.6609705742330146,9.62851021880735e+16,0.06740140947889763,12284.492663965775,2.8580183715266143,1.5470469138376425e-21,False
0.001,0.7087370814634026,8.979580855559018e+16,0.07227232210151782,11456.558973176841,3.2860266156379687,2.0451049740093592e-21,False
0.001,0.7599555414764668,8.374387159502829e+16,0.07749524204802978,10684.42524214971,3.778132088392901,2.7035084180755186e-21,False
0.001,0.8148754173103221,7.809981493048198e+16,0.0830956079098585,9964.330740352376,4.343933798166395,3.5738790230783295e-21,False
0.001,0.8737642000038418,7.283614879512757e+16,0.089100696654763,9292.768197903979,4.9944682719864675,4.7244577402468146e-21,False
0.001,0.9369087114301918,6.792723614042018e+16,0.09553975648118722,8666.4667231752,5.742424834008482,6.245455091021094e-21,False
0.001,1.0046165012825232,6.334916776908268e+16,0.10244414927362537,8082.3758716852435,6.602393123446932,8.256124075717428e-21,False
0.001,1.0772173450159421,5.907964588371307e+16,0.10984750335284121,7537.650788701835,7.591147680049025,1.0914110142531951e-20,False
0.001,1.15506485004158,5.509787548382626e+16,0.11778587726492071,7029.638353180274,8.727975148233659,1.4427811296303426e-20,False
0.001,1.2385381779958555,5.138446308237128e+16,0.1262979354069054,6555.864255554569,10.035050482339237,1.9072717434886488e-20,False
0.001,1.3280438914733432,4.79213222484167e+16,0.1354251363444017,6114.02094644226,11.537869491238963,2.5213009990241907e-20,False
0.001,1.4240179342179007,4.469158551594274e+16,0.14521193473838084,5701.956397566165,13.265746159538105,3.333011538278582e-20,False
0.001,1.5269277544167075,4.167952222968583e+16,0.155705997864668,5317.663620152393,15.252384446099583,4.406045100762512e-20,False
0.001,1.637274581438864,3.887046192789857e+16,0.16695843778069283,4959.27088975326,17.536535713398614,5.824532320695118e-20,False
0.001,1.7555958671075653,3.6250722888854984e+16,0.1790240602702869,4625.032629884415,20.162754611522278,7.699688945297208e-20,False
0.001,1.8824679033962335,3.3807545493082304e+16,0.1919616317790292,4313.320910074306,23.182268161085695,1.0178535647177376e-19,False
