F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,6.32875178720258e+17,0.005955125130936944,67082.1459934411,0.032324166305085424,4.0499332505186913e-25,False
0.001,0.05361336110051615,5.902215098338286e+17,0.0063854854808736185,62561.03386959194,0.037164936329671744,5.353773412401436e-25,False
0.001,0.05748784976988677,5.504425554734959e+17,0.0068469467777636074,58344.62957125593,0.042730645528551534,7.077373373416842e-25,False
0.001,0.061642336972103286,5.133445695015347e+17,0.007341756600645117,54412.396810814964,0.04912985861431309,9.355871085377553e-25,False
0.001,0.06609705742330142,4.7874686362145696e+17,0.007872324954849692,50745.18337770388,0.05648739862470819,1.2367910967504112e-24,False
0.001,0.07087370814634027,4.464809273232149e+17,0.008441236010099228,47325.12785624934,0.06494678172057874,1.634965042850802e-24,False
0.001,0.07599555414764668,4.163896071411539e+17,0.009051260686882601,44135.57263041444,0.07467301661180518,2.1613275664479986e-24,False
0.001,0.0814875417310322,3.8832634122722925e+17,0.009705370152414858,41160.98275173195,0.08585582321687434,2.857147845401554e-24,False
0.001,0.08737642000038418,3.621544455114293e+17,0.010406750291911786,38386.870275267705,0.09871333333923259,3.776981304087369e-24,False
0.001,0.09369087114301919,3.3774644797259565e+17,0.011158817225663371,35799.72369508664,0.11349634554581119,4.9929470028599765e-24,False
0.001,0.10046165012825234,3.1498346777716205e+17,0.011965233947483004,33386.94213553232,0.13049321724337506,6.600382095190733e-24,False
0.001,0.10772173450159418,2.937546362618641e+17,0.012829928165571216,31136.773977793837,0.15003548937752698,8.725316687231058e-24,False
0.001,0.11550648500415797,2.7395655694027734e+17,0.01375711143268905,29038.259622836882,0.1725043534697343,1.153435516224803e-23,False
0.001,0.12385381779958553,2.5549280190310602e+17,0.014751299658815945,27081.178111921537,0.19833808713839068,1.524773870999724e-23,False
0.001,0.1328043891473343,2.382734421594082e+17,0.0158173351062004,25255.997344718624,0.22804060314117036,2.0156613221803673e-23,False
0.001,0.14240179342179007,2.2221460963124938e+17,0.01696040997393187,23553.827652558302,0.26219127869627956,2.6645856431616706e-23,False
0.001,0.15269277544167076,2.0723808866845136e+17,0.0181860916869041,21966.37850068641,0.3014562568133247,3.52242540530723e-23,False
0.001,0.1637274581438864,1.932709350938792e+17,0.019500350012341693,20485.918108643746,0.3466014400775365,4.6564390856777584e-23,False
0.001,0.17555958671075653,1.8024512092380134e+17,0.020909586135962596,19105.235792096726,0.39850743034407654,6.155538432682957e-23,False
0.001,0.18824679033962338,1.680972030329078e+17,0.022420663839394183,17817.606842702487,0.458186705756078,8.137259545127689e-23,False
0.001,0.2018508629298277,1.5676801415019792e+17,0.02404094293069451,16616.759774953698,0.5268033701412947,1.0756978228452262e-22,False
0.001,0.2164380640541529,1.4620237468071056e+17,0.025778315090804523,15496.845780476278,0.6056958600190563,1.422009215334425e-22,False
0.001,0.23207944168063896,1.3634882394950517e+17,0.027641242310523763,14452.410241005278,0.6964030521403581,1.8798124952484685e-22,False
0.001,0.24885117821660555,1.2715936955889947e+17,0.02963879810521952,13478.366161290847,0.8006942808147107,2.4850014888695504e-22,False
0.001,0.26683496156031544,1.185892536381899e+17,0.03178071170800856,12569.969392537385,0.9206038505416722,3.2850257221360024e-22,False
0.001,0.2861183829675108,1.1059673484735896e+17,0.03407741545665729,11722.7955257,1.0584707171503793,4.342610675860914e-22,False
0.001,0.30679536367065857,1.0314288507300299e+17,0.036540095605001564,10932.718342095453,1.2169841114673066,5.740675744188415e-22,False
0.001,0.328966612328784,9.619139982627387e+16,0.039180746806366656,10195.889716369784,1.3992359954474345,7.588835486243516e-22,False
0.001,0.35274011553593215,8.9708421419365e+16,0.042012230534352615,9508.720873938664,1.6087813739780021,1.003199389820451e-21,False
0.001,0.3782316637773144,8.366237405931013e+16,0.04504833772552755,8867.864911613535,1.8497076387967881,1.3261705535196657e-21,False
0.001,0.4055654153948436,7.802381005590846e+16,0.04830385594913429,8270.200496279047,2.1267142971472373,1.7531194245816195e-21,False
0.001,0.43487450130889166,7.276526639472088e+16,0.05179464143096504,7712.816662225108,2.4452046403574137,2.3175207055295275e-21,False
0.001,0.4663016734416099,6.786113097656578e+16,0.055537696282201676,7192.998633087799,2.811391140429941,3.0636259830615054e-21,False
0.001,0.49999999999999994,6.328751787202579e+16,0.05955125130936944,6708.214599344108,3.232416630508543,4.049933250518694e-21,False
0.001,0.5361336110051615,5.9022150983382856e+16,0.06385485480873619,6256.103386959195,3.716493632967175,5.353773412401438e-21,False
0.001,0.5748784976988678,5.5044255547349576e+16,0.06846946777763609,5834.462957125592,4.273064552855154,7.077373373416848e-21,False
0.001,0.6164233697210328,5.1334456950153464e+16,0.07341756600645116,5441.239681081496,4.91298586143131,9.355871085377557e-21,False
0.001,0.6609705742330146,4.787468636214566e+16,0.07872324954849698,5074.518337770384,5.648739862470826,1.2367910967504146e-20,False
0.001,0.7087370814634026,4.4648092732321496e+16,0.08441236010099228,4732.512785624935,6.494678172057874,1.6349650428508018e-20,False
0.001,0.7599555414764668,4.16389607141154e+16,0.09051260686882602,4413.557263041445,7.467301661180517,2.1613275664479974e-20,False
0.001,0.8148754173103221,3.883263412272293e+16,0.09705370152414858,4116.098275173195,8.585582321687433,2.8571478454015535e-20,False
0.001,0.8737642000038418,3.6215444551142936e+16,0.10406750291911786,3838.687027526771,9.871333333923259,3.7769813040873695e-20,False
0.001,0.9369087114301918,3.377464479725957e+16,0.11158817225663371,3579.972369508665,11.34963455458112,4.992947002859977e-20,False
0.001,1.0046165012825232,3.149834677771621e+16,0.11965233947483003,3338.6942135532327,13.049321724337503,6.600382095190731e-20,False
0.001,1.0772173450159421,2.93754636261864e+16,0.1282992816557122,3113.6773977793823,15.003548937752704,8.72531668723107e-20,False
0.001,1.15506485004158,2.7395655694027724e+16,0.13757111432689054,2903.8259622836867,17.250435346973443,1.1534355162248048e-19,False
0.001,1.2385381779958555,2.55492801903106e+16,0.14751299658815947,2708.1178111921536,19.833808713839076,1.5247738709997244e-19,False
0.001,1.3280438914733432,2.3827344215940812e+16,0.15817335106200406,2525.5997344718617,22.804060314117052,2.0156613221803698e-19,False
0.001,1.4240179342179007,2.2221460963124936e+16,0.16960409973931867,2355.3827652558302,26.219127869627954,2.66458564316167e-19,False
0.001,1.5269277544167075,2.0723808866845132e+16,0.18186091686904102,2196.6378500686405,30.145625681332476,3.5224254053072315e-19,False
0.001,1.637274581438864,1.932709350938792e+16,0.1950035001234169,2048.591810864375,34.66014400775364,4.656439085677757e-19,False
0.001,1.7555958671075653,1.8024512092380132e+16,0.20909586135962596,1910.5235792096723,39.85074303440766,6.155538432682959e-19,False
0.001,1.8824679033962335,1.680972030329078e+16,0.2242066383939418,1781.760684270249,45.8186705756078,8.13725954512769e-19,False
0.001,2.0185086292982777,1.567680141501979e+16,0.24040942930694517,1661.6759774953694,52.6803370141295,1.0756978228452269e-18,False
0.001,2.1643806405415296,1.4620237468071052e+16,0.25778315090804527,1549.6845780476274,60.56958600190567,1.4220092153344269e-18,False
