F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,5.410787439310119e+17,0.006166160151339303,75088.16536515864,0.020217659537954083,3.4655054919434652e-25,False
0.001,0.05361336110051615,5.046118475174304e+17,0.006611771415947348,70027.47433086763,0.023245395484332458,4.581194310035075e-25,False
0.001,0.05748784976988677,4.7060269787168064e+17,0.007089585768745124,65307.85693474592,0.026726556068898177,6.056069267553803e-25,False
0.001,0.061642336972103286,4.388856510874021e+17,0.007601930437456255,60906.325955114546,0.030729044803105482,8.005767162739893e-25,False
0.001,0.06609705742330142,4.0930622710313235e+17,0.00815130083208694,56801.44343210016,0.03533093422426097,1.0583153037463995e-24,False
0.001,0.07087370814634027,3.817203572965243e+17,0.008740372698992303,52973.216252574464,0.04062198877828137,1.3990305480736927e-24,False
0.001,0.07599555414764668,3.559936827881971e+17,0.009372015153283347,49402.99877231953,0.04670541576479731,1.8494360494595945e-24,False
0.001,0.0814875417310322,3.32000900037556e+17,0.010049304653049788,46073.4020011328,0.05369987849853539,2.4448456152370915e-24,False
0.001,0.08737642000038418,3.0962515054326605e+17,0.01077553998346111,42968.2089085525,0.06174181095569951,3.231942020428654e-24,False
0.001,0.09369087114301919,2.8875745167587066e+17,0.011554258323727008,40072.29543769343,0.07098807905484009,4.272437146261076e-24,False
0.001,0.10046165012825234,2.6929616587038666e+17,0.012389252475172412,37371.55684248608,0.08161904048314986,5.6479104678772864e-24,False
0.001,0.10772173450159418,2.5114650559354128e+17,0.013284589334337646,34852.838989539014,0.09384206275315259,7.466205250339014e-24,False
0.001,0.11550648500415797,2.342200716745619e+17,0.014244629701078195,32503.874290026062,0.10789556811299049,9.869883943316252e-24,False
0.001,0.12385381779958553,2.1843442275092406e+17,0.015274049518140858,30313.22194954975,0.12405368421032369,1.3047405715253907e-23,False
0.001,0.1328043891473343,2.0371267373201594e+17,0.016377862645665014,28270.212244963976,0.1426315912256813,1.7247902495724977e-23,False
0.001,0.14240179342179007,1.8998312132500742e+17,0.017561445281533868,26364.894556752388,0.1639916697764374,2.280071203382877e-23,False
0.001,0.15269277544167076,1.7717889479902275e+17,0.018830562146516617,24587.988903850463,0.18855056951241433,3.0141199451842815e-23,False
0.001,0.1637274581438864,1.6523763028663856e+17,0.020191394561738123,22930.84074485842,0.2167873362831254,3.984489181951272e-23,False
0.001,0.17555958671075653,1.5410116703637123e+17,0.021650570555229284,21385.37882550107,0.24925275640516475,5.267260205239131e-23,False
0.001,0.18824679033962338,1.4371526413672992e+17,0.023215197144194205,19944.075867027837,0.286580100299006,6.96300800498323e-23,False
0.001,0.2018508629298277,1.3402933633212029e+17,0.02489289495022711,18599.911904083016,0.329497475060567,9.204686798885687e-23,False
0.001,0.2164380640541529,1.2499620764387213e+17,0.026691835316074827,17346.340093480863,0.3788420269167778,1.2168054238189037e-22,False
0.001,0.23207944168063896,1.1657188159638502e+17,0.0286207801047246,16177.254827354833,0.4355762705982228,1.6085451594228563e-22,False
0.001,0.24885117821660555,1.0871532692926312e+17,0.03068912437466137,15086.961995373847,0.5008068641495637,2.1264020354069216e-22,False
0.001,0.26683496156031544,1.0138827775173426e+17,0.03290694213914744,14070.151251185593,0.5758061953991641,2.810978348786325e-22,False
0.001,0.2861183829675108,9.455504716599286e+16,0.03528503543239807,13121.87014800881,0.6620372011535446,3.7159479467077366e-22,False
0.001,0.30679536367065857,8.818235345170565e+16,0.0378349869216333,12237.500017400025,0.7611819032398257,4.912264496310808e-22,False
0.001,0.328966612328784,8.223915796509973e+16,0.04056921632125665,11412.733473710723,0.8751742180201525,6.493724569822014e-22,False
0.001,0.35274011553593215,7.669651396310982e+16,0.04350104088392974,10643.553434668776,1.0062376793604135,8.584321715652586e-22,False
0.001,0.3782316637773144,7.152742561627183e+16,0.046644740263168824,9926.213555902492,1.156928810877419,1.1347968107591645e-21,False
0.001,0.4055654153948436,6.670671652367564e+16,0.05001562606338113,9257.219984112247,1.3301869934834976,1.5001345992905595e-21,False
0.001,0.43487450130889166,6.22109070895701e+16,0.053630116416088794,8633.31434001731,1.529391800944733,1.9830896550397864e-21,False
0.001,0.4663016734416099,5.801810016437411e+16,0.05750581594556976,8051.457848195042,1.758428921840148,2.6215278160943964e-21,False
0.001,0.49999999999999994,5.410787439310118e+16,0.06166160151339303,7508.816536515863,2.0217659537954087,3.4655054919434666e-21,False
0.001,0.5361336110051615,5.046118475174304e+16,0.06611771415947348,7002.747433086762,2.3245395484332465,4.581194310035076e-21,False
0.001,0.5748784976988678,4.7060269787168056e+16,0.07089585768745124,6530.7856934745905,2.6726556068898186,6.056069267553807e-21,False
0.001,0.6164233697210328,4.388856510874021e+16,0.07601930437456256,6090.6325955114535,3.072904480310549,8.005767162739896e-21,False
0.001,0.6609705742330146,4.093062271031321e+16,0.08151300832086944,5680.144343210012,3.5330934224261017,1.0583153037464026e-20,False
0.001,0.7087370814634026,3.8172035729652424e+16,0.08740372698992303,5297.321625257446,4.062198877828136,1.399030548073693e-20,False
0.001,0.7599555414764668,3.559936827881971e+16,0.09372015153283346,4940.299877231952,4.670541576479731,1.8494360494595944e-20,False
0.001,0.8148754173103221,3.320009000375559e+16,0.10049304653049787,4607.34020011328,5.36998784985354,2.4448456152370922e-20,False
0.001,0.8737642000038418,3.09625150543266e+16,0.10775539983461109,4296.820890855249,6.174181095569952,3.231942020428656e-20,False
0.001,0.9369087114301918,2.8875745167587068e+16,0.11554258323727008,4007.2295437693438,7.098807905484008,4.272437146261075e-20,False
0.001,1.0046165012825232,2.6929616587038668e+16,0.1238925247517241,3737.155684248609,8.161904048314986,5.647910467877285e-20,False
0.001,1.0772173450159421,2.5114650559354116e+16,0.1328458933433765,3485.2838989538996,9.384206275315263,7.466205250339024e-20,False
0.001,1.15506485004158,2.342200716745618e+16,0.142446297010782,3250.387429002605,10.789556811299056,9.869883943316267e-20,False
0.001,1.2385381779958555,2.1843442275092404e+16,0.15274049518140861,3031.3221949549743,12.405368421032371,1.3047405715253906e-19,False
0.001,1.3280438914733432,2.0371267373201588e+16,0.16377862645665017,2827.0212244963973,14.263159122568139,1.7247902495724994e-19,False
0.001,1.4240179342179007,1.8998312132500744e+16,0.17561445281533866,2636.4894556752392,16.399166977643738,2.2800712033828763e-19,False
0.001,1.5269277544167075,1.7717889479902276e+16,0.1883056214651662,2458.7988903850464,18.855056951241433,3.014119945184281e-19,False
0.001,1.637274581438864,1.6523763028663856e+16,0.2019139456173812,2293.0840744858415,21.67873362831254,3.984489181951272e-19,False
0.001,1.7555958671075653,1.5410116703637122e+16,0.21650570555229282,2138.5378825501066,24.925275640516475,5.267260205239132e-19,False
0.001,1.8824679033962335,1.4371526413672992e+16,0.23215197144194202,1994.4075867027836,28.658010029900595,6.963008004983227e-19,False
0.001,2.0185086292982777,1.3402933633212026e+16,0.24892894950227118,1859.991190408301,32.94974750605672,9.204686798885698e-19,False
0.001,2.1643806405415296,1.2499620764387208e+16,0.26691835316074836,1734.6340093480856,37.88420269167781,1.2168054238189056e-18,False
0.001,2.3207944168063896,1.1657188159638502e+16,0.28620780104724597,1617.7254827354832,43.55762705982227,1.6085451594228564e-18,False
0.001,2.4885117821660554,1.087153269292631e+16,0.3068912437466137,1508.6961995373845,50.080686414956375,2.1264020354069227e-18,False
0.001,2.6683496156031548,1.0138827775173422e+16,0.3290694213914745,1407.015125118559,57.580619539916455,2.8109783487863288e-18,False
0.001,2.861183829675108,9455504716599286.0,0.35285035432398065,1312.1870148008807,66.20372011535446,3.7159479467077374e-18,False
0.001,3.067953636706586,8818235345170565.0,0.37834986921633296,1223.7500017400025,76.11819032398257,4.912264496310809e-18,False
0.001,3.289666123287841,8223915796509970.0,0.4056921632125667,1141.2733473710718,87.5174218020153,6.493724569822023e-18,False
0.001,3.527401155359322,7669651396310981.0,0.4350104088392975,1064.3553434668775,100.62376793604138,8.584321715652588e-18,False
0.001,3.7823166377731448,7152742561627181.0,0.46644740263168843,992.621355590249,115.69288108774197,1.1347968107591659e-17,False
0.001,4.055654153948436,6670671652367564.0,0.5001562606338112,925.7219984112248,133.0186993483497,1.500134599290559e-17,False
0.001,4.348745013088917,6221090708957010.0,0.5363011641608879,863.331434001731,152.9391800944733,1.9830896550397868e-17,False
0.001,4.663016734416099,5801810016437410.0,0.5750581594556976,805.145784819504,175.84289218401483,2.6215278160943973e-17,False
0.001,4.999999999999999,5410787439310119.0,0.6166160151339303,750.8816536515865,202.1765953795408,3.465505491943465e-17,False
0.001,5.3613361100516155,5046118475174304.0,0.6611771415947348,700.2747433086762,232.45395484332462,4.581194310035075e-17,False
0.001,5.748784976988677,4706026978716807.0,0.7089585768745124,653.0785693474593,267.26556068898174,6.0560692675538e-17,False
0.001,6.164233697210329,4388856510874021.5,0.7601930437456255,609.0632595511455,307.29044803105484,8.005767162739892e-17,False
0.001,6.609705742330143,4093062271031322.5,0.8151300832086941,568.0144343210014,353.3093422426097,1.0583153037464001e-16,False
0.001,7.087370814634023,3817203572965245.0,0.8740372698992298,529.7321625257449,406.2198877828132,1.3990305480736898e-16,False
0.001,7.599555414764665,3559936827881972.5,0.9372015153283343,494.0299877231955,467.05415764797266,1.8494360494595913e-16,False
0.001,8.148754173103224,3320009000375557.5,1.0049304653049793,460.7340200113277,536.9987849853545,2.4448456152370974e-16,False
