F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.513353113520351e+18,0.004906283305207695,342843.89973088197,0.004803040616946655,1.0524279394375204e-26,False
0.001,0.05361336110051615,1.4113581786852209e+18,0.005260846770070681,319737.36834751564,0.005522329548513873,1.3912477989377716e-26,False
0.001,0.05748784976988677,1.3162373610928425e+18,0.005641033551565671,298188.13984452595,0.006349337029295444,1.839147713128633e-26,False
0.001,0.061642336972103286,1.2275273682479222e+18,0.006048695375604349,278091.2572198866,0.0073001946655703144,2.431245040091935e-26,False
0.001,0.06609705742330142,1.1447961320187631e+18,0.006485817787185963,259348.8372222286,0.008393449884504703,3.213962860501468e-26,False
0.001,0.07087370814634027,1.0676407042196623e+18,0.006954529821131038,241869.59360372165,0.00965042772022961,4.2486697549384845e-26,False
0.001,0.07599555414764668,9.95685294024015e+17,0.007457114371692127,225568.39250411504,0.011095646779914214,5.61649137529626e-26,False
0.001,0.0814875417310322,9.285794376491992e+17,0.007996019311547574,210365.8378004055,0.012757297503668727,7.424671059008681e-26,False
0.001,0.08737642000038418,8.659962913985815e+17,0.008573869414334013,196187.8844025508,0.014667792047213189,9.814978186728421e-26,False
0.001,0.09369087114301919,8.076310397467732e+17,0.009193479138787208,182965.47761175712,0.016864396513322638,1.2974823536332792e-25,False
0.001,0.10046165012825234,7.531994107146156e+17,0.00985786633675722,170634.21678481152,0.01938995786435389,1.7151953126763833e-25,False
0.001,0.10772173450159418,7.024362913029193e+17,0.010570266951863746,159134.0416663121,0.02229373969500823,2.267387261482969e-25,False
0.001,0.11550648500415797,6.550944362413389e+17,0.011334150780382466,148408.9398610564,0.0256323831679119,2.9973525204620413e-25,False
0.001,0.12385381779958553,6.109432637632488e+17,0.012153238371126845,138406.67402181172,0.02947101185602188,3.9623236332571374e-25,False
0.001,0.1328043891473343,5.6976773254136365e+17,0.013031519146637447,129078.52742371643,0.03388450204291077,5.237958654342028e-25,False
0.001,0.14240179342179007,5.3136729431413894e+17,0.013973270833939273,120379.0666861154,0.03895894325940552,6.924273079138477e-25,False
0.001,0.15269277544167076,4.955549171016469e+17,0.014983080299505937,112265.92048614954,0.044793317545804956,9.153481506528722e-25,False
0.001,0.1637274581438864,4.6215617425343245e+17,0.016065865889908833,104699.5731863085,0.0515014301953614,1.2100363855203143e-24,False
0.001,0.17555958671075653,4.3100839489149574e+17,0.01722690138696295,97643.17237079593,0.05921412964010493,1.5995968891604058e-24,False
0.001,0.18824679033962338,4.0195987161057344e+17,0.018471841694044547,91062.34935329945,0.06808185978009906,2.1145729487393943e-24,False
0.001,0.2018508629298277,3.7486912157677005e+17,0.01980675037868761,84925.05178193605,0.07827759454185666,2.7953409923717545e-24,False
0.001,0.2164380640541529,3.496041974256684e+17,0.021238129205607283,79201.38752606433,0.09000021190740731,3.695276281810085e-24,False
0.001,0.23207944168063896,3.2604204460360026e+17,0.022772949803992838,73863.47908460248,0.10347837322782022,4.8849377718753076e-24,False
0.001,0.24885117821660555,3.040679020219657e+17,0.024418687623307934,68885.32780673899,0.11897498349106404,6.457600248337925e-24,False
0.001,0.26683496156031544,2.835747431054443e+17,0.026183358342982254,64242.68726371253,0.13679231954618093,8.536567488622339e-24,False
0.001,0.2861183829675108,2.6446275451168662e+17,0.0280755569133304,59912.94515491031,0.15727792631490398,1.1284839829867183e-23,False
0.001,0.30679536367065857,2.4663884998355427e+17,0.030104499417849512,55875.01317310014,0.18083139600221043,1.4917894124949814e-23,False
0.001,0.328966612328784,2.3001621696609107e+17,0.032280067960788895,52109.224292377185,0.20791216254107972,1.9720578092230798e-23,False
0.001,0.35274011553593215,2.1451389377999338e+17,0.03461285879861955,48597.23697855934,0.23904846330987747,2.606944365165759e-23,False
0.001,0.3782316637773144,2.0005637529217338e+17,0.03711423394983135,45321.94585548143,0.2748476429296105,3.4462270280742646e-23,False
0.001,0.4055654153948436,1.865732451628063e+17,0.03979637653442691,42267.39839208204,0.316008000126899,4.5557093153671715e-23,False
0.001,0.43487450130889166,1.739988328776967e+17,0.042672350112646744,39418.71720450214,0.3633324087475505,6.02237960443386e-23,False
0.001,0.4663016734416099,1.62271893895514e+17,0.04575616231193963,36762.02759476186,0.4177439786122057,7.961231410783686e-23,False
0.001,0.49999999999999994,1.5133531135203507e+17,0.04906283305207695,34284.3899730882,0.4803040616946656,1.0524279394375211e-22,False
0.001,0.5361336110051615,1.4113581786852208e+17,0.05260846770070682,31973.73683475156,0.5522329548513875,1.3912477989377725e-22,False
