F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,1.5924110906133627e+18,0.004851077308529094,413389.4300802148,0.003575949370501966,7.07681158468349e-27,False
0.001,0.05361336110051615,1.4850879127199803e+18,0.005201651189373807,385528.3660589551,0.004111472803922764,9.355128433734188e-27,False
0.001,0.05748784976988677,1.3849979578184689e+18,0.005577560070696546,359545.0445050007,0.004727194617697741,1.2366929225737776e-26,False
0.001,0.061642336972103286,1.2916537308879288e+18,0.005980634842601487,335312.91186064,0.005435125080304502,1.634835262366988e-26,False
0.001,0.06609705742330142,1.2046005924402803e+18,0.006412838708534443,312713.94385439093,0.006249073081941781,2.1611560042861776e-26,False
0.001,0.07087370814634027,1.1234145441673143e+18,0.006876276747200499,291638.0706556561,0.007184915490714258,2.85692105032033e-26,False
0.001,0.07599555414764668,1.0477001638277243e+18,0.007373206165494859,271982.6407720299,0.008260906846790272,3.776681494337229e-26,False
0.001,0.0814875417310322,9.770886793158335e+17,0.00790604729238456,253651.92107813162,0.009498035435426168,4.9925506720145563e-26,False
0.001,0.08737642000038418,9.112361725316515e+17,0.00847739536728743,236556.63054082388,0.01092043268441681,6.599858169137763e-26,False
0.001,0.09369087114301919,8.498219043040733e+17,0.009090033180364476,220613.50536978964,0.012555843871678303,8.724624087822881e-26,False
0.001,0.10046165012825234,7.925467522086504e+17,0.00974694462629108,205744.89347550506,0.014436169324583917,1.1533439586590953e-25,False
0.001,0.10772173450159418,7.39131753671213e+17,0.010451329237521586,191878.37625938753,0.016598086667686574,1.5246528372861625e-25,False
0.001,0.11550648500415797,6.893167472614369e+17,0.01120661776783254,178946.41589402256,0.019083766256390532,2.015501322734059e-25,False
0.001,0.12385381779958553,6.428591055586706e+17,0.012016488902045328,166886.02637552205,0.02194169375182027,2.664374133309863e-25,False
0.001,0.1328043891473343,5.995325534183694e+17,0.012884887173314022,155638.4667458532,0.025227615882030152,3.5221458017308204e-25,False
0.001,0.14240179342179007,5.591260658834141e+17,0.013816042175245872,145148.9549909554,0.029005627837571185,4.656069466204844e-25,False
0.001,0.15269277544167076,5.214428403725197e+17,0.014814489162428354,135366.40122116683,0.033349423512150776,6.155049817492443e-25,False
0.001,0.1637274581438864,4.8629933813970445e+17,0.015885091139699093,126243.15883439699,0.03834373297557708,8.13661362460158e-25,False
0.001,0.17555958671075653,4.5352439033618304e+17,0.017033062547745944,117734.79245006855,0.044085975218332574,1.075612435953015e-24,False
0.001,0.18824679033962338,4.229583643206961e+17,0.01826399466039962,109799.86148353519,0.050688158406209105,1.4218963388880715e-24,False
0.001,0.2018508629298277,3.9445238615773344e+17,0.019583882817318078,102399.71830685885,0.058279064711367456,1.879663279229339e-24,False
0.001,0.2164380640541529,3.6786761551677446e+17,0.02099915562470136,95498.32001287548,0.06700676233713207,2.4848042340738554e-24,False
0.001,0.23207944168063896,3.430745694408933e+17,0.022516706266260986,89062.05286573243,0.07704149373607116,3.2847649629048464e-24,False
0.001,0.24885117821660555,3.1995249169109677e+17,0.024143926076946102,83059.56858287234,0.08857899635893864,4.3422659675034035e-24,False
0.001,0.26683496156031544,2.983887645947425e+17,0.025888740542949592,77461.6316510631,0.10184432070900024,5.740220060026398e-24,False
0.001,0.2861183829675108,2.7827836053340608e+17,0.027759647903334583,72240.9769328166,0.1170962201767035,7.588233098599033e-24,False
0.001,0.30679536367065857,2.5952333039862982e+17,0.02976576054129327,67372.17686965826,0.13463219828279835,1.0031197577189944e-23,False
0.001,0.328966612328784,2.4203232652404182e+17,0.03191684936663704,62831.51763545153,0.1547943117814225,1.326065284568013e-23,False
0.001,0.35274011553593215,2.257201577702537e+17,0.03422339140568584,58596.883636574144,0.17797584281846865,1.7529802652227708e-23,False
0.001,0.3782316637773144,2.1050737459554707e+17,0.036696620830346714,54647.64979639564,0.20462897029234212,2.317336745046872e-23,False
0.001,0.4055654153948436,1.9631988209140682e+17,0.03934858367492205,50964.58109942066,0.235273590054656,3.0633827981297966e-23,False
0.001,0.43487450130889166,1.8308857909816512e+17,0.042192196507149414,47529.738905821,0.27050745599767984,4.0496117743507783e-23,False
0.001,0.4663016734416099,1.7074902164304192e+17,0.045241309339234766,44326.39358005425,0.3110178398405776,5.353348439826822e-23,False
0.001,0.49999999999999994,1.5924110906133626e+17,0.04851077308529095,41338.94300802147,0.3575949370501967,7.076811584683492e-23,False
0.001,0.5361336110051615,1.4850879127199805e+17,0.052016511893738085,38552.83660589551,0.4111472803922765,9.355128433734189e-23,False
0.001,0.5748784976988678,1.3849979578184688e+17,0.05577560070696547,35954.50445050007,0.4727194617697743,1.236692922573778e-22,False
0.001,0.6164233697210328,1.2916537308879288e+17,0.05980634842601487,33531.291186063994,0.5435125080304503,1.6348352623669886e-22,False
0.001,0.6609705742330146,1.2046005924402797e+17,0.06412838708534446,31271.394385439078,0.624907308194179,2.161156004286183e-22,False
0.001,0.7087370814634026,1.1234145441673142e+17,0.068762767472005,29163.807065565612,0.7184915490714259,2.856921050320331e-22,False
0.001,0.7599555414764668,1.0477001638277243e+17,0.0737320616549486,27198.26407720299,0.8260906846790272,3.7766814943372297e-22,False
0.001,0.8148754173103221,9.770886793158334e+16,0.0790604729238456,25365.192107813156,0.9498035435426166,4.9925506720145555e-22,False
0.001,0.8737642000038418,9.112361725316515e+16,0.0847739536728743,23655.663054082386,1.0920432684416812,6.5998581691377645e-22,False
0.001,0.9369087114301918,8.498219043040733e+16,0.09090033180364476,22061.350536978964,1.2555843871678305,8.724624087822884e-22,False
0.001,1.0046165012825232,7.925467522086504e+16,0.09746944626291079,20574.48934755051,1.4436169324583918,1.1533439586590952e-21,False
0.001,1.0772173450159421,7.391317536712128e+16,0.10451329237521588,19187.837625938744,1.659808666768658,1.5246528372861638e-21,False
0.001,1.15506485004158,6.893167472614367e+16,0.11206617767832544,17894.64158940225,1.908376625639054,2.015501322734061e-21,False
