F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,8.800349080714317e+17,0.0055344275372193755,180938.8715476463,0.007420014837803303,4.8079687213877483e-26,False
0.001,0.05361336110051615,8.20723500641484e+17,0.005934385240751654,168744.19718660795,0.008531213965719344,6.355851693340064e-26,False
0.001,0.05748784976988677,7.654094835639604e+17,0.006363246776439839,157371.4030633526,0.009808822936320674,8.40206188697372e-26,False
0.001,0.061642336972103286,7.138234461079066e+17,0.00682310094393929,146765.09720059086,0.01127776278765245,1.1107031340348681e-25,False
0.001,0.06609705742330142,6.657141349239474e+17,0.007316187494653795,136873.62085491215,0.012966686657539675,1.4682841766108715e-25,False
0.001,0.07087370814634027,6.208472302975404e+17,0.007844908040599096,127648.79690931585,0.014908538691636742,1.9409852707034775e-25,False
0.001,0.07599555414764668,5.790042048786634e+17,0.00841183775161964,119045.6952232444,0.017141196651867145,2.5658682979093996e-25,False
0.001,0.0814875417310322,5.399812593292991e+17,0.009019737897930754,111022.41379723747,0.0197082107599725,3.3919268845509265e-25,False
0.001,0.08737642000038418,5.0358832970472026e+17,0.009671569299075441,103539.87468635745,0.0226596531880513,4.483927721276049e-25,False
0.001,0.09369087114301919,4.696481617339525e+17,0.010370506744799952,96561.63366836612,0.026053094766248588,5.927488561502327e-25,False
0.001,0.10046165012825234,4.379954474906359e+17,0.011119954458085965,90053.70273962966,0.029954727959254447,7.835791036511631e-25,False
0.001,0.10772173450159418,4.0847602024938054e+17,0.011923562675653148,83984.38457420519,0.03444065801638896,1.0358454601946011e-24,False
0.001,0.11550648500415797,3.809461036061102e+17,0.012785245426688577,78324.11813983123,0.03959838748044431,1.369326737282973e-24,False
0.001,0.12385381779958553,3.552716112051802e+17,0.013709199596395551,73045.33471888333,0.04552852301211096,1.8101693597090935e-24,False
0.001,0.1328043891473343,3.3132749366254515e+17,0.0146999253672121,68122.32363303564,0.052346737823301376,2.3929373622918553e-24,False
0.001,0.14240179342179007,3.089971295041184e+17,0.0157622481372596,63531.10701763091,0.060186027998592,3.163322364915366e-24,False
0.001,0.15269277544167076,2.8817175715284854e+17,0.016901342022776742,59249.323035838606,0.06919930671658513,4.181726000044494e-24,False
0.001,0.1637274581438864,2.68749945197965e+17,0.018122755059009156,55256.11696378814,0.0795623869740673,5.527995671069074e-24,False
0.001,0.17555958671075653,2.5063709836630413e+17,0.019432436222297275,51532.03961619949,0.09147741099397554,7.307684946128282e-24,False
0.001,0.18824679033962338,2.3374499678951402e+17,0.02083676440497548,48058.952617786315,0.10517679321119713,9.660329430312735e-24,False
0.001,0.2018508629298277,2.1799136632310822e+17,0.022342579484206645,44819.94005904959,0.12092775374807499,1.2770386981667801e-23,False
0.001,0.2164380640541529,2.0329947782457677e+17,0.0239572156360751,41799.22610617495,0.139037530809584,1.6881700032901558e-23,False
0.001,0.23207944168063896,1.895977734388112e+17,0.025688537057196533,38982.098163747214,0.15985937367114747,2.2316613929552902e-23,False
0.001,0.24885117821660555,1.768195180706418e+17,0.027544976267829365,36354.835216040876,0.1837994331583024,2.950125024790614e-23,False
0.001,0.26683496156031544,1.6490247434695853e+17,0.02953557518304567,33904.64099786767,0.21132468402389662,3.899891663390072e-23,False
0.001,0.2861183829675108,1.5378859948529786e+17,0.03167002915200142,31619.581669485426,0.2429720337566913,5.1554272643949635e-23,False
0.001,0.30679536367065857,1.4342376259247179e+17,0.03395873417980252,29488.527692009415,0.27935879549777054,6.815171438727358e-23,False
0.001,0.328966612328784,1.3375748101632352e+17,0.03641283756196387,27501.099620226487,0.3211947293494474,9.009255558704132e-23,False
0.001,0.35274011553593215,1.2474267446649206e+17,0.03904429217808014,25647.617548792066,0.36929588695440957,1.1909705640097294e-22,False
0.001,0.3782316637773144,1.1633543570661448e+17,0.04186591470914938,23919.053965584288,0.42460052939744375,1.5743929951762556e-22,False
0.001,0.4055654153948436,1.0849481670110627e+17,0.044891448062100756,22306.989782584253,0.4881874289242932,2.0812548841801727e-22,False
0.001,0.43487450130889166,1.0118262917493318e+17,0.04813562830556947,20803.573330127867,0.5612969114709409,2.7512964718436683e-22,False
0.001,0.4663016734416099,9.436325861498642e+16,0.05161425644293446,19401.48211480774,0.6453550504588579,3.637052017759552e-22,False
0.001,0.49999999999999994,8.800349080714317e+16,0.05534427537219376,18093.88715476463,0.7420014837803305,4.80796872138775e-22,False
0.001,0.5361336110051615,8.20723500641484e+16,0.05934385240751655,16874.419718660796,0.8531213965719346,6.355851693340066e-22,False
0.001,0.5748784976988678,7.654094835639605e+16,0.06363246776439839,15737.14030633526,0.9808822936320676,8.402061886973719e-22,False
0.001,0.6164233697210328,7.138234461079065e+16,0.06823100943939289,14676.509720059084,1.1277762787652452,1.1107031340348683e-21,False
0.001,0.6609705742330146,6.6571413492394696e+16,0.073161874946538,13687.362085491202,1.296668665753969,1.4682841766108748e-21,False
0.001,0.7087370814634026,6.208472302975404e+16,0.07844908040599097,12764.879690931586,1.490853869163674,1.9409852707034765e-21,False
0.001,0.7599555414764668,5.7900420487866344e+16,0.0841183775161964,11904.56952232444,1.7141196651867145,2.565868297909399e-21,False
0.001,0.8148754173103221,5.39981259329299e+16,0.09019737897930755,11102.241379723746,1.9708210759972495,3.391926884550927e-21,False
0.001,0.8737642000038418,5.0358832970472024e+16,0.09671569299075441,10353.987468635743,2.26596531880513,4.4839277212760494e-21,False
0.001,0.9369087114301918,4.696481617339525e+16,0.10370506744799952,9656.163366836612,2.605309476624859,5.927488561502326e-21,False
0.001,1.0046165012825232,4.379954474906359e+16,0.11119954458085964,9005.370273962968,2.9954727959254446,7.835791036511631e-21,False
0.001,1.0772173450159421,4.084760202493804e+16,0.11923562675653152,8398.438457420516,3.4440658016388976,1.0358454601946025e-20,False
0.001,1.15506485004158,3.809461036061101e+16,0.12785245426688582,7832.411813983121,3.959838748044433,1.3693267372829746e-20,False
0.001,1.2385381779958555,3.5527161120518016e+16,0.13709199596395552,7304.5334718883305,4.5528523012110975,1.810169359709095e-20,False
0.001,1.3280438914733432,3.3132749366254504e+16,0.14699925367212105,6812.232363303563,5.23467378233014,2.392937362291858e-20,False
0.001,1.4240179342179007,3.0899712950411836e+16,0.157622481372596,6353.11070176309,6.0186027998592,3.1633223649153664e-20,False
0.001,1.5269277544167075,2.8817175715284852e+16,0.16901342022776744,5924.93230358386,6.9199306716585145,4.181726000044495e-20,False
0.001,1.637274581438864,2.68749945197965e+16,0.18122755059009155,5525.611696378814,7.956238697406727,5.527995671069072e-20,False
0.001,1.7555958671075653,2.5063709836630412e+16,0.19432436222297275,5153.203961619949,9.147741099397553,7.307684946128281e-20,False
0.001,1.8824679033962335,2.33744996789514e+16,0.2083676440497548,4805.895261778631,10.517679321119711,9.660329430312734e-20,False
0.001,2.0185086292982777,2.179913663231082e+16,0.2234257948420665,4481.994005904959,12.092775374807506,1.2770386981667812e-19,False
