F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,9.54439894437993e+17,0.005435502058575398,208430.1903822695,0.006344224828193178,3.494926575387266e-26,False
0.001,0.05361336110051615,8.901138399517393e+17,0.005828310692580035,194382.6931420112,0.007294316876591104,4.6200872508718875e-26,False
0.001,0.05748784976988677,8.30123146246067e+17,0.006249506515345856,181281.95020041362,0.008386691855508383,6.107483446430837e-26,False
0.001,0.061642336972103286,7.741756245143107e+17,0.006701140990145316,169064.15348642296,0.009642657629115977,8.07373368141204e-26,False
0.001,0.06609705742330142,7.21998778497453e+17,0.007185413833802625,157669.79537941644,0.01108671306330144,1.0673000775214692e-25,False
0.001,0.07087370814634027,6.733384772723209e+17,0.007704683730566091,147043.37887323613,0.012747025900498305,1.4109078902366158e-25,False
0.001,0.07599555414764668,6.279577174894175e+17,0.008261479820242234,137133.1472741974,0.014655982199614044,1.8651371967991723e-25,False
0.001,0.0814875417310322,5.856354690317782e+17,0.008858514016545485,127890.83211654598,0.01685081805843094,2.465601607983408e-25,False
0.001,0.08737642000038418,5.4616559847256064e+17,0.009498694215660736,119271.41806757078,0.019374345940855464,3.2593802213172735e-25,False
0.001,0.09369087114301919,5.093558650879868e+17,0.010185138459352065,111232.92367732424,0.022275789776754294,4.308708833055616e-25,False
0.001,0.10046165012825234,4.750269845356544e+17,0.010921190121599941,103736.19690507835,0.025611745123832616,5.695859503175263e-25,False
0.001,0.10772173450159418,4.430117556377947e+17,0.011710434192734554,96744.72442661277,0.02944728312047041,7.529591053128659e-25,False
0.001,0.11550648500415797,4.131542460164185e+17,0.012556714740378182,90224.45379355385,0.03385721976321852,9.953676244252436e-25,False
0.001,0.12385381779958553,3.8530903261392506e+17,0.01346415363224139,84143.62757857874,0.03892757526747896,1.31581742057861e-24,False
0.001,0.1328043891473343,3.593404934000823e+17,0.014437170611963679,78472.62869867776,0.04475725197765582,1.7394331921312948e-24,False
0.001,0.14240179342179007,3.351221468155843e+17,0.015480504825779373,73183.83616311109,0.05145996355608893,2.2994283116859743e-24,False
0.001,0.15269277544167076,3.125360357349037e+17,0.01659923790485585,68251.4905434706,0.05916645308152579,3.0397089031654605e-24,False
0.001,0.1637274581438864,2.9147215294798483e+17,0.01779881871572824,63651.56851060913,0.0680270433233562,4.0183162784529605e-24,False
0.001,0.17555958671075653,2.7182790536254845e+17,0.01908508989937927,59361.665827360644,0.07821456893725359,5.3119776360378434e-24,False
0.001,0.18824679033962338,2.535076143173678e+17,0.020464316328224687,55360.8882271598,0.08992774777762579,7.022121816809733e-24,False
0.001,0.2018508629298277,2.3642204957275766e+17,0.021943215619605983,51629.749647077064,0.10339505708768844,9.282831779181817e-24,False
0.001,0.2164380640541529,2.2048799470854432e+17,0.023528990854408443,48150.07731960681,0.11887919017611803,1.2271357303188566e-23,False
0.001,0.23207944168063896,2.0562784181275808e+17,0.025229365660162848,44904.923260951124,0.13668218051220957,1.6222012166614094e-23,False
0.001,0.24885117821660555,1.917692134869515e+17,0.027052621829505456,41878.48172469717,0.157151293190129,2.144454539396373e-23,False
0.001,0.26683496156031544,1.7884461032709373e+17,0.029007639657219638,39056.01221884035,0.18068579868115128,2.8348426966428267e-23,False
0.001,0.2861183829675108,1.6679108216307286e+17,0.031103941192323386,36423.76771120244,0.20774476100268063,3.747495210120553e-23,False
0.001,0.30679536367065857,1.5554992145555587e+17,0.03335173661586505,33968.92767356435,0.23885599222006282,4.9539681219377075e-23,False
0.001,0.328966612328784,1.4506637735687334e+17,0.03576197397031361,31679.535638400135,0.27462634794768453,6.548854308578438e-23,False
0.001,0.35274011553593215,1.3528938904324424e+17,0.03834639248275366,29544.44096407821,0.3157535646733829,8.65719998581888e-23,False
0.001,0.3782316637773144,1.261713370195156e+17,0.041117579741599804,27553.24452489304,0.36303986980499325,1.1444308891753496e-22,False
0.001,0.4055654153948436,1.1766781118513091e+17,0.04408903300531319,25696.248061406997,0.41740762991657454,1.5128702839764622e-22,False
0.001,0.43487450130889166,1.0973739453167587e+17,0.04727522494172861,23964.406944409617,0.47991734242897066,1.999925480679971e-22,False
0.001,0.4663016734416099,1.0234146141848528e+17,0.05069167411818048,22349.28612242789,0.5517883216703996,2.6437837867765555e-22,False
0.001,0.49999999999999994,9.544398944379928e+16,0.054355020585753984,20843.019038226947,0.6344224828193178,3.494926575387267e-22,False
0.001,0.5361336110051615,8.901138399517394e+16,0.058283106925800354,19438.269314201123,0.7294316876591105,4.620087250871888e-22,False
0.001,0.5748784976988678,8.301231462460669e+16,0.062495065153458575,18128.19502004136,0.8386691855508384,6.107483446430837e-22,False
0.001,0.6164233697210328,7.741756245143106e+16,0.06701140990145317,16906.415348642295,0.9642657629115979,8.073733681412043e-22,False
0.001,0.6609705742330146,7.219987784974526e+16,0.07185413833802629,15766.979537941634,1.1086713063301452,1.0673000775214716e-21,False
0.001,0.7087370814634026,6.733384772723209e+16,0.0770468373056609,14704.337887323612,1.2747025900498303,1.4109078902366155e-21,False
0.001,0.7599555414764668,6.279577174894174e+16,0.08261479820242235,13713.314727419738,1.4655982199614044,1.8651371967991727e-21,False
0.001,0.8148754173103221,5.8563546903177816e+16,0.08858514016545485,12789.083211654597,1.6850818058430943,2.465601607983409e-21,False
0.001,0.8737642000038418,5.461655984725606e+16,0.09498694215660737,11927.141806757078,1.9374345940855464,3.259380221317273e-21,False
0.001,0.9369087114301918,5.093558650879868e+16,0.10185138459352065,11123.292367732423,2.2275789776754293,4.308708833055617e-21,False
0.001,1.0046165012825232,4.750269845356544e+16,0.1092119012159994,10373.619690507836,2.561174512383261,5.695859503175261e-21,False
0.001,1.0772173450159421,4.430117556377946e+16,0.11710434192734558,9674.472442661272,2.9447283120470424,7.529591053128667e-21,False
0.001,1.15506485004158,4.131542460164184e+16,0.12556714740378186,9022.445379355384,3.385721976321854,9.953676244252448e-21,False
0.001,1.2385381779958555,3.8530903261392504e+16,0.13464153632241393,8414.362757857874,3.8927575267478973,1.3158174205786107e-20,False
0.001,1.3280438914733432,3.593404934000822e+16,0.14437170611963682,7847.262869867773,4.475725197765584,1.7394331921312964e-20,False
0.001,1.4240179342179007,3.351221468155843e+16,0.15480504825779373,7318.383616311108,5.145996355608892,2.2994283116859745e-20,False
0.001,1.5269277544167075,3.125360357349037e+16,0.1659923790485585,6825.149054347061,5.916645308152579,3.03970890316546e-20,False
0.001,1.637274581438864,2.914721529479848e+16,0.1779881871572824,6365.156851060912,6.802704332335619,4.0183162784529615e-20,False
0.001,1.7555958671075653,2.7182790536254844e+16,0.19085089899379268,5936.166582736065,7.821456893725361,5.3119776360378456e-20,False
0.001,1.8824679033962335,2.535076143173678e+16,0.20464316328224685,5536.088822715979,8.992774777762577,7.022121816809731e-20,False
0.001,2.0185086292982777,2.364220495727576e+16,0.21943215619605988,5162.974964707705,10.33950570876885,9.282831779181829e-20,False
0.001,2.1643806405415296,2.2048799470854424e+16,0.23528990854408446,4815.007731960679,11.887919017611809,1.227135730318858e-19,False
0.001,2.3207944168063896,2.0562784181275804e+16,0.25229365660162845,4490.492326095111,13.668218051220954,1.6222012166614096e-19,False
0.001,2.4885117821660554,1.9176921348695148e+16,0.2705262182950546,4187.848172469717,15.715129319012897,2.1444545393963733e-19,False
0.001,2.6683496156031548,1.7884461032709366e+16,0.29007639657219647,3905.6012218840337,18.068579868115137,2.8348426966428304e-19,False
0.001,2.861183829675108,1.6679108216307286e+16,0.31103941192323387,3642.376771120244,20.774476100268064,3.747495210120554e-19,False
0.001,3.067953636706586,1.5554992145555588e+16,0.3335173661586506,3396.892767356436,23.885599222006284,4.953968121937707e-19,False
0.001,3.289666123287841,1.4506637735687328e+16,0.3576197397031362,3167.953563840012,27.46263479476847,6.548854308578446e-19,False
0.001,3.527401155359322,1.352893890432442e+16,0.3834639248275367,2954.44409640782,31.5753564673383,8.657199985818887e-19,False
