F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,8.753372110863628e+17,0.005541014198532968,68075.13051739267,0.05198471425369664,3.4047210682926186e-25,False
0.001,0.05361336110051615,8.163424127105654e+17,0.005941447901780703,63487.09456003242,0.05976978886694009,4.500840879225229e-25,False
0.001,0.05748784976988677,7.613236662965962e+17,0.006370819836361457,59208.276870577705,0.06872073286321007,5.949846760945847e-25,False
0.001,0.061642336972103286,7.100129992496093e+17,0.006831221287863561,55217.83717268911,0.07901214333833484,7.865347260361635e-25,False
0.001,0.06609705742330142,6.621604994307788e+17,0.007324894673275243,51496.33975490254,0.09084476452461909,1.0397526190446595e-24,False
0.001,0.07087370814634027,6.175330979430083e+17,0.007854244462831063,48025.658807657484,0.10444940350744097,1.374491771340462e-24,False
0.001,0.07599555414764668,5.7591343395281286e+17,0.008421848891149825,44788.89014029297,0.12009143234780101,1.8169972307629147e-24,False
0.001,0.0814875417310322,5.370987960194015e+17,0.009030472514703946,41770.26884802207,0.13807596442921816,2.4019634059943225e-24,False
0.001,0.08737642000038418,5.0090013477464166e+17,0.009683079676782176,38955.09252787728,0.15875380599878244,3.1752542634935077e-24,False
0.001,0.09369087114301919,4.671411421450867e+17,0.010382848945527842,36329.64966964386,0.18252829899311518,4.197499267754263e-24,False
0.001,0.10046165012825234,4.356573926313579e+17,0.011133188595373952,33881.15287300473,0.20986318862538364,5.5488470027003834e-24,False
0.001,0.10772173450159418,4.062955424624213e+17,0.011937753207278643,31597.676565626232,0.24129166919850947,7.335249179412034e-24,False
0.001,0.11550648500415797,3.7891258272418746e+17,0.012800461468613496,29468.098918836506,0.2774267845921826,9.696767724516442e-24,False
0.001,0.12385381779958553,3.5337514282474214e+17,0.013725515259400375,27482.04767799272,0.3189733862955627,1.2818556262155589e-23,False
0.001,0.1328043891473343,3.2955884090369043e+17,0.014717420117857542,25629.849643700236,0.36674188223902754,1.6945376986870362e-23,False
0.001,0.14240179342179007,3.073476780217362e+17,0.01578100718493395,23902.483557828535,0.42166404460965456,2.240079111521323e-23,False
0.001,0.15269277544167076,2.8663347317985744e+17,0.016921456734714076,22291.536164852023,0.48481118499765324,2.9612527533392595e-23,False
0.001,0.1637274581438864,2.6731533641629667e+17,0.01814432340529974,20789.161234509334,0.5574150513981176,3.914601865647492e-23,False
0.001,0.17555958671075653,2.492991774150522e+17,0.019455563253057636,19388.0413461983,0.640891854684974,5.1748732860613017e-23,False
0.001,0.18824679033962338,2.324972472325113e+17,0.02086156276200224,18081.35224897478,0.7368698932174782,6.840877934942053e-23,False
