phaseg,mag_absg,dmag_absg,phasei,mag_absi,dmag_absi,phaser,mag_absr,dmag_absr,phasez,mag_absz,dmag_absz,time_lz,mag_lz,mag_abslz,time_lr,mag_lr,mag_abslr,time_li,mag_li,mag_absli,time_lg,mag_lg,mag_abslg
-2.98902,-20.043928,0.0171565,-4.63106,-20.582672,0.0204889,-2.98902,-20.32413,0.0220901,-3.81004,-20.645453,0.0465791,-565.553,21.7891,-18.189887,-571.955,22.9181,-17.093751,-573.68,22.6692,-17.32224,-571.955,23.3088,-16.734383
-0.525965,-20.1371,0.0206566,-2.168,-20.647998,0.0361552,-0.525965,-20.466988,0.017953,-1.34698,-20.685935,0.0473066,-558.164,22.2786,-17.700324,-564.649,22.875,-17.136925,-571.217,22.563,-17.428407,-562.186,23.0145,-17.028658
1.93709,-20.065514,0.0247266,2.75811,-20.691217,0.026787,1.93709,-20.431634,0.0174415,3.57913,-20.650561,0.0349268,-553.155,22.2377,-17.741225,-562.186,23.0545,-16.957373,-561.365,22.658,-17.33345,-559.806,23.4832,-16.559939
4.40014,-20.015186,0.0190015,10.1473,-20.671701,0.0187094,4.40014,-20.444102,0.026522,8.50523,-20.675853,0.0316757,-548.312,22.0457,-17.933209,-559.723,23.2031,-16.808743,-558.985,22.7059,-17.285581,-557.343,23.4588,-16.584393
6.8632,-20.038391,0.0196586,17.5364,-20.635152,0.023651,6.8632,-20.454409,0.0217252,18.3575,-20.655074,0.0298693,-472.942,22.3918,-17.587117,-557.343,23.1611,-16.850745,-556.439,22.5895,-17.401922,-554.88,23.4996,-16.543541
9.32625,-19.960644,0.0241508,24.9256,-20.646631,0.0198952,9.32625,-20.443946,0.0152867,20.8205,-20.63703,0.022531,-467.195,22.133,-17.845959,-554.88,23.0871,-16.924809,-553.976,22.5802,-17.411218,-552.333,23.5097,-16.533434
19.1785,-19.858509,0.0335819,27.3887,-20.538637,0.0230496,19.1785,-20.389886,0.0203136,28.2097,-20.570494,0.0313158,-314.155,22.3978,-17.581145,-549.87,22.8903,-17.121541,-549.133,22.1608,-17.830688,-549.87,23.5024,-16.540756
24.0212,-19.850014,0.0264002,32.3148,-20.582388,0.0211313,21.6415,-20.307301,0.0194567,30.6727,-20.591342,0.0319025,-294.534,22.2868,-17.692193,-490.921,23.0144,-16.997445,-482.794,22.3829,-17.608594,-490.921,23.511,-16.532196
26.5676,-19.80258,0.0227132,34.6944,-20.548053,0.02319,24.0212,-20.315743,0.0222285,32.8888,-20.505782,0.0410832,-291.987,22.2341,-17.744902,-488.458,23.1761,-16.835791,-295.271,22.6035,-17.38793,-488.458,23.3577,-16.68541
29.0307,-19.80876,0.0253369,42.0836,-20.473926,0.0259313,26.5676,-20.274321,0.0247896,42.8212,-20.481339,0.0347285,-284.598,22.351,-17.62797,-485.995,23.2125,-16.799367,-292.808,22.7135,-17.277994,-485.995,23.4877,-16.555498
