SN2016aps,luma,days_a,lum_a,SN2010jl,daysb,lumb,SN2009ip,days_c,lumc,lum_c,SN2012ca,days_d,lumd,lum_d,SN2006gy,days_e,lume,lum_e,PS1-10adi.,days_f,lumf,lum_f
1.07,44.48,11.74897555,3.02E+44,,26.87126005,3.24E+43,,-55.74184179,41.22986986,1.70E+41,,-5.906281457,43.02642125,1.06E+43,,5.292520587,9.058423701,4.40E+42,,3.897775984,44.7673547,5.85E+44
1.37,44.57,23.44228815,3.72E+44,,29.55190936,3.19E+43,,-45.78049327,41.61199093,4.09E+41,,-1.059226366,43.12643404,1.34E+43,,5.844414217,9.188123337,5.93E+42,,60.79943121,44.74747979,5.59E+44
1.4,44.62,25.11886432,4.17E+44,,32.49966036,3.16E+43,,-38.12634589,41.78403038,6.08E+41,,-1.418267483,43.08604697,1.22E+43,,6.971086606,9.322417238,8.08E+42,,111.418619,44.66798017,4.66E+44
1.52,44.6,33.11311215,3.98E+44,,35.74348597,3.06E+43,,-32.4528099,41.75044726,5.63E+41,,6.498589167,43.11219303,1.29E+43,,8.100797416,9.440101104,1.06E+43,,180.2013927,44.56243756,3.65E+44
1.55,44.64,35.48133892,4.37E+44,,39.14072417,2.99E+43,,-30.57353333,41.75474707,5.69E+41,,10.66769015,43.06816757,1.17E+43,,9.232447643,9.54718282,1.36E+43,,236.2454558,44.48328061,3.04E+44
1.69,44.58,48.97788194,3.80E+44,,43.98815313,2.88E+43,,-28.84461592,41.55760763,3.61E+41,,18.50851456,43.06570848,1.16E+43,,10.65067916,9.660979231,1.76E+43,,294.376862,44.39727024,2.50E+44
1.74,44.54,54.95408739,3.47E+44,,48.38280603,2.71E+43,,-27.28033286,41.51439598,3.27E+41,,27.39478223,43.05105261,1.12E+43,,13.76538493,9.819843194,2.54E+43,,344.9691039,44.32685139,2.12E+44
1.79,44.6,61.65950019,3.98E+44,,53.21406072,2.59E+43,,-25.66434779,41.51138184,3.25E+41,,37.33745934,43.03500661,1.08E+43,,11.78821229,9.735901092,2.09E+43,,387.7521122,44.27596478,1.89E+44
1.9,44.38,79.43282347,2.40E+44,,58.5283491,2.47E+43,,-11.91439784,41.08698298,1.22E+41,,43.21503149,43.0281129,1.07E+43,,18.00997345,9.987871005,3.74E+43,,460.399338,44.17419155,1.49E+44
1.95,44.33,89.12509381,2.14E+44,,62.44668799,2.47E+43,,-7.713827234,42.34281872,2.20E+42,,55.22495688,43.00193298,1.00E+43,,19.67346168,10.05458153,4.36E+43,,521.4935981,44.09587223,1.25E+44
