MJD,phase,Band,mag,magerr
55768.62491,-1.93709,g,19.9992,0.0171565
55770.562,0,g,19.9061,0.0206566
55773.02506,2.463055,g,19.9776,0.0247266
55775.48811,4.926105,g,20.028,0.0190015
55777.95117,7.389165,g,20.0048,0.0196586
55780.41422,9.852215,g,20.0825,0.0241508
55790.26647,19.704465,g,20.1846,0.0335819
55795.10917,24.547165,g,20.1931,0.0264002
55797.65557,27.093565,g,20.2406,0.0227132
55800.11867,29.556665,g,20.2344,0.0253369
55802.58167,32.019665,g,20.297,0.0267453
55804.96137,34.399365,g,20.3701,0.0266503
55812.26717,41.705165,g,20.411,0.038659
55814.81357,44.251565,g,20.4981,0.0384223
55818.01427,47.452265,g,20.4931,0.0297522
55819.57617,49.014165,g,20.5641,0.0400268
55822.11937,51.557365,g,20.5174,0.029326
55824.58247,54.020465,g,20.6441,0.0371711
55827.12887,56.566865,g,20.5274,0.0371449
55837.71877,67.156765,g,20.7188,0.04145
55840.18177,69.619765,g,20.6793,0.0386699
55842.64487,72.082865,g,20.7351,0.037404
55846.66977,76.107765,g,20.7215,0.0401746
55861.44807,90.886065,g,20.6208,0.0328755
55866.29077,95.728765,g,20.7943,0.0403234
55868.01617,97.454165,g,20.7395,0.0335495
55872.85897,102.296965,g,20.8415,0.0421126
56080.08597,309.523965,g,21.963,0.100192
56086.57097,316.008965,g,22.1934,0.107788
56091.57997,321.017965,g,21.9726,0.0880532
56093.87597,323.313965,g,22.0254,0.189204
56103.89497,333.332965,g,21.8708,0.161468
56128.35897,357.796965,g,22.2111,0.136806
56130.82197,360.259965,g,22.3683,0.135282
56134.84697,364.284965,g,21.9898,0.106885
56137.30997,366.747965,g,22.176,0.118276
56139.77297,369.210965,g,22.1433,0.151412
56152.08897,381.526965,g,22.4376,0.134347
56154.46797,383.905965,g,22.7197,0.249638
56156.93097,386.368965,g,22.8475,0.302984
56158.65697,388.094965,g,22.6034,0.183794
56161.11997,390.557965,g,22.2312,0.131674
56452.58097,682.018965,g,22.7036,0.238226
55766.45691,-4.105095,i,19.4088,0.0204889
55768.91997,-1.642035,i,19.3435,0.0361552
55773.84608,3.284075,i,19.3002,0.026787
55781.23527,10.673265,i,19.3197,0.0187094
55788.62437,18.062365,i,19.3563,0.023651
55796.01357,25.451565,i,19.3448,0.0198952
55798.47667,27.914665,i,19.4528,0.0230496
55803.40277,32.840765,i,19.4091,0.0211313
55805.78237,35.220365,i,19.4434,0.02319
55813.17157,42.609565,i,19.5175,0.0259313
55815.47107,44.909065,i,19.5787,0.0241844
55818.83527,48.273265,i,19.5163,0.0255422
55823.02377,52.461765,i,19.5879,0.021889
55825.32327,54.761265,i,19.5986,0.0268071
55836.07667,65.514665,i,19.601,0.022806
55838.53977,67.977765,i,19.6149,0.0367899
55843.46587,72.903865,i,19.6209,0.0274321
55845.02767,74.465665,i,19.6572,0.0243206
55859.80607,89.244065,i,19.6512,0.0304223
55867.11177,96.549765,i,19.7302,0.0279927
55868.75387,98.191865,i,19.7049,0.038099
55871.21697,100.654965,i,19.7285,0.0306906
56071.05497,300.492965,i,20.3736,0.0545082
56080.82397,310.261965,i,20.4684,0.0516239
56083.36997,312.807965,i,20.3473,0.0554791
56085.83297,315.270965,i,20.4366,0.0508219
56087.47497,316.912965,i,20.4123,0.047741
56095.60197,325.039965,i,20.6002,0.0550086
56126.79997,356.237965,i,20.6916,0.0673834
56129.26397,358.701965,i,20.7805,0.0666658
56131.72697,361.164965,i,20.7323,0.0629757
56134.02597,363.463965,i,21.0377,0.0908305
56135.74797,365.185965,i,20.6626,0.061947
56140.59397,370.031965,i,20.7679,0.0658412
56150.52697,379.964965,i,20.83,0.068424
56152.98997,382.427965,i,20.8712,0.074958
56155.37297,384.810965,i,20.8231,0.0624212
56157.83597,387.273965,i,21.1038,0.0975093
56161.85697,391.294965,i,21.0165,0.0815221
56175.07697,404.514965,i,21.263,0.105218
56184.02497,413.462965,i,21.2736,0.118958
56192.23497,421.672965,i,21.2598,0.104608
55768.09895,-2.463055,r,19.6878,0.0220901
55770.562,0,r,19.5449,0.017953
55773.02506,2.463055,r,19.5803,0.0174415
