F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,7.739435116044813e+17,0.005694697043116342,30198.542805366433,0.21812785108694666,1.8274657763864058e-24,True
0.001,0.05361336110051615,7.217823092208914e+17,0.006106236978612762,28163.262091280918,0.2507940226782925,2.415802207218608e-24,True
0.001,0.05748784976988677,6.731365973005025e+17,0.006547517761993815,26265.152485477895,0.2883521819783052,3.193548344277335e-24,True
0.001,0.061642336972103286,6.27769443552031e+17,0.007020688681716357,24494.96911435481,0.3315349383677572,4.2216829659157625e-24,True
0.001,0.06609705742330142,5.854598841276407e+17,0.007528054349343316,22844.0901778484,0.381184614607086,5.580816428422152e-24,True
0.001,0.07087370814634027,5.4600184740329946e+17,0.008072085924313093,21304.474956363494,0.43826967718248755,7.37751087876648e-24,True
0.001,0.07599555414764668,5.0920315029273824e+17,0.00865543314989183,19868.624647894336,0.5039036272112724,9.752635203897178e-24,True
0.001,0.0814875417310322,4.748845622064869e+17,0.009280937258930574,18529.545844592692,0.5793667203924532,1.2892409782010061e-23,True
0.001,0.08737642000038418,4.4287893209694234e+17,0.00995164481228559,17280.716470893207,0.6661309396718669,1.7043006993725036e-23,True
0.001,0.09369087114301919,4.130303743376747e+17,0.010670822537302914,16116.054017294988,0.7658887077385961,2.2529852238599447e-23,True
0.001,0.10046165012825234,3.8519350947174464e+17,0.011441973238638943,15029.885915080069,0.8805858994185827,2.978313874306407e-23,True
0.001,0.10772173450159418,3.5923275613104224e+17,0.012268852858911843,14016.921907676637,1.0124597979051229,3.9371556634929226e-23,True
0.001,0.11550648500415797,3.350216706778935e+17,0.013155488772278814,13072.228284099958,1.1640827352003928,5.204688079487366e-23,True
0.001,0.12385381779958553,3.124423313526114e+17,0.014106199400039402,12191.203848973111,1.3384122680183816,6.88029133720498e-23,True
0.001,0.1328043891473343,2.913847639274414e+17,0.015125615243803937,11369.557512087917,1.5388488678802839,9.095340232085618e-23,True
0.001,0.14240179342179007,2.717464060695087e+17,0.016218701438670647,10603.287388354443,1.7693022507052423,1.2023504512092544e-22,True
0.001,0.15269277544167076,2.5343160780391037e+17,0.017390781936258204,9888.66130634399,2.034267639721311,1.5894365363302098e-22,True
0.001,0.1637274581438864,2.3635116564392234e+17,0.018647565435378897,9222.198630490997,2.338913449280818,2.1011415602502256e-22,True
0.001,0.17555958671075653,2.2042188811927232e+17,0.01999517318664945,8600.653308417754,2.689182099940467,2.7775854872468857e-22,True
0.001,0.18824679033962338,2.05566190586352e+17,0.02144016880646391,8020.998060812635,3.0919059313049253,3.6718045489737215e-22,True
0.001,0.2018508629298277,1.917117173468657e+17,0.022989590245539444,7480.409636857679,3.554940473629589,4.853909522413114e-22,True
0.001,0.2164380640541529,1.7879098923441677e+17,0.024650984067740207,6976.255063390961,4.08731767777816,6.4165827286089875e-22,True
0.001,0.23207944168063896,1.6674107495257878e+17,0.026432442206136532,6506.078820829419,4.6994220924382715,8.48234474148466e-22,True
0.001,0.24885117821660555,1.5550328456368083e+17,0.028342641375322435,6067.59088339155,5.403193425107565,1.1213160549243004e-21,True
0.001,0.26683496156031544,1.4502288363542253e+17,0.03039088533195183,5658.655565369074,6.212359438004473,1.4823138334400252e-21,True
0.001,0.2861183829675108,1.3524882665305077e+17,0.032587150189326265,5277.281119122556,7.14270372177079,1.959531651364789e-21,True
0.001,0.30679536367065857,1.2613350839866357e+17,0.03494213300674205,4921.61003413732,8.212373570159405,2.5903855216607034e-21,True
0.001,0.328966612328784,1.1763253208671635e+17,0.03746730389025453,4589.909989890502,9.44223396111026,3.4243372114739265e-21,True
0.001,0.35274011553593215,1.0970449312641942e+17,0.0401749618586198,4280.565418464608,10.856274548968594,4.5267722660708034e-21,True
0.001,0.3782316637773144,1.0231077745782595e+17,0.04307829474651294,3992.0696358126643,12.482077606635038,5.984126528253803e-21,True
0.001,0.4055654153948436,9.541537347939274e+16,0.04619144343678535,3723.0175033497662,14.35135604532607,7.910663095325875e-21,True
0.001,0.43487450130889166,8.89846966509941e+16,0.04952957073460879,3472.0985841288016,16.500572006557228,1.0457431057362911e-20,True
0.001,0.4663016734416099,8.298742591810515e+16,0.053108935218962774,3238.09076026701,18.97164809260323,1.3824108421974644e-20,True
0.001,0.49999999999999994,7.739435116044813e+16,0.05694697043116343,3019.8542805366433,21.81278510869467,1.8274657763864065e-20,True
0.001,0.5361336110051615,7.217823092208914e+16,0.06106236978612763,2816.3262091280913,25.079402267829256,2.4158022072186093e-20,True
0.001,0.5748784976988678,6.731365973005025e+16,0.06547517761993817,2626.5152485477893,28.835218197830525,3.1935483442773355e-20,True
0.001,0.6164233697210328,6.277694435520309e+16,0.07020688681716357,2449.496911435481,33.15349383677572,4.221682965915763e-20,True
0.001,0.6609705742330146,5.854598841276403e+16,0.0752805434934332,2284.4090177848384,38.11846146070865,5.580816428422167e-20,True
0.001,0.7087370814634026,5.4600184740329944e+16,0.08072085924313092,2130.4474956363492,43.826967718248746,7.377510878766478e-20,True
0.001,0.7599555414764668,5.092031502927382e+16,0.08655433149891831,1986.8624647894337,50.39036272112723,9.752635203897178e-20,True
0.001,0.8148754173103221,4.748845622064869e+16,0.09280937258930574,1852.9545844592694,57.93667203924532,1.2892409782010062e-19,True
0.001,0.8737642000038418,4.428789320969423e+16,0.0995164481228559,1728.0716470893205,66.6130939671867,1.7043006993725043e-19,True
0.001,0.9369087114301918,4.130303743376747e+16,0.10670822537302914,1611.605401729499,76.58887077385961,2.2529852238599435e-19,True
0.001,1.0046165012825232,3.851935094717446e+16,0.11441973238638943,1502.988591508007,88.05858994185826,2.9783138743064063e-19,True
0.001,1.0772173450159421,3.5923275613104212e+16,0.12268852858911847,1401.692190767663,101.24597979051234,3.937155663492928e-19,True
0.001,1.15506485004158,3.350216706778934e+16,0.13155488772278817,1307.2228284099951,116.40827352003936,5.204688079487373e-19,True
0.001,1.2385381779958555,3.1244233135261132e+16,0.14106199400039404,1219.120384897311,133.84122680183822,6.880291337204983e-19,True
0.001,1.3280438914733432,2.913847639274413e+16,0.15125615243803942,1136.9557512087913,153.88488678802844,9.095340232085629e-19,True
0.001,1.4240179342179007,2.717464060695087e+16,0.16218701438670646,1060.3287388354445,176.93022507052422,1.2023504512092544e-18,True
0.001,1.5269277544167075,2.5343160780391036e+16,0.17390781936258207,988.8661306343989,203.42676397213108,1.58943653633021e-18,True
0.001,1.637274581438864,2.3635116564392236e+16,0.18647565435378896,922.2198630490999,233.89134492808176,2.1011415602502247e-18,True
0.001,1.7555958671075653,2.204218881192723e+16,0.1999517318664945,860.0653308417754,268.91820999404666,2.7775854872468843e-18,True
0.001,1.8824679033962335,2.05566190586352e+16,0.21440168806463908,802.0998060812634,309.1905931304925,3.6718045489737215e-18,True
0.001,2.0185086292982777,1.9171171734686564e+16,0.2298959024553945,748.0409636857677,355.49404736295907,4.853909522413118e-18,True
0.001,2.1643806405415296,1.7879098923441672e+16,0.24650984067740211,697.625506339096,408.73176777781623,6.416582728608995e-18,True
0.001,2.3207944168063896,1.6674107495257878e+16,0.2643244220613653,650.607882082942,469.942209243827,8.482344741484659e-18,True
0.001,2.4885117821660554,1.555032845636808e+16,0.28342641375322436,606.7590883391549,540.3193425107565,1.1213160549243007e-17,True
0.001,2.6683496156031548,1.4502288363542246e+16,0.3039088533195184,565.8655565369071,621.2359438004476,1.482313833440027e-17,True
0.001,2.861183829675108,1.3524882665305076e+16,0.32587150189326264,527.7281119122557,714.2703721770789,1.9595316513647896e-17,True
0.001,3.067953636706586,1.2613350839866358e+16,0.34942133006742054,492.16100341373203,821.2373570159406,2.590385521660703e-17,True
0.001,3.289666123287841,1.176325320867163e+16,0.37467303890254544,458.99099898905,944.2233961110268,3.424337211473933e-17,True
0.001,3.527401155359322,1.097044931264194e+16,0.4017496185861981,428.05654184646073,1085.6274548968597,4.5267722660708066e-17,True
0.001,3.7823166377731448,1.0231077745782592e+16,0.4307829474651296,399.20696358126634,1248.2077606635046,5.984126528253811e-17,True
0.001,4.055654153948436,9541537347939274.0,0.46191443436785345,372.30175033497665,1435.1356045326067,7.910663095325874e-17,True
0.001,4.348745013088917,8898469665099410.0,0.49529570734608797,347.20985841288024,1650.057200655723,1.0457431057362912e-16,True
0.001,4.663016734416099,8298742591810513.0,0.5310893521896278,323.8090760267009,1897.1648092603227,1.382410842197465e-16,True
0.001,4.999999999999999,7739435116044814.0,0.5694697043116342,301.98542805366435,2181.278510869466,1.8274657763864047e-16,True
0.001,5.3613361100516155,7217823092208914.0,0.6106236978612762,281.63262091280916,2507.9402267829255,2.4158022072186086e-16,True
0.001,5.748784976988677,6731365973005026.0,0.6547517761993815,262.65152485477904,2883.521819783051,3.193548344277333e-16,True
0.001,6.164233697210329,6277694435520309.0,0.7020688681716357,244.94969114354808,3315.3493836775724,4.2216829659157626e-16,True
0.001,6.609705742330143,5854598841276405.0,0.7528054349343316,228.44090177848392,3811.8461460708604,5.580816428422157e-16,True
0.001,7.087370814634023,5460018474032997.0,0.8072085924313088,213.04474956363504,4382.696771824871,7.377510878766466e-16,True
0.001,7.599555414764665,5092031502927385.0,0.8655433149891827,198.68624647894347,5039.0362721127185,9.752635203897158e-16,True
0.001,8.148754173103224,4748845622064867.0,0.9280937258930579,185.29545844592687,5793.667203924539,1.2892409782010089e-15,True
0.001,8.737642000038422,4428789320969422.0,0.9951644812285595,172.80716470893202,6661.309396718676,1.7043006993725067e-15,True
0.001,9.369087114301923,4130303743376745.0,1.067082253730292,161.1605401729498,7658.887077385969,2.252985223859949e-15,True
0.001,10.046165012825238,3851935094717444.0,1.144197323863895,150.2988591508006,8805.858994185835,2.978313874306414e-15,True
0.001,10.772173450159421,3592327561310421.0,1.2268852858911847,140.16921907676632,10124.597979051236,3.93715566349293e-15,True
0.001,11.5506485004158,3350216706778934.0,1.3155488772278818,130.72228284099953,11640.827352003937,5.204688079487372e-15,True
0.001,12.385381779958555,3124423313526113.0,1.4106199400039403,121.91203848973109,13384.12268018382,6.880291337204983e-15,True
0.001,13.280438914733432,2913847639274413.0,1.512561524380394,113.69557512087914,15388.488678802842,9.095340232085625e-15,True
0.001,14.240179342179008,2717464060695087.0,1.6218701438670649,106.03287388354444,17693.02250705243,1.2023504512092552e-14,True
0.001,15.269277544167075,2534316078039104.0,1.7390781936258204,98.88661306343992,20342.676397213105,1.5894365363302092e-14,True
0.001,16.37274581438864,2363511656439223.5,1.8647565435378897,92.22198630490999,23389.134492808178,2.1011415602502255e-14,True
0.001,17.555958671075654,2204218881192722.8,1.999517318664945,86.00653308417752,26891.820999404667,2.7775854872468856e-14,True
0.001,18.824679033962333,2055661905863520.2,2.1440168806463906,80.20998060812636,30919.059313049238,3.671804548973719e-14,True
0.001,20.185086292982767,1917117173468657.2,2.298959024553944,74.8040963685768,35549.40473629587,4.8539095224131097e-14,True
0.001,21.643806405415283,1787909892344168.5,2.4650984067740196,69.76255063390965,40873.176777781584,6.416582728608979e-14,True
0.001,23.207944168063907,1667410749525787.2,2.643244220613654,65.06078820829417,46994.22092438274,8.482344741484669e-14,True
0.001,24.885117821660565,1555032845636807.8,2.834264137532245,60.67590883391548,54031.9342510757,1.121316054924302e-13,True
0.001,26.68349615603156,1450228836354224.0,3.039088533195185,56.586555653690695,62123.594380044815,1.4823138334400298e-13,True
0.001,28.611838296751095,1352488266530506.8,3.2587150189326284,52.77281119122553,71427.03721770796,1.9595316513647937e-13,True
0.001,30.679536367065875,1261335083986635.0,3.4942133006742075,49.21610034137317,82123.73570159417,2.59038552166071e-13,True
0.001,32.89666123287841,1176325320867163.2,3.7467303890254544,45.899099898905014,94422.33961110265,3.42433721147393e-13,True
0.001,35.27401155359322,1097044931264194.0,4.017496185861981,42.80565418464607,108562.74548968597,4.526772266070806e-13,True
0.001,37.82316637773145,1023107774578259.4,4.307829474651295,39.92069635812664,124820.77606635043,5.98412652825381e-13,True
0.001,40.55654153948436,954153734793927.4,4.619144343678535,37.23017503349766,143513.5604532607,7.910663095325874e-13,True
0.001,43.487450130889165,889846966509940.9,4.95295707346088,34.72098584128802,165005.7200655723,1.0457431057362913e-12,True
0.001,46.63016734416099,829874259181051.5,5.3108935218962765,32.3809076026701,189716.48092603224,1.3824108421974642e-12,True
0.001,49.99999999999999,773943511604481.4,5.694697043116342,30.19854280536644,218127.85108694664,1.8274657763864053e-12,True
0.0010722672220103231,0.049999999999999996,7.999508987071282e+17,0.005653024035249367,31213.32641799317,0.2149470729901856,1.6856272100913806e-24,True
0.0010722672220103231,0.05361336110051615,7.460368854765074e+17,0.006061552378234426,29109.652684778855,0.24713690081073356,2.228299969993787e-24,True
0.0010722672220103231,0.05748784976988677,6.957564962937243e+17,0.006499603929679495,27147.75952043287,0.2841473805280572,2.9456814214604043e-24,True
0.0010722672220103231,0.061642336972103286,6.488648370592699e+17,0.006969312249844812,25318.091389136494,0.32670043848607616,3.89401748130041e-24,True
0.0010722672220103231,0.06609705742330142,6.051335187163103e+17,0.007472965085463612,23611.736766203925,0.37562611454887374,5.147661941377057e-24,True
0.0010722672220103231,0.07087370814634027,5.643495448660502e+17,0.008013015512370209,22020.384733887342,0.43187875285663924,6.804906138698872e-24,True
0.0010722672220103231,0.07599555414764668,5.2631427435410035e+17,0.008592093883374828,20536.2845024795,0.4965556172605706,8.99568543619511e-24,True
0.0010722672220103231,0.0814875417310322,4.9084245377504723e+17,0.009213020639578219,19152.207659558382,0.5709182945493817,1.1891766736762894e-23,True
0.0010722672220103231,0.08737642000038418,4.5776131518298125e+17,0.009878820047524306,17861.41296350659,0.6564173029586965,1.572021577728645e-23,True
0.0010722672220103231,0.09369087114301919,4.269097346133128e+17,0.010592734929098777,16657.613509829578,0.7547203859768761,2.0781200098759847e-23,True
0.0010722672220103231,0.10046165012825234,3.981374473174027e+17,0.011358242455916464,15534.946110354203,0.8677450433461925,2.7471523525056944e-23,True
0.0010722672220103231,0.10772173450159418,3.713043158877513e+17,0.012179071085125259,14487.942736166784,0.9976959338089966,3.6315737358825337e-23,True
0.0010722672220103231,0.11550648500415797,3.462796477091012e+17,0.013059218719113514,13511.503885201579,1.1471078791767704,4.8007267551516245e-23,True
0.0010722672220103231,0.12385381779958553,3.2294155841105005e+17,0.014002972177569059,12600.873744764618,1.3188953085593522,6.34627824017673e-23,True
0.0010722672220103231,0.1328043891473343,3.0117637822182816e+17,0.01501492807672982,11751.617028020377,1.5164091072133705,8.389406345304195e-23,True
0.0010722672220103231,0.14240179342179007,2.8087809833184342e+17,0.016100015217519893,10959.597371621641,1.743501978903408,1.109030145905962e-22,True
0.0010722672220103231,0.15269277544167076,2.619478545704713e+17,0.017263518591613982,10220.957189266881,2.004603596733989,1.4660725847623754e-22,True
0.0010722672220103231,0.1637274581438864,2.4429344588130048e+17,0.018511105122353495,9532.098883060402,2.3048070083443655,1.9380616764353342e-22,True
0.0010722672220103231,0.17555958671075653,2.278288852505356e+17,0.019848851265887042,8889.667321163934,2.649967980885661,2.562003478344922e-22,True
0.0010722672220103231,0.18824679033962338,2.1247398090132256e+17,0.021283272606968787,8290.533496395872,3.0468192236033023,3.3868178205372466e-22,True
0.0010722672220103231,0.2018508629298277,1.9815394571417472e+17,0.022821355593562832,7731.779286186233,3.5031017160501956,4.477173839326224e-22,True
