rs,rho
100000000000000.0,1.6006961557942576e-11
116878257941976.14,1.1717674836080938e-11
136605271795511.67,8.577761811141087e-12
159661861931495.72,6.279231905472449e-12
186610002823255.38,4.596624876140971e-12
218106520445293.4,3.3648956703675457e-12
254919101554320.0,2.4632253397984085e-12
297945005058026.25,1.8031700441881122e-12
348232931536953.8,1.3199856934418583e-12
407008583960666.06,9.662772718008921e-13
475704542607533.8,7.073499134406292e-13
555995182350531.2,5.178057216558117e-13
649837483372614.5,3.7905251741011284e-13
759518730019893.9,2.7748015316533736e-13
887712260390273.0,2.0312550864120857e-13
1037542625481490.2,1.4869521942408914e-13
1212661746068207.8,1.0885027896044589e-13
1417337923533277.2,7.968234133993493e-14
1656559874176672.5,5.83303559903706e-14
1936158322703486.8,4.269993040802056e-14
2262948118574429.5,3.1257893525470326e-14
2644894339120518.0,2.2881908666205277e-14
3091306427970004.5,1.6750384787827187e-14
3613065100659671.0,1.2261887530154316e-14
4222887547960530.5,8.976145187507505e-15
4935637400904921.0,6.5708629465955855e-15
5768687012510300.0,4.810109346608327e-15
6742340886347067.0,3.521174024534526e-15
7880330572472078.0,2.577626747674466e-15
9210393093174320.0,1.8869160126799497e-15
