waveAng,fluxAng
3120.689655,1.8725489014969808e-16
3122.265816,1.3906027540980701e-16
3123.841976,2.6709469755752804e-16
3125.418136,3.21616579374695e-16
3126.994297,1.2346940744752756e-16
3128.570457,-1.0538726758722043e-16
3130.146617,-3.7674276543523066e-16
3131.722778,-2.962856206822478e-16
3133.298938,1.0532447315828141e-16
3134.875098,2.499948629097584e-16
3136.451259,4.3877534589248426e-17
3138.027419,-9.356085090862883e-17
3139.603579,-1.218418249826256e-16
3141.17974,-5.740641575047533e-17
3142.7559,-7.86792662101472e-17
3144.33206,-1.4026740603128783e-16
3145.908221,-4.5817180757225543e-17
3147.484381,4.601626810611249e-17
3149.060541,1.228854669231835e-16
3150.636702,2.4267001549500445e-16
3152.212862,1.9577295256957037e-16
3153.789022,9.015719625102256e-18
3155.365183,-6.128568663831604e-18
3156.941343,1.076890189003024e-17
3158.517503,-6.882945914623404e-17
3160.093664,-7.493942022371654e-18
3161.669824,4.1972281239734303e-17
3163.245984,-1.022426498299655e-16
3164.822145,-5.117430451459285e-17
3166.398305,2.4669712650049114e-17
3167.974465,2.4610634713740657e-17
3169.550626,4.4837976053964336e-17
3171.126786,-1.2459767063869432e-16
3172.702946,-5.819761401873487e-17
3174.279107,2.398725396302239e-16
3175.855267,2.0257779421382707e-16
3177.431427,1.6460674966257988e-16
3179.007588,1.7179727766334644e-16
3180.583748,-6.213065814681375e-18
3182.159908,5.1902706830375244e-17
3183.736069,2.108011148577125e-16
3185.312229,3.0345169365783715e-16
3186.888389,2.3928373576427535e-16
3188.46455,6.21815851653971e-18
3190.04071,-3.498729069744891e-17
3191.61687,1.1751812982145652e-16
3193.193031,1.0725359433125987e-16
3194.769191,-1.4442181835233514e-17
3196.345351,1.3381542643958585e-17
3197.921512,1.301931874204878e-16
3199.497672,1.5826620273398943e-16
3201.073832,9.205850893464928e-17
3202.649993,3.544786631989439e-17
3204.226153,-3.349944150471469e-17
3205.802313,-6.468814907607162e-17
3207.378474,-3.364670219197359e-17
3208.954634,-5.456520757628019e-18
3210.530794,-5.36202523733222e-17
3212.106955,-1.1356344310050613e-17
3213.683115,1.833019358530476e-16
3215.259275,1.4501895466974992e-16
3216.835436,-4.5744335001137606e-17
3218.411596,-4.551929222962941e-17
3219.987756,2.7492590889630065e-17
3221.563917,1.5228197646281982e-17
3223.140077,-2.3834309537326526e-17
3224.716237,-8.626945365990149e-18
3226.292398,7.401980331393385e-18
3227.868558,-7.99990468297785e-17
3229.444718,-1.41324796414461e-16
3231.020879,-4.511957964651154e-17
3232.597039,5.208515754647738e-17
3234.173199,3.473674688461996e-17
3235.74936,1.0316374121399545e-16
3237.32552,1.913417800051614e-16
3238.90168,8.642376416919651e-17
3240.477841,-6.501342611158245e-17
3242.054001,-1.216978871442046e-16
3243.630161,-9.132122281819296e-17
3245.206322,-3.8609448410183714e-17
3246.782482,-5.1128534029725723e-17
3248.358642,-7.863668307737588e-18
3249.934803,1.7840948182826037e-17
3251.510963,6.325330978940662e-18
3253.087123,-5.2689679410078426e-18
3254.663284,-1.3100703606851826e-17
3256.239444,6.856407519645747e-17
3257.815604,8.95669172311927e-17
3259.391765,6.372455901651196e-18
3260.967925,1.381555002202814e-17
3262.544085,6.349640911364463e-17
3264.120246,6.247031352998224e-17
3265.696406,2.9047180326791184e-17
3267.272566,-1.1462492272427867e-18
3268.848727,-2.1323943389703355e-17
3270.424887,-2.3286498739799865e-17
3272.001048,-1.0941569545922882e-17
3273.577208,-7.811547802394466e-17
3275.153368,-1.4478060158849294e-16
3276.729529,-9.081532971923323e-17
3278.305689,-3.465510959348139e-17
3279.881849,-5.09856639170771e-17
3281.45801,-1.0742254755855167e-16
3283.03417,-1.365634704670061e-16
3284.61033,-6.885868044594317e-17
3286.186491,-2.5698160530883294e-17
3287.762651,4.6843400333484e-17
3289.338811,9.172311957178916e-17
3290.914972,3.801448493600871e-17
3292.491132,1.8142568760252993e-18
3294.067292,1.1313147164012053e-19
3295.643453,6.79534490629837e-17
3297.219613,9.885153434347707e-17
3298.795773,1.801899109998254e-17
3300.371934,-2.9280513991150124e-17
3301.948094,1.9214578431399206e-17
3303.524254,-1.855607309806577e-17
3305.100415,-2.3269103125736175e-17
3306.676575,2.7275741025969936e-17
3308.252735,7.969923311206194e-17
3309.828896,8.630347244987712e-17
3311.405056,4.6279636176941245e-17
3312.981216,3.0891577587794013e-17
3314.557377,2.7598973883316187e-17
3316.133537,-1.6188050655008852e-18
3317.709697,-3.348016979543657e-17
3319.285858,3.568875917513895e-17
3320.862018,6.989940346144258e-17
3322.438178,1.7874658192738177e-17
3324.014339,1.8995447470216973e-17
3325.590499,3.7256258855482397e-17
3327.166659,3.006507651413727e-17
3328.74282,7.44535253691047e-18
3330.31898,-3.800317260915788e-17
3331.89514,-6.799651979541667e-17
3333.471301,-1.0845787905318051e-17
3335.047461,2.0408077763045604e-17
3336.623621,2.7656047003564376e-18
3338.199782,4.980157863594421e-18
3339.775942,1.7615940828945123e-17
3341.352102,-1.1652984507225026e-17
3342.928263,-3.788257575003859e-17
3344.504423,8.45877807249505e-18
3346.080583,1.7937725119760914e-17
3347.656744,-1.838485422266241e-17
3349.232904,-1.908202515793303e-17
3350.809064,-1.7436376193443328e-17
3352.385225,1.1229536533576358e-17
3353.961385,2.5404245955579743e-17
3355.537545,-2.7425546422102997e-19
3357.113706,-3.2801328075201115e-17
3358.689866,-3.118627540376051e-17
3360.266026,-1.2378380017015467e-17
3361.842187,2.6908708554225077e-17
3363.418347,3.1179183113813374e-17
3364.994507,-1.1826858675617986e-17
3366.5706680000003,-4.276387366300095e-18
3368.1468279999995,4.362713857780363e-18
3369.722988,-4.323322106162988e-18
3371.299149,1.422945779161719e-17
3372.875309,2.2076210487394923e-19
3374.451469,-1.266090647118885e-17
3376.0276300000005,-3.7389260043625425e-17
3377.6037899999997,-4.2137041899557796e-17
3379.17995,-1.5638483920888502e-17
3380.756111,-7.053442072416588e-18
3382.332271,5.675333017438981e-19
3383.908431,1.369909466857345e-17
3385.484592,1.7666531415402372e-17
3387.060752,2.5796234531072052e-17
3388.636912,3.908802712635927e-17
3390.2130730000003,3.5919998654964984e-17
3391.7892329999995,1.535449378780901e-17
3393.365393,-8.861065765085567e-18
3394.941554,1.0530724082762751e-17
3396.517714,5.54428657321811e-18
3398.093874,-4.264650909330215e-18
3399.6700350000006,3.1671364338178937e-17
3401.2461949999997,2.3218612620736482e-17
3402.822355,-1.8277444148156627e-17
3404.398516,-4.6771210796954055e-17
3405.9746759999994,1.28661729538471e-17
3407.550836,6.78280076908849e-17
3409.126997,5.125019730188245e-17
3410.703157,4.7397887978387914e-18
3412.279317,-1.153810469927035e-17
3413.8554780000004,1.710122616071536e-17
3415.4316379999996,-1.464072889204932e-17
3417.007798,-3.986095274208158e-17
3418.583959,-3.8315997212605534e-17
3420.160119,-1.630788563896349e-17
3421.73628,2.179764315860985e-18
3423.3124400000006,2.0601169333482722e-17
3424.8885999999998,5.170605519231186e-17
3426.4647609999997,2.97260835617284e-17
