waveAng,fluxmaggies,fluxmaggies_adj
3120.689655,2.234429537441001e-08,1.1621136668519336e-08
3122.265816,1.8214084256590702e-08,9.473038146469452e-09
3123.841976,2.925286298671506e-08,1.5214242070189366e-08
3125.418136,3.3976403928200196e-08,1.7670927945511793e-08
3126.994297,1.6904907629459295e-08,8.792143078972746e-09
3128.570457,-2.8538635643468896e-09,-1.4842776627704976e-09
3130.146617,-2.632738948755909e-08,-1.3692720501298959e-08
3131.722778,-1.9395996849524074e-08,-1.008774393792856e-08
3133.298938,1.53757457833094e-08,7.996834992294605e-09
3134.875098,2.7932530091706188e-08,1.4527544693354093e-08
3136.451259,1.0059320612464353e-08,5.231793514678625e-09
3138.027419,-1.881187284833519e-09,-9.783944478807886e-10
3139.603579,-4.349637530231741e-09,-2.262220909200573e-09
3141.17974,1.250852389996523e-09,6.505609746343352e-10
3142.7559,-6.084978541390505e-10,-3.1647615675315824e-10
3144.33206,-5.9893391008043476e-09,-3.115020056719594e-09
3145.908221,2.2480399049599466e-09,1.1691923389870858e-09
3147.484381,1.0273161263904128e-08,5.343010780384523e-09
3149.060541,1.700471068540183e-08,8.844050061654884e-09
3150.636702,2.7509405690127974e-08,1.4307480179520406e-08
3152.212862,2.3418074281987802e-08,1.2179602765911964e-08
3153.789022,7.041310382939686e-09,3.662144136320385e-09
3155.365183,5.7113755082139585e-09,2.9704528262816625e-09
3156.941343,7.197099053018908e-09,3.743168907791627e-09
3158.517503,1.8976813792547263e-10,9.869729294252025e-11
3160.093664,5.589425328579708e-09,2.9070272547640586e-09
3161.669824,9.952742162153276e-09,5.176362689216011e-09
3163.245984,-2.7790859265956584e-09,-1.4453862529723924e-09
3164.822145,1.7262196766366457e-09,8.977967058677681e-10
3166.398305,8.432801352326411e-09,4.385850409321646e-09
3167.974465,8.429742356447972e-09,4.38425944354823e-09
3169.550626,1.0225301981651553e-08,5.318119449035969e-09
3171.126786,-4.80813632055971e-09,-2.500683434667112e-09
3172.702946,1.0797249719216879e-09,5.615586105026797e-10
3174.279107,2.758089647192172e-08,1.4344662114857507e-08
3175.855267,2.428230285721091e-08,1.2629082967333294e-08
3177.431427,2.091686739922864e-08,1.0878739770067643e-08
3179.007588,2.1572756377771945e-08,1.121986377202461e-08
3180.583748,5.695189255778548e-09,2.9620344515443468e-09
3182.159908,1.0888359811101654e-08,5.66297192820594e-09
3183.736069,2.5107541983833958e-08,1.305828498574553e-08
3185.312229,3.342267601215385e-08,1.7382937311583873e-08
3186.888389,2.769792358686417e-08,1.4405527229370192e-08
3188.46455,6.80780360821099e-09,3.5406986355034236e-09
3190.04071,3.10762312545024e-09,1.6162565187205875e-09
3191.61687,1.6814829305921004e-08,8.745293872445139e-09
3193.193031,1.5901568322884807e-08,8.270312203967702e-09
3194.769191,4.948966589399386e-09,2.5739284295898225e-09
3196.345351,7.456466299349532e-09,3.878064287862447e-09
3197.921512,1.800061016476857e-08,9.362011526265792e-09
3199.497672,2.054845292263373e-08,1.0687129566593795e-08
3201.073832,1.4575114812582342e-08,7.580431531099573e-09
3202.649993,9.458743278883139e-09,4.919436774105126e-09
3204.226153,3.214432320112962e-09,1.6718073529640125e-09
3205.802313,3.8258558995943684e-10,1.989805162268229e-10
3207.378474,3.195086916875562e-09,1.6617459224663244e-09
3208.954634,5.754003916950353e-09,2.9926236110652586e-09
3210.530794,1.3721019394694778e-09,7.136221525238532e-10
3212.106955,5.215800009667064e-09,2.7127069228338064e-09
3213.683115,2.2957477984437694e-08,1.1940049339269836e-08
3215.259275,1.948103368017546e-08,1.013197109364318e-08
3216.835436,2.072208061206222e-09,1.0777432307158106e-09
3218.411596,2.0886857418113355e-09,1.0863131755309665e-09
3219.987756,8.765625520182018e-09,4.558950302445412e-09
3221.563917,7.644725958798832e-09,3.975977030017423e-09
3223.140077,4.06464000445564e-09,2.113995371463231e-09
3224.716237,5.458155429110835e-09,2.8387545517484304e-09
3226.292398,6.9298715053944e-09,3.604185431226318e-09
3227.868558,-1.106367844817808e-09,-5.754154120701348e-10
3229.444718,-6.758231134644119e-09,-3.5149162834236646e-09
3231.020879,2.0928429635690452e-09,1.0884753221280354e-09
3232.597039,1.1053390551873272e-08,5.748803446312811e-09
3234.173199,9.45657644081025e-09,4.9183098143616364e-09
3235.74936,1.5782623905648384e-08,8.208449911803192e-09
3237.32552,2.3947847675281874e-08,1.2455134793378202e-08
3238.90168,1.4251352287373031e-08,7.412044545045345e-09
3240.477841,2.2482704313889796e-10,1.169312234427627e-10
3242.054001,-5.039331974703958e-09,-2.6209269352545177e-09
3243.630161,-2.2296997346880334e-09,-1.1596537242452707e-09
3245.206322,2.6613436640815734e-09,1.3841491944118473e-09
3246.782482,1.4931422916811798e-09,7.765745281476045e-10
3248.358642,5.51758398347371e-09,2.8696629935091157e-09
3249.934803,7.912951320132428e-09,4.115479463626968e-09
3251.510963,6.84008510414556e-09,3.5574880517653268e-09
3253.087123,5.757787142870008e-09,2.99459124462557e-09
3254.663284,5.025142229407917e-09,2.6135469321434943e-09
3256.239444,1.2665972915120122e-08,6.587498053527757e-09
3257.815604,1.4639490394104803e-08,7.613912892603804e-09
3259.391765,6.847367908739274e-09,3.561275795620996e-09
3260.967925,7.546479207729714e-09,3.9248794723508784e-09
3262.544085,1.2214782649537849e-08,6.352836648816731e-09
3264.120246,1.2124062220498909e-08,6.305653486992991e-09
3265.696406,8.98387699152945e-09,4.672461609655336e-09
3267.272566,6.141900137812804e-09,3.1943661552050617e-09
3268.848727,4.2389582649459144e-09,2.2046572739771077e-09
3270.424887,4.051763170690785e-09,2.1072982059213466e-09
3272.001048,5.21606678405875e-09,2.7128456706266316e-09
3273.577208,-1.1380391110409856e-09,-5.918874514465084e-10
3275.153368,-7.456218276399028e-09,-3.877935292583945e-09
3276.729529,-2.35570329711041e-09,-1.2251874363223026e-09
3278.305689,2.9628386743744667e-09,1.540954976862388e-09
3279.881849,1.4092267692946738e-09,7.329305582696986e-10
3281.45801,-3.9587908826572846e-09,-2.0589438654725696e-09
3283.03417,-6.740609346039166e-09,-3.5057512947636756e-09
3284.61033,-3.065311015788434e-10,-1.5942502392262535e-10
3286.186491,3.800676293831136e-09,1.9767093973344606e-09
3287.762651,1.071868118250395e-08,5.5747230709643216e-09
3289.338811,1.5008530119514937e-08,7.805848284310793e-09
3290.914972,9.88337363074317e-09,5.140284523827338e-09
3292.491132,6.4234673839177e-09,3.3408076246510413e-09
3294.067292,6.2607258317674546e-09,3.256166700088662e-09
3295.643453,1.276366305526776e-08,6.638306121126196e-09
3297.219613,1.573450710989003e-08,8.18342464919413e-09
3298.795773,7.980432798762455e-09,4.150576183958165e-09
3300.371934,3.4351081619049583e-09,1.7865795609899753e-09
3301.948094,8.098785348730543e-09,4.212130649435832e-09
3303.524254,4.462656956734619e-09,2.3210016485158894e-09
3305.100415,4.0065806660431955e-09,2.083799050869136e-09
3306.676575,8.881980717294745e-09,4.619465956444871e-09
3308.252735,1.3948142681649623e-08,7.2543470115910095e-09
3309.828896,1.4593999744759902e-08,7.590253473306017e-09
3311.405056,1.0728624152007478e-08,5.5798943509512374e-09
3312.981216,9.242284556231737e-09,4.806857864952951e-09
3314.557377,8.92588237028278e-09,4.6422989480787064e-09
3316.133537,6.092783528414095e-09,3.1688208953992687e-09
3317.709697,2.9974841940470305e-09,1.5589739079730035e-09
3319.285858,9.720146246692975e-09,5.05539092094986e-09
3320.862018,1.3053130188467964e-08,6.788856275409272e-09
3322.438178,7.991266081735217e-09,4.156210510746531e-09
3324.014339,8.102211170594756e-09,4.2139123992479836e-09
3325.590499,9.88633947789267e-09,5.141827043494427e-09
3327.166659,9.187216683101374e-09,4.7782173878661e-09
3328.74282,6.977983910472053e-09,3.629208410268159e-09
3330.31898,2.529984892531679e-09,1.3158302695493336e-09
3331.89514,-4.1218889930422903e-10,-2.1437702338767443e-10
3333.471301,5.1862507450076314e-09,2.697338523996097e-09
3335.047461,8.253195070757374e-09,4.292438238131466e-09
3336.623621,6.5216265293306595e-09,3.3918596191308266e-09
3338.199782,6.7396800252139375e-09,3.505267960465685e-09
3339.775942,7.984019477909654e-09,4.152441594697564e-09
3341.352102,5.101679488434058e-09,2.653353510622371e-09
3342.928263,2.513656952408537e-09,1.3073382038785697e-09
3344.504423,7.084940397915803e-09,3.6848358506211045e-09
3346.080583,8.022369251834192e-09,4.1723870866683816e-09
3347.656744,4.431520447075389e-09,2.304807732884744e-09
3349.232904,4.3607884787271296e-09,2.268020451959793e-09
3350.809064,4.5220811685510085e-09,2.351907831743676e-09
3352.385225,7.363699550162566e-09,3.829816846959448e-09
3353.961385,8.771995771253337e-09,4.5622634325787245e-09
3355.537545,6.222638469598793e-09,3.236357686929432e-09
3357.113706,2.987289919865853e-09,1.5536719259005905e-09
3358.689866,3.145018595870345e-09,1.6357056830488266e-09
3360.266026,5.016356225133962e-09,2.6089773829710125e-09
3361.842187,8.933926096735115e-09,4.646482442919803e-09
3363.418347,9.362805424362243e-09,4.869540059959971e-09
3364.994507,5.067997409231156e-09,2.6358356592362356e-09
3366.5706680000003,5.822138829425075e-09,3.0280601784977304e-09
3368.1468279999995,6.686688496747019e-09,3.4777073780320557e-09
3369.722988,5.816633869237704e-09,3.0251970810663624e-09
3371.299149,7.677218856517018e-09,3.992876395104214e-09
3372.875309,6.272056723183068e-09,3.262059830102858e-09
3374.451469,4.9775267843731194e-09,2.5887824190984565e-09
3376.0276300000005,2.4889258000141513e-09,1.2944756769056096e-09
3377.6037899999997,2.0073903110567575e-09,1.0440318999080584e-09
3379.17995,4.673885914561737e-09,2.4308605877272435e-09
3380.756111,5.538400940160477e-09,2.8804897703049784e-09
3382.332271,6.307193125382038e-09,3.2803340663296992e-09
3383.908431,7.634317449215755e-09,3.970563625371911e-09
3385.484592,8.03692876550563e-09,4.179959404137687e-09
3387.060752,8.861709437449732e-09,4.608922982966527e-09
3388.636912,1.0211161249419646e-08,5.3107649373314674e-09
3390.2130730000003,9.893493193483264e-09,5.1455476489184505e-09
3391.7892329999995,7.808847525872745e-09,4.06133569222889e-09
3393.365393,5.349383429126618e-09,2.7821828739960663e-09
3394.941554,7.321074143964891e-09,3.80764762377859e-09
3396.517714,6.814378893079263e-09,3.544118402509197e-09
3398.093874,5.815286760396251e-09,3.0244964576771896e-09
3399.6700350000006,9.480474527577542e-09,4.9307390687993e-09
3401.2461949999997,8.620462787298356e-09,4.48345201844274e-09
3402.822355,4.382073745745197e-09,2.2790907942059026e-09
3404.398516,1.465795080806193e-09,7.623514045379421e-10
3405.9746759999994,7.567155668967754e-09,3.935633178289791e-09
3407.550836,1.3200684008992911e-08,6.8655981500376576e-09
3409.126997,1.1506703970928886e-08,5.9845690906639105e-09
3410.703157,6.7365089587368735e-09,3.5036187074327554e-09
3412.279317,5.0642208809675105e-09,2.6338715090874416e-09
3413.8554780000004,8.00886036077848e-09,4.165361191845206e-09
3415.4316379999996,4.742610052017136e-09,2.46660360760828e-09
3417.007798,2.1423672544234247e-09,1.11423261466228e-09
