waveAng,fluxmaggies,fluxmaggies_adj
3120.689655,2.234429537441001e-08,2.3242273337038673e-08
3122.265816,1.8214084256590702e-08,1.8946076292938904e-08
3123.841976,2.925286298671506e-08,3.042848414037873e-08
3125.418136,3.3976403928200196e-08,3.5341855891023587e-08
3126.994297,1.6904907629459295e-08,1.758428615794549e-08
3128.570457,-2.8538635643468896e-09,-2.9685553255409952e-09
3130.146617,-2.632738948755909e-08,-2.7385441002597918e-08
3131.722778,-1.9395996849524074e-08,-2.017548787585712e-08
3133.298938,1.53757457833094e-08,1.599366998458921e-08
3134.875098,2.7932530091706188e-08,2.9055089386708187e-08
3136.451259,1.0059320612464353e-08,1.046358702935725e-08
3138.027419,-1.881187284833519e-09,-1.9567888957615773e-09
3139.603579,-4.349637530231741e-09,-4.524441818401146e-09
3141.17974,1.250852389996523e-09,1.3011219492686703e-09
3142.7559,-6.084978541390505e-10,-6.329523135063165e-10
3144.33206,-5.9893391008043476e-09,-6.230040113439188e-09
3145.908221,2.2480399049599466e-09,2.3383846779741715e-09
3147.484381,1.0273161263904128e-08,1.0686021560769046e-08
3149.060541,1.700471068540183e-08,1.7688100123309767e-08
3150.636702,2.7509405690127974e-08,2.861496035904081e-08
3152.212862,2.3418074281987802e-08,2.435920553182393e-08
3153.789022,7.041310382939686e-09,7.32428827264077e-09
3155.365183,5.7113755082139585e-09,5.940905652563325e-09
3156.941343,7.197099053018908e-09,7.486337815583254e-09
3158.517503,1.8976813792547263e-10,1.973945858850405e-10
3160.093664,5.589425328579708e-09,5.814054509528117e-09
3161.669824,9.952742162153276e-09,1.0352725378432022e-08
3163.245984,-2.7790859265956584e-09,-2.890772505944785e-09
3164.822145,1.7262196766366457e-09,1.7955934117355363e-09
3166.398305,8.432801352326411e-09,8.771700818643292e-09
3167.974465,8.429742356447972e-09,8.76851888709646e-09
3169.550626,1.0225301981651553e-08,1.0636238898071938e-08
3171.126786,-4.80813632055971e-09,-5.001366869334224e-09
3172.702946,1.0797249719216879e-09,1.1231172210053594e-09
3174.279107,2.758089647192172e-08,2.8689324229715015e-08
3175.855267,2.428230285721091e-08,2.525816593466659e-08
3177.431427,2.091686739922864e-08,2.1757479540135286e-08
3179.007588,2.1572756377771945e-08,2.243972754404922e-08
3180.583748,5.695189255778548e-09,5.9240689030886935e-09
3182.159908,1.0888359811101654e-08,1.132594385641188e-08
3183.736069,2.5107541983833958e-08,2.611656997149106e-08
3185.312229,3.342267601215385e-08,3.4765874623167746e-08
3186.888389,2.769792358686417e-08,2.8811054458740385e-08
3188.46455,6.80780360821099e-09,7.081397271006847e-09
3190.04071,3.10762312545024e-09,3.232513037441175e-09
3191.61687,1.6814829305921004e-08,1.7490587744890278e-08
3193.193031,1.5901568322884807e-08,1.6540624407935403e-08
3194.769191,4.948966589399386e-09,5.147856859179645e-09
3196.345351,7.456466299349532e-09,7.756128575724894e-09
3197.921512,1.800061016476857e-08,1.8724023052531584e-08
3199.497672,2.054845292263373e-08,2.137425913318759e-08
3201.073832,1.4575114812582342e-08,1.5160863062199147e-08
3202.649993,9.458743278883139e-09,9.838873548210252e-09
3204.226153,3.214432320112962e-09,3.343614705928025e-09
3205.802313,3.8258558995943684e-10,3.979610324536458e-10
3207.378474,3.195086916875562e-09,3.323491844932649e-09
3208.954634,5.754003916950353e-09,5.985247222130517e-09
3210.530794,1.3721019394694778e-09,1.4272443050477064e-09
3212.106955,5.215800009667064e-09,5.425413845667613e-09
3213.683115,2.2957477984437694e-08,2.3880098678539672e-08
3215.259275,1.948103368017546e-08,2.026394218728636e-08
3216.835436,2.072208061206222e-09,2.1554864614316213e-09
3218.411596,2.0886857418113355e-09,2.172626351061933e-09
3219.987756,8.765625520182018e-09,9.117900604890824e-09
3221.563917,7.644725958798832e-09,7.951954060034846e-09
3223.140077,4.06464000445564e-09,4.227990742926462e-09
3224.716237,5.458155429110835e-09,5.677509103496861e-09
3226.292398,6.9298715053944e-09,7.208370862452636e-09
3227.868558,-1.106367844817808e-09,-1.1508308241402695e-09
3229.444718,-6.758231134644119e-09,-7.029832566847329e-09
3231.020879,2.0928429635690452e-09,2.176950644256071e-09
3232.597039,1.1053390551873272e-08,1.1497606892625622e-08
3234.173199,9.45657644081025e-09,9.836619628723273e-09
3235.74936,1.5782623905648384e-08,1.6416899823606383e-08
3237.32552,2.3947847675281874e-08,2.4910269586756404e-08
3238.90168,1.4251352287373031e-08,1.482408909009069e-08
3240.477841,2.2482704313889796e-10,2.338624468855254e-10
3242.054001,-5.039331974703958e-09,-5.2418538705090355e-09
3243.630161,-2.2296997346880334e-09,-2.3193074484905413e-09
3245.206322,2.6613436640815734e-09,2.7682983888236947e-09
3246.782482,1.4931422916811798e-09,1.553149056295209e-09
3248.358642,5.51758398347371e-09,5.7393259870182314e-09
3249.934803,7.912951320132428e-09,8.230958927253936e-09
3251.510963,6.84008510414556e-09,7.1149761035306535e-09
3253.087123,5.757787142870008e-09,5.98918248925114e-09
3254.663284,5.025142229407917e-09,5.227093864286989e-09
3256.239444,1.2665972915120122e-08,1.3174996107055514e-08
3257.815604,1.4639490394104803e-08,1.522782578520761e-08
3259.391765,6.847367908739274e-09,7.122551591241992e-09
3260.967925,7.546479207729714e-09,7.849758944701757e-09
3262.544085,1.2214782649537849e-08,1.2705673297633463e-08
3264.120246,1.2124062220498909e-08,1.2611306973985982e-08
3265.696406,8.98387699152945e-09,9.344923219310673e-09
3267.272566,6.141900137812804e-09,6.3887323104101235e-09
3268.848727,4.2389582649459144e-09,4.409314547954215e-09
3270.424887,4.051763170690785e-09,4.214596411842693e-09
3272.001048,5.21606678405875e-09,5.425691341253263e-09
3273.577208,-1.1380391110409856e-09,-1.1837749028930169e-09
3275.153368,-7.456218276399028e-09,-7.75587058516789e-09
3276.729529,-2.35570329711041e-09,-2.4503748726446053e-09
3278.305689,2.9628386743744667e-09,3.081909953724776e-09
3279.881849,1.4092267692946738e-09,1.4658611165393972e-09
3281.45801,-3.9587908826572846e-09,-4.117887730945139e-09
3283.03417,-6.740609346039166e-09,-7.011502589527351e-09
3284.61033,-3.065311015788434e-10,-3.188500478452507e-10
3286.186491,3.800676293831136e-09,3.953418794668921e-09
3287.762651,1.071868118250395e-08,1.1149446141928643e-08
3289.338811,1.5008530119514937e-08,1.5611696568621585e-08
3290.914972,9.88337363074317e-09,1.0280569047654675e-08
3292.491132,6.4234673839177e-09,6.6816152493020826e-09
3294.067292,6.2607258317674546e-09,6.512333400177324e-09
3295.643453,1.276366305526776e-08,1.3276612242252391e-08
3297.219613,1.573450710989003e-08,1.636684929838826e-08
3298.795773,7.980432798762455e-09,8.30115236791633e-09
3300.371934,3.4351081619049583e-09,3.5731591219799506e-09
3301.948094,8.098785348730543e-09,8.424261298871663e-09
3303.524254,4.462656956734619e-09,4.642003297031779e-09
3305.100415,4.0065806660431955e-09,4.167598101738272e-09
3306.676575,8.881980717294745e-09,9.238931912889743e-09
3308.252735,1.3948142681649623e-08,1.4508694023182019e-08
3309.828896,1.4593999744759902e-08,1.5180506946612033e-08
3311.405056,1.0728624152007478e-08,1.1159788701902475e-08
3312.981216,9.242284556231737e-09,9.613715729905902e-09
3314.557377,8.92588237028278e-09,9.284597896157413e-09
3316.133537,6.092783528414095e-09,6.337641790798537e-09
3317.709697,2.9974841940470305e-09,3.117947815946007e-09
3319.285858,9.720146246692975e-09,1.011078184189972e-08
3320.862018,1.3053130188467964e-08,1.3577712550818544e-08
3322.438178,7.991266081735217e-09,8.312421021493063e-09
3324.014339,8.102211170594756e-09,8.427824798495967e-09
3325.590499,9.88633947789267e-09,1.0283654086988855e-08
3327.166659,9.187216683101374e-09,9.5564347757322e-09
3328.74282,6.977983910472053e-09,7.258416820536318e-09
3330.31898,2.529984892531679e-09,2.631660539098667e-09
3331.89514,-4.1218889930422903e-10,-4.2875404677534887e-10
3333.471301,5.1862507450076314e-09,5.394677047992194e-09
3335.047461,8.253195070757374e-09,8.584876476262931e-09
3336.623621,6.5216265293306595e-09,6.783719238261653e-09
3338.199782,6.7396800252139375e-09,7.01053592093137e-09
3339.775942,7.984019477909654e-09,8.304883189395127e-09
3341.352102,5.101679488434058e-09,5.306707021244742e-09
3342.928263,2.513656952408537e-09,2.6146764077571393e-09
3344.504423,7.084940397915803e-09,7.369671701242209e-09
3346.080583,8.022369251834192e-09,8.344774173336763e-09
3347.656744,4.431520447075389e-09,4.609615465769488e-09
3349.232904,4.3607884787271296e-09,4.536040903919586e-09
3350.809064,4.5220811685510085e-09,4.703815663487352e-09
3352.385225,7.363699550162566e-09,7.659633693918897e-09
3353.961385,8.771995771253337e-09,9.124526865157449e-09
3355.537545,6.222638469598793e-09,6.472715373858864e-09
3357.113706,2.987289919865853e-09,3.107343851801181e-09
3358.689866,3.145018595870345e-09,3.271411366097653e-09
3360.266026,5.016356225133962e-09,5.217954765942025e-09
3361.842187,8.933926096735115e-09,9.292964885839606e-09
3363.418347,9.362805424362243e-09,9.739080119919941e-09
3364.994507,5.067997409231156e-09,5.271671318472471e-09
3366.5706680000003,5.822138829425075e-09,6.056120356995461e-09
3368.1468279999995,6.686688496747019e-09,6.9554147560641115e-09
3369.722988,5.816633869237704e-09,6.050394162132725e-09
3371.299149,7.677218856517018e-09,7.985752790208428e-09
3372.875309,6.272056723183068e-09,6.524119660205716e-09
3374.451469,4.9775267843731194e-09,5.177564838196913e-09
3376.0276300000005,2.4889258000141513e-09,2.5889513538112192e-09
3377.6037899999997,2.0073903110567575e-09,2.088063799816117e-09
3379.17995,4.673885914561737e-09,4.861721175454487e-09
3380.756111,5.538400940160477e-09,5.760979540609957e-09
3382.332271,6.307193125382038e-09,6.5606681326593985e-09
3383.908431,7.634317449215755e-09,7.941127250743822e-09
3385.484592,8.03692876550563e-09,8.359918808275374e-09
3387.060752,8.861709437449732e-09,9.217845965933054e-09
3388.636912,1.0211161249419646e-08,1.0621529874662935e-08
3390.2130730000003,9.893493193483264e-09,1.0291095297836901e-08
3391.7892329999995,7.808847525872745e-09,8.12267138445778e-09
3393.365393,5.349383429126618e-09,5.5643657479921326e-09
3394.941554,7.321074143964891e-09,7.61529524755718e-09
3396.517714,6.814378893079263e-09,7.088236805018394e-09
3398.093874,5.815286760396251e-09,6.048992915354379e-09
3399.6700350000006,9.480474527577542e-09,9.8614781375986e-09
3401.2461949999997,8.620462787298356e-09,8.96690403688548e-09
3402.822355,4.382073745745197e-09,4.558181588411805e-09
3404.398516,1.465795080806193e-09,1.5247028090758842e-09
3405.9746759999994,7.567155668967754e-09,7.871266356579583e-09
3407.550836,1.3200684008992911e-08,1.3731196300075315e-08
3409.126997,1.1506703970928886e-08,1.1969138181327821e-08
3410.703157,6.7365089587368735e-09,7.007237414865511e-09
3412.279317,5.0642208809675105e-09,5.267743018174883e-09
3413.8554780000004,8.00886036077848e-09,8.330722383690412e-09
3415.4316379999996,4.742610052017136e-09,4.93320721521656e-09
3417.007798,2.1423672544234247e-09,2.22846522932456e-09
3418.583959,2.2979259189746118e-09,2.3902755232210562e-09
3420.160119,4.566322171135589e-09,4.749834634215473e-09
3421.73628,6.475130607961524e-09,6.735354727525882e-09
3423.3124400000006,8.380607520906705e-09,8.71740940886568e-09
3424.8885999999998,1.1602615958342221e-08,1.2068904702956979e-08
3426.4647609999997,9.33003419008375e-09,9.704991867328848e-09
3428.0409210000003,7.24408675256988e-09,7.535213868201726e-09
3429.6170809999994,9.962204498097796e-09,1.0362567989028787e-08
3431.193242,7.356282018982356e-09,7.651918065196324e-09
3432.769402,6.4528451260090245e-09,6.7121736312188194e-09
3434.345562,9.753974078279801e-09,1.0145969154588076e-08
3435.921723,9.253630655281673e-09,9.625517808736715e-09
3437.4978830000005,9.125870790910463e-09,9.492623499945065e-09
3439.0740429999996,8.212211382164286e-09,8.54224572525113e-09
3440.650204,9.321402761441923e-09,9.696013556739012e-09
3442.226364,8.39185773782773e-09,8.729111752233325e-09
3443.802524,4.254924572599394e-09,4.425922513452668e-09
3445.378685,3.936555357615871e-09,4.094758599229625e-09
3446.9548450000007,8.637366316228768e-09,8.984486888936887e-09
3448.531005,1.0329741760925916e-08,1.0744875928530045e-08
3450.107166,1.0638193878544134e-08,1.1065724194673247e-08
3451.6833260000003,9.039442050893043e-09,9.40272134075855e-09
3453.2594859999995,6.2831497000964795e-09,6.53565844436618e-09
3454.835647,5.495251729376099e-09,5.716096238875745e-09
3456.411807,6.556516299768318e-09,6.8200111672569756e-09
3457.987967,6.825882303246084e-09,7.100202517023414e-09
3459.564128,5.999121420652219e-09,6.240215567530032e-09
3461.1402880000005,8.239096612812858e-09,8.570211426070636e-09
3462.7164479999997,1.2452311810715378e-08,1.2952748338358547e-08
3464.292609,1.172512893670924e-08,1.2196341262616947e-08
3465.868769,6.990126376452363e-09,7.271047270884878e-09
3467.4449289999993,6.3468921511113875e-09,6.60196259246467e-09
3469.02109,7.928373752308695e-09,8.247001159875568e-09
3470.59725,9.170274950046866e-09,9.538812184200091e-09
3472.17341,1.0240312394589425e-08,1.0651852553126076e-08
3473.749571,1.0323567521389494e-08,1.073845355715743e-08
3475.3257310000004,7.355220150293563e-09,7.650813521871086e-09
3476.9018909999995,5.655852690022813e-09,5.88315146988638e-09
3478.478052,5.546744693482265e-09,5.769658614714211e-09
3480.054212,6.355826565521268e-09,6.611256065288102e-09
3481.630372,8.437379593582435e-09,8.77646305136947e-09
3483.206533,1.029292897521004e-08,1.0706583701652031e-08
3484.7826930000006,9.643722629001537e-09,1.0031286893322197e-08
3486.3588529999997,7.574829807809126e-09,7.87924890557425e-09
3487.9350139999997,6.580672903286153e-09,6.845138582216724e-09
3489.511174,8.189480577104717e-09,8.518601409083947e-09
3491.0873339999994,1.1019049335884655e-08,1.1461885563518604e-08
3492.663495,1.0683873296011844e-08,1.1113239387650741e-08
3494.239655,9.728456345970911e-09,1.0119425909463245e-08
3495.815815,9.484059765523855e-09,9.86520745995718e-09
3497.391976,8.248907151656228e-09,8.580416233228816e-09
3498.9681360000004,6.995520047345163e-09,7.276657703931877e-09
3500.5442959999996,7.88228426820316e-09,8.199059420402736e-09
3502.120457,1.2086968835421036e-08,1.2572722870950747e-08
3503.696617,1.2155876570627285e-08,1.2644399886934618e-08
3505.272777,8.483979483193053e-09,8.824935708647635e-09
3506.848938,8.159520347291845e-09,8.487437130287816e-09
3508.4250980000006,7.621879319638012e-09,7.928189254597455e-09
3510.001258,6.768033912410735e-09,7.040029301024719e-09
3511.5774189999997,6.65842140881229e-09,6.926011663542631e-09
3513.1535790000003,8.021489546529308e-09,8.343859114221693e-09
3514.7297389999994,8.856581588532799e-09,9.212512037779968e-09
3516.3059,6.425564661132601e-09,6.6837968124024395e-09
3517.88206,4.267235346668202e-09,4.438728035896013e-09
3519.45822,7.932036141843427e-09,8.250810734409319e-09
3521.034381,1.094133966732083e-08,1.1381052879944271e-08
3522.6105410000005,8.200837141822374e-09,8.530414374179273e-09
3524.1867009999996,6.982858199952677e-09,7.26348699914496e-09
3525.762862,7.593619499039433e-09,7.898793721473591e-09
3527.339022,9.188294877916821e-09,9.55755630130243e-09
3528.915182,8.813170358751809e-09,9.16735618696615e-09
3530.491343,5.658153125924444e-09,5.8855443562640494e-09
3532.0675030000007,5.725747189115562e-09,5.955854906063184e-09
3533.643663,6.371352802930676e-09,6.627406274892764e-09
3535.219824,6.397592348874845e-09,6.654700342074342e-09
3536.7959840000003,4.847256299288832e-09,5.042059011257961e-09
3538.3721439999995,4.935379172257911e-09,5.133723387622148e-09
3539.948305,6.8124969543177915e-09,7.086279234445468e-09
3541.524465,6.670540805446292e-09,6.938618117428397e-09
3543.100625,6.725512972181133e-09,6.995799518934739e-09
3544.676786,7.61364810466423e-09,7.919627241559635e-09
3546.2529460000005,4.889482326266346e-09,5.08598202805054e-09
3547.8291059999997,6.260160650715408e-09,6.51174550549206e-09
3549.405267,1.0599314684143775e-08,1.1025282513777286e-08
3550.981427,9.417116518613946e-09,9.795573881601834e-09
3552.5575869999993,7.014694591172242e-09,7.296602838977505e-09
3554.133748,4.730941032868408e-09,4.921069238695695e-09
3555.709908,5.05892513822195e-09,5.26223444883526e-09
3557.286068,7.94898829354308e-09,8.26844416329361e-09
3558.862229,8.800282738168033e-09,9.153950635560165e-09
3560.4383890000004,9.205861512256115e-09,9.575828907803744e-09
3562.0145489999995,8.638529226021252e-09,8.9856965340302e-09
3563.59071,5.562728714379639e-09,5.7862850053207e-09
3565.16687,4.69855098381817e-09,4.887377490497275e-09
3566.743031,7.395760182560139e-09,7.692982786788307e-09
3568.319191,8.783709798313042e-09,9.136711658378134e-09
3569.8953510000006,7.824484353293592e-09,8.138936628492088e-09
3571.4715119999996,6.570987558191269e-09,6.835064000123764e-09
3573.047672,5.52228993712402e-09,5.744221064675378e-09
3574.623832,5.192436096417174e-09,5.4011109778045824e-09
3576.199993,5.501342417170717e-09,5.722431700708889e-09
3577.776153,4.279533895645469e-09,4.4515208419428756e-09
3579.352313,3.1054605436488468e-09,3.230263545277764e-09
3580.928474,3.747426509163465e-09,3.898028994738068e-09
3582.504634,6.2661099156954866e-09,6.5179338609762885e-09
3584.0807940000004,8.064687871186609e-09,8.388793503629067e-09
3585.6569549999995,8.11551575934484e-09,8.441664075286073e-09
3587.233115,7.671177483364912e-09,7.979468624886611e-09
3588.809275,7.116910275756986e-09,7.402926392289102e-09
3590.385436,8.10980810376049e-09,8.435727039054576e-09
3591.961596,7.240326819179579e-09,7.531302829696279e-09
3593.5377560000006,4.85884175189869e-09,5.0541100628476225e-09
3595.1139169999997,4.910469758709057e-09,5.107812908519242e-09
3596.6900769999997,6.258033333869264e-09,6.509532695520473e-09
3598.2662370000003,7.647909258983832e-09,7.955265291459862e-09
