waveAng,fluxmaggies
4263.662952528,6.501063998299615e-09
4265.582716626,6.517819569916102e-09
4267.502479506,6.5345751309019685e-09
4269.422242386,6.551330691887835e-09
4271.342006484,6.568086263504321e-09
4273.261769364,6.58484182449019e-09
4275.181532244,6.601575107616768e-09
4277.101296342,6.590418522658221e-09
4279.021059222,6.579261944777998e-09
4280.940822101999,6.568105366897783e-09
4282.8605861999995,6.556948781939234e-09
4284.78034908,6.545792204059011e-09
4286.70011196,6.5346356261787915e-09
4288.619876058,6.5234790412202425e-09
4290.539638938,6.51232246334002e-09
4292.459401818,6.501165885459805e-09
4294.379165916,6.490009300501256e-09
4296.298928796,6.478852722621035e-09
4298.218691676,6.4676961447408125e-09
4300.138455774,6.470474355555988e-09
4302.0582186540005,6.504018664239129e-09
4303.977981534,6.537562972922256e-09
4305.897745632,6.571107302887695e-09
4307.817508512,6.604651611570836e-09
4309.7372713919995,6.638195920253962e-09
4311.6570354899995,6.671740250219401e-09
4313.57679837,6.705284558902543e-09
4315.49656125,6.7388288675856845e-09
4317.416325348,6.772373197551125e-09
4319.336088228,6.805917506234266e-09
4321.255851108,6.8394618149173926e-09
4323.175615206,6.873006144882832e-09
4325.095378086,6.856940064517734e-09
4327.015140965999,6.810810682949602e-09
4328.934905064,6.76468127211449e-09
4330.854667944,6.718551890546359e-09
4332.774430824,6.6724225089782035e-09
4334.694194922,6.626293098143113e-09
4336.613957802,6.58016371657496e-09
4338.5337206819995,6.534034335006828e-09
4340.45348478,6.487904924171736e-09
4342.37324766,6.441775542603583e-09
4344.293011758,6.395646131768492e-09
4346.212774638,6.349516750200337e-09
4348.132537518,6.303387368632184e-09
4350.052301616,6.300443548881199e-09
4351.972064496,6.300570943501837e-09
4353.891827376,6.300698338122474e-09
4355.811591474,6.300825732823939e-09
4357.731354353999,6.300953127444578e-09
4359.651117234,6.301080522065216e-09
4361.570881332,6.30120791676668e-09
4363.490644212,6.30133531138732e-09
4365.410407092,6.301462706007958e-09
4367.330171189999,6.301590100709422e-09
4369.24993407,6.301717495330061e-09
4371.16969695,6.3018448899506995e-09
4373.089461048,6.32293717039626e-09
4375.009223928,6.408796085462356e-09
4376.928986808,6.49465500052845e-09
4378.848750906,6.580513970067975e-09
4380.768513786,6.666372885134069e-09
4382.688276666,6.7522318002001654e-09
4384.608040763999,6.838090769739689e-09
4386.5278036439995,6.923949684805784e-09
4388.447566524,6.647551116044003e-09
4390.367330622,6.81810832740203e-09
4392.287093502,6.676278670128778e-09
4394.206856382,6.8043036136574195e-09
4396.1266204799995,6.48241001765244e-09
4398.04638336,6.22612621963303e-09
4399.96614624,6.534456726178687e-09
4401.885910338,6.118108459023786e-09
4403.805673218,6.8786586655463495e-09
4405.7254360980005,7.143523577717108e-09
4407.645200196,6.335873743654283e-09
4409.564963076,6.164395298030817e-09
4411.484725956,6.8006852238496095e-09
4413.404490053999,7.216687641683521e-09
4415.324252934,7.148782708548517e-09
4417.244015814,7.475207013669407e-09
4419.163779912,7.677228295345431e-09
4421.083542792,7.05204489399217e-09
4423.003305672,6.346386468610285e-09
4424.9230697699995,6.0756103637810895e-09
4426.84283265,6.761327720962342e-09
