SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt,freq,vlum,logvlum
1987B,2160,,,1.10E+26,26.04139269,3.334453751,3456,3.538573734,8,8.80E+35,35.94448267
19881,1790,,,3.20E+27,27.50514998,3.252853031,2864,3.456973014,8,2.56E+37,37.40823997
1989C,1450,,,1.40E+26,26.14612804,3.161368002,2320,3.365487985,8,1.12E+36,36.04921802
1989R,1650,,,1.10E+27,27.04139269,3.217483944,2640,3.421603927,8,8.80E+36,36.94448267
,,,,,,,0,0,,,
78g,1270,,,7.00E+25,25.84509804,3.103803721,2032,3.307923704,8,5.60E+35,35.74818803
,5190,,,3.00E+25,25.47712125,3.715167358,8304,3.919287341,8,2.40E+35,35.38021124
,5330,,,4.00E+25,25.60205999,3.726727209,8528,3.930847192,8,3.20E+35,35.50514998
,,,,,,,0,0,,,
83k,290,,,1.90E+26,26.2787536,2.462397998,464,2.666517981,8,1.52E+36,36.18184359
,660,,,2.10E+26,26.32221929,2.819543936,1056,3.023663918,8,1.68E+36,36.22530928
,3500,,,1.40E+26,26.14612804,3.544068044,5600,3.748188027,8,1.12E+36,36.04921802
,,,,,,,0,0,,,
84E,370,,,1.10E+26,26.04139269,2.568201724,592,2.772321707,8,8.80E+35,35.94448267
,740,,,1.40E+26,26.14612804,2.86923172,1184,3.073351702,8,1.12E+36,36.04921802
,1300,,,1.40E+26,26.14612804,3.113943352,2080,3.318063335,8,1.12E+36,36.04921802
,3220,,,7.10E+25,25.85125835,3.507855872,5152,3.711975854,8,5.68E+35,35.75434834
,,,,,,,0,0,,,
87F,1010,,,7.10E+26,26.85125835,3.004321374,1616,3.208441356,8,5.68E+36,36.75434834
,1060,,,8.50E+26,26.92941893,3.025305865,1696,3.229425848,8,6.80E+36,36.83250891
,1360,,,8.50E+26,26.92941893,3.133538908,2176,3.337658891,8,6.80E+36,36.83250891
,2130,,,4.20E+26,26.62324929,3.328379603,3408,3.532499586,8,3.36E+36,36.52633928
,,,,,,,0,0,,,
91ae,620,,,2.04E+27,27.30963017,2.792391689,992,2.996511672,8,1.63E+37,37.21272015
,1010,,,4.22E+27,27.62531245,3.004321374,1616,3.208441356,8,3.38E+37,37.52840244
,,,,,,,0,0,,,
91ar,500,,,1.80E+27,27.25527251,2.698970004,800,2.903089987,8,1.44E+37,37.15836249
,640,,,1.80E+27,27.25527251,2.806179974,1024,3.010299957,8,1.44E+37,37.15836249
,1440,,,1.70E+27,27.23044892,3.158362492,2304,3.362482475,8,1.36E+37,37.13353891
,,,,,,,0,0,,,
06jd,(79Mpc),2.44E+26,0.00017,1.27E+27,27.10367105,2.612614343,655.744,,8,1.02E+37,37.00676103
Z=,0.01855,2.44E+26,0.000232,1.73E+27,27.23871011,2.709015417,818.72,,8,1.39E+37,37.1418001
8Ghz,573.63,2.44E+26,0.00048,3.58E+27,27.55446336,2.758631856,917.808,2.962751839,8,2.87E+37,37.45755335
,794.86,2.44E+26,0.001035,7.73E+27,27.88816248,2.900290642,1271.776,3.104410625,8,6.18E+37,37.79125246
,844.68,2.44E+26,0.001192,8.90E+27,27.94949838,2.926692211,1351.488,3.130812194,8,7.12E+37,37.85258837
,902.5,2.44E+26,0.001178,8.80E+27,27.94436742,2.955447211,1444,3.159567193,8,7.04E+37,37.8474574
,1030.15,2.44E+26,0.001608,1.20E+28,28.07950817,3.012900467,1648.24,3.21702045,8,9.61E+37,37.98259816
,1333.28,2.44E+26,0.002216,1.65E+28,28.21879188,3.124921364,2133.248,3.329041347,8,1.32E+38,38.12188187
,1731.18,2.44E+26,0.001659,1.24E+28,28.09306851,3.238342226,2769.888,3.442462209,8,9.91E+37,37.9961585
,1998.42,2.44E+26,0.001385,1.03E+28,28.0146719,3.300686767,3197.472,3.50480675,8,8.27E+37,37.91776189
,,,,0,,,0,0,,,
95N,(24Mpc),7.41E+25,0.00469,3.23E+27,27.50956327,2.838067917,1102.016,,8,2.59E+37,37.41265326
Z=0.00617,845.54,7.41E+25,0.00546,3.76E+27,27.57558307,2.927134158,1352.864,3.13125414,8,3.01E+37,37.47867306
8Ghz,937.44,7.41E+25,0.00503,3.47E+27,27.53995841,2.971943481,1499.904,3.176063463,8,2.77E+37,37.4430484
,1087.81,7.41E+25,0.00477,3.29E+27,27.51690881,3.036553047,1740.496,3.24067303,8,2.63E+37,37.41999879
,1323.35,7.41E+25,0.00399,2.75E+27,27.43936332,3.121674722,2117.36,3.325794704,8,2.20E+37,37.34245331
,1440.05,7.41E+25,0.00475,3.27E+27,27.51508404,3.158377572,2304.08,3.362497554,8,2.62E+37,37.41817402
,1812.1,7.41E+25,0.00361,2.49E+27,27.39589763,3.25818216,2899.36,3.462302143,8,1.99E+37,37.29898762
,2758.51,7.41E+25,0.00174,1.20E+27,27.07893967,3.440674563,4413.616,3.644794545,8,9.59E+36,36.98202966
,3250.16,7.41E+25,0.00117,8.06E+26,26.90657629,3.511904741,5200.256,3.716024724,8,6.45E+36,36.80966628
,3498.25,7.41E+25,0.00117,8.06E+26,26.90657629,3.543850843,5597.2,3.747970825,8,6.45E+36,36.80966628
,3726.95,7.41E+25,0.00096,6.62E+26,26.82066166,3.571353566,5963.12,3.775473549,8,5.29E+36,36.72375165
,4001.31,7.41E+25,0.00074,5.10E+26,26.70762215,3.602202199,6402.096,3.806322182,8,4.08E+36,36.61071213
,4225.09,7.41E+25,0.00054,3.72E+26,26.57078419,3.625835964,6760.144,3.829955947,8,2.98E+36,36.47387417
,4234.6,7.41E+25,0.00067,4.62E+26,26.66446523,3.626812393,6775.36,3.830932376,8,3.69E+36,36.56755522
,4470.01,7.41E+25,0.00025,1.72E+26,26.23633044,3.650308495,7152.016,3.854428477,8,1.38E+36,36.13942042
,,,,0,0,0,0,0,,,
