lambdag(A)1,fluxg1,lambda(A)1,flux1,fluxerror,lambda(A),flux,lambdag(A),fluxg,lambda2(galaxy),flux2(galaxy),lambda2,flux2,,waves1m,flux_corr1m,waves2m,flux_corr2m,wavesgm,flux_corrgm,,waves1,flux_corr1,waves2,flux_corr2,wavesg,flux_corrg
3317,-0.005191459,3700,1.70E-17,1.05E-17,3037.766831,1.70E-17,2723.316913,-0.005191459,3801,0.105062842,3120.689655,0.105062842,,3700,1.98E-17,3317,-0.006112801,3801,0.122150842,,3037.766831,2.03E-17,2723.316913,-0.006337751,3120.689655,0.124963451
3318.95,0.001,3701.1999,9.83E-18,1.07E-17,3038.75198,1.03E-17,2724.917898,0.001,3802.919763,0.085564226,3122.265816,0.085564226,,3701.1999,1.15E-17,3318.95,0.001177382,3802.919763,0.099476043,,3038.75198,1.23E-17,2724.917898,0.00122062,3122.265816,0.101761875
3320.9,0.021796698,3702.3998,2.82E-18,1.05E-17,3039.73713,1.24E-18,2726.518883,0.0217967,3804.839527,0.137295365,3123.841976,0.137295365,,3702.3998,3.29E-18,3320.9,0.025661059,3804.839527,0.159610356,,3039.73713,1.48E-18,2726.518883,0.026601516,3123.841976,0.163270519
3322.85,0.027025174,3703.5997,-1.59E-17,9.46E-18,3040.722279,-1.28E-17,2728.119869,0.02702517,3806.75929,0.159319058,3125.418136,0.159319058,,3703.5997,-1.86E-17,3322.85,0.031814067,3806.75929,0.185204608,,3040.722279,-1.53E-17,2728.119869,0.03297763,3125.418136,0.189443044
3324.8,0.013818417,3704.7996,6.78E-18,1.05E-17,3041.707428,5.82E-18,2729.720854,0.01381842,3808.679053,0.079196528,3126.994297,0.079196528,,3704.7996,7.90E-18,3324.8,0.016265821,3808.679053,0.092059587,,3041.707428,6.95E-18,2729.720854,0.016859513,3126.994297,0.094162099
3326.75,0.014253207,3705.9996,1.83E-17,1.06E-17,3042.692578,1.63E-17,2731.321839,0.01425321,3810.598816,-0.013357641,3128.570457,-0.013357641,,3705.9996,2.14E-17,3326.75,0.016776351,3810.598816,-0.015526424,,3042.692578,1.95E-17,2731.321839,0.017387423,3128.570457,-0.015880305
3328.7,0.016717078,3707.1995,1.29E-18,9.25E-18,3043.677727,3.41E-18,2732.922824,0.01671708,3812.51858,-0.123114094,3130.146617,-0.123114094,,3707.1995,1.50E-18,3328.7,0.019674907,3812.51858,-0.143096224,,3043.677727,4.07E-18,2732.922824,0.020390089,3130.146617,-0.146351085
3330.65,0.010380043,3708.3994,6.71E-18,9.47E-18,3044.662876,5.65E-18,2734.52381,0.01038004,3814.438343,-0.090618253,3131.722778,-0.090618253,,3708.3994,7.82E-18,3330.65,0.01221572,3814.438343,-0.105320951,,3044.662876,6.75E-18,2734.52381,0.012658847,3131.722778,-0.107711727
3332.6,0.013032877,3709.5993,5.47E-18,9.43E-18,3045.648026,6.38E-18,2736.124795,0.01303288,3816.358106,0.071770102,3133.298938,0.071770102,,3709.5993,6.38E-18,3332.6,0.015336561,3816.358106,0.08341061,,3045.648026,7.62E-18,2736.124795,0.015891768,3133.298938,0.085300197
3334.55,0.022908643,3710.7992,8.01E-18,9.15E-18,3046.633175,5.84E-18,2737.72578,0.02290864,3818.27787,0.130263165,3134.875098,0.130263165,,3710.7992,9.34E-18,3334.55,0.026955973,3818.27787,0.151383297,,3046.633175,6.98E-18,2737.72578,0.027929815,3134.875098,0.154805825
