phase,temp,temperr,radius,radiuserr
-2.89211,7126.41,126.996,30.2605,1.02297
-0.632918,7040.46,122.451,31.1301,1.03661
2.37934,6934.97,117.829,32.1312,1.05738
3.88547,6886.05,116.002,32.5699,1.06851
6.89773,6794.44,113.081,33.3454,1.0921
9.15692,6731.16,111.421,33.8431,1.11053
15.9345,6566.71,108.454,34.9593,1.16757
20.0764,6485.65,107.097,35.3675,1.19001
22.3356,6444.53,106.949,35.5476,1.20855
26.1009,6383.02,107.02,35.758,1.23851
28.7366,6347.69,106.622,35.8066,1.24517
30.6193,6322.94,106.88,35.8401,1.25875
34.7611,6275.4,107.655,35.8378,1.28659
39.656,6233.25,108.175,35.6812,1.30114
42.6683,6214.17,108.33,35.5143,1.30158
46.0571,6194.52,109.367,35.3271,1.3163
49.4459,6179.4,110.465,35.1041,1.32877
51.3286,6176.2,110.394,34.9179,1.31911
55.8469,6164.62,111.943,34.5609,1.33105
64.8837,6165.91,113.758,33.6302,1.31277
67.5194,6165.59,114.688,33.3953,1.316
71.2848,6165.65,115.993,33.0687,1.32024
75.8032,6174.79,116.927,32.5746,1.30589
88.9818,6197.52,120.198,31.2786,1.27903
92.7471,6195.87,121.406,31.0276,1.28406
96.5124,6192.7,122.58,30.7979,1.2899
100.654,6202.59,123.386,30.3777,1.27435
304.735,6202.13,186.269,19.2421,1.22054
309.63,6211.49,189.846,18.9464,1.22415
313.772,6272.04,193.788,18.2863,1.18002
319.043,6281.83,198,17.9794,1.18483
325.068,6290.73,203.013,17.6414,1.19199
332.975,6358.17,211.149,16.7954,1.1543
356.696,6432.51,237.178,15.1543,1.14985
360.085,6508.22,242.849,14.5509,1.10077
364.98,6514.77,248.726,14.288,1.10786
370.628,6522.06,255.46,13.9885,1.11515
380.418,6590.33,268.69,13.1277,1.07792
383.807,6562.54,271.903,13.0395,1.09364
387.572,6588.41,277.366,12.5922,1.06261
