F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,7.739435116044813e+17,0.005694697043116342,52855.185059388496,0.7120457516397487,5.965488752852088e-24,True
0.001,0.05361336110051615,7.217823092208914e+17,0.006106236978612762,49292.92248651767,0.8186795839910399,7.886025053106467e-24,True
0.001,0.05748784976988677,6.731365973005025e+17,0.006547517761993815,45970.74448858151,0.9412825786830061,1.0424861015535439e-23,True
0.001,0.061642336972103286,6.27769443552031e+17,0.007020688681716357,42872.47016876446,1.0822462294868058,1.3781052743475645e-23,True
0.001,0.06609705742330142,5.854598841276407e+17,0.007528054349343316,39983.00916854074,1.2443201730952784,1.8217740690781108e-23,True
0.001,0.07087370814634027,5.4600184740329946e+17,0.008072085924313093,37288.28816904354,1.430665823530819,2.408278105122754e-23,True
0.001,0.07599555414764668,5.0920315029273824e+17,0.00865543314989183,34775.18234599598,1.6449180386810214,3.183601924111565e-23,True
0.001,0.0814875417310322,4.748845622064869e+17,0.009280937258930574,32431.451444350114,1.8912560218294274,4.2085343838187e-23,True
0.001,0.08737642000038418,4.4287893209694234e+17,0.00995164481228559,30245.68016128155,2.1744848411864766,5.563434776704061e-23,True
0.001,0.09369087114301919,4.130303743376747e+17,0.010670822537302914,28207.222547170582,2.500129157540486,7.354533358132014e-23,True
0.001,0.10046165012825234,3.8519350947174464e+17,0.011441973238638943,26306.15015377111,2.874540988280022,9.722260273880754e-23,True
0.001,0.10772173450159418,3.5923275613104224e+17,0.012268852858911843,24533.20367701946,3.305023609832477,1.285225591213958e-22,True
0.001,0.11550648500415797,3.350216706778935e+17,0.013155488772278814,22879.747858956063,3.7999740153595667,1.698992594087311e-22,True
0.001,0.12385381779958553,3.124423313526114e+17,0.014106199400039402,21337.72942910661,4.369046706489285,2.245968221063058e-22,True
0.001,0.1328043891473343,2.913847639274414e+17,0.015125615243803937,19899.637880473405,5.023342014005494,2.9690378095703016e-22,True
0.001,0.14240179342179007,2.717464060695087e+17,0.016218701438670647,18558.468889093594,5.775622620878168,3.9248932518224297e-22,True
0.001,0.15269277544167076,2.5343160780391037e+17,0.017390781936258204,17307.6901989968,6.640562511132078,5.188477892920709e-22,True
0.001,0.1637274581438864,2.3635116564392234e+17,0.018647565435378897,16141.209806402316,7.635033200550062,6.858862424558206e-22,True
0.001,0.17555958671075653,2.2042188811927232e+17,0.01999517318664945,15053.346288195053,8.778432832426395,9.067012470690961e-22,True
0.001,0.18824679033962338,2.05566190586352e+17,0.02144016880646391,14038.801130162803,10.093064557711408,1.1986056878661015e-21,True
0.001,0.2018508629298277,1.917117173468657e+17,0.022989590245539444,13092.632920217757,11.604571580229646,1.5844861795756296e-21,True
0.001,0.2164380640541529,1.7879098923441677e+17,0.024650984067740207,12210.233280908504,13.342437352962794,2.094597479956759e-21,True
0.001,0.23207944168063896,1.6674107495257878e+17,0.026432442206136532,11387.304424000147,15.340560682225027,2.768934598228091e-21,True
0.001,0.24885117821660555,1.5550328456368083e+17,0.028342641375322435,10619.838217800636,17.63791695771168,3.6603685828089624e-21,True
0.001,0.26683496156031544,1.4502288363542253e+17,0.03039088533195183,9904.096665279205,20.27931840637335,4.8387918481674466e-21,True
0.001,0.2861183829675108,1.3524882665305077e+17,0.032587150189326265,9236.593697894323,23.316288199625816,6.396598052954532e-21,True
0.001,0.30679536367065857,1.2613350839866357e+17,0.03494213300674205,8614.0781964567,26.808065464229458,8.45592617639828e-21,True
0.001,0.328966612328784,1.1763253208671635e+17,0.03746730389025453,8033.518156329288,30.82276080057829,1.117823676097191e-20,True
0.001,0.35274011553593215,1.0970449312641942e+17,0.0401749618586198,7492.085919839808,35.438684847936,1.4776971141624396e-20,True
0.001,0.3782316637773144,1.0231077745782595e+17,0.04307829474651294,6987.144403979252,40.74587581161015,1.9534286201808304e-20,True
0.001,0.4055654153948436,9.541537347939274e+16,0.04619144343678535,6516.234256307409,46.8478557480062,2.5823176736082612e-20,True
0.001,0.43487450130889166,8.89846966509941e+16,0.04952957073460879,6077.0618765073805,53.86364986565414,3.413671991153827e-20,True
0.001,0.4663016734416099,8.298742591810515e+16,0.053108935218962774,5667.488245247204,61.93010823069016,4.512673472472206e-20,True
