F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,,
0.0222299648252619,4.55149088995761,5.36838522422866E+016,0.344196013033979,3471.12724082422,1.11950408675217,1.94937322908559E-021,False,,
0.0222299648252619,5.24056567077343,4.6625036259213E+016,0.39630570587383,3014.71348839399,1.2889918550136,2.97555832160665E-021,False,,
0.0222299648252619,6.03396320319664,4.04943742926957E+016,0.456304566469948,2618.31295327179,1.48413929163192,4.54194568447818E-021,False,,
0.0255954792269954,3.95302160545385,6.60798785731107E+016,0.294534832128992,4272.63799084832,0.943869227519708,1.08475088638358E-021,False,,
0.0255954792269954,4.55149088995761,5.73911261168549E+016,0.339126050654709,3710.83469097389,1.086766686132,1.65578324288516E-021,False,,
0.0255954792269954,5.24056567077343,4.98448457848868E+016,0.390468174515579,3222.90213522191,1.25129816255363,2.52741729168758E-021,False,,
0.0294705170255181,3.95302160545385,7.0643191324273E+016,0.290196372467255,4567.69578825584,0.916267876707309,9.21379402148287E-022,False,,
0.0294705170255181,4.55149088995761,6.1354415143224E+016,0.334130768160021,3967.09574393634,1.05498661779141,1.40641007402432E-021,False,,
0.001,0.05,1.12461459481935E+018,0.00524089176742775,72716.0997666077,0.0236269720666005,9.37469821731352E-026,True,,
0.001,0.0575697699663224,9.76740566687375E+017,0.00603433866938417,63154.7597021369,0.0272039869374983,1.4309707795753E-025,True,,
0.001,0.0662855682795055,8.48310291372327E+017,0.0069479097819066,54850.6271078395,0.0313225454031723,2.18425950844648E-025,True,,1.20998261430897E+017
0.001,0.0763208983587617,7.3676713652719E+017,0.00799979135782248,47638.3935005529,0.0360646346724064,3.33409295866606E-025,True,,
0.001,0.0878755312427396,6.3989063788008E+017,0.00921092296496828,41374.4865824727,0.0415246544401978,5.08921939634031E-025,True,,
0.001,0.101179482386258,5.55752296955858E+017,0.0106054143254148,35934.2121800002,0.0478112960810642,7.76827592547054E-025,True,,
0.001,0.116497590525769,4.82677190894602E+017,0.0122110252622334,31209.2719851246,0.055049706343572,1.1857635946613E-024,True,,
0.001,0.134134789763986,4.19210630142314E+017,0.0140597183079946,27105.6076855802,0.0633839786182607,1.80997085571331E-024,True,,
