SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt
1987B,2160,,,1.1E+026,26.0413926851582,3.33445375115093,3456,3.53857373380686
19881,1790,,,3.2E+027,27.5051499783199,3.25285303097989,2864,3.45697301363582
1989C,1450,,,1.4E+026,26.1461280356782,3.16136800223497,2320,3.3654879848909
1989R,1650,,,1.1E+027,27.0413926851582,3.21748394421391,2640,3.42160392686983
,,,,,,,0,0
78g,1270,,,7E+025,25.8450980400143,3.10380372095596,2032,3.30792370361188
,5190,,,3E+025,25.4771212547197,3.71516735784846,8304,3.91928734050438
,5330,,,4E+025,25.602059991328,3.72672720902657,8528,3.9308471916825
,,,,,,,0,0
83k,290,,,1.9E+026,26.2787536009528,2.46239799789896,464,2.66651798055488
,660,,,2.1E+026,26.3222192947339,2.81954393554187,1056,3.02366391819779
,3500,,,1.4E+026,26.1461280356782,3.54406804435028,5600,3.7481880270062
,,,,,,,0,0
84E,370,,,1.1E+026,26.0413926851582,2.56820172406699,592,2.77232170672292
,740,,,1.4E+026,26.1461280356782,2.86923171973098,1184,3.0733517023869
,1300,,,1.4E+026,26.1461280356782,3.11394335230684,2080,3.31806333496276
,3220,,,7.1E+025,25.8512583487191,3.50785587169583,5152,3.71197585435176
,,,,,,,0,0
87F,1010,,,7.1E+026,26.8512583487191,3.00432137378264,1616,3.20844135643857
,1060,,,8.5E+026,26.9294189257143,3.02530586526477,1696,3.22942584792069
,1360,,,8.5E+026,26.9294189257143,3.13353890837022,2176,3.33765889102614
,2130,,,4.2E+026,26.6232492903979,3.32837960343874,3408,3.53249958609466
,,,,,,,0,0
91ae,620,,,2.04E+027,27.3096301674259,2.79239168949825,992,2.99651167215418
,1010,,,4.22E+027,27.6253124509617,3.00432137378264,1616,3.20844135643857
,,,,,,,0,0
91ar,500,,,1.8E+027,27.2552725051033,2.69897000433602,800,2.90308998699194
,640,,,1.8E+027,27.2552725051033,2.80617997398389,1024,3.01029995663981
,1440,,,1.7E+027,27.2304489213783,3.15836249209525,2304,3.36248247475117
,,,,,,,0,0
06jd,(79Mpc),2.4376872E+026,0.00017,1.26961208370293E+027,27.1036710472223,2.61261434286828,655.744,
Z=,0.01855,2.4376872E+026,0.000232,1.73264707893576E+027,27.2387101107349,2.70901541697212,818.72,
8Ghz,573.63,2.4376872E+026,0.00048,3.58478705986709E+027,27.5544633632196,2.75863185621232,917.808,2.96275183886824
,794.86,2.4376872E+026,0.001035,7.7296970978384E+027,27.888162475637,2.90029064239023,1271.776,3.10441062504615
,844.68,2.4376872E+026,0.001192,8.90222119866993E+027,27.9494983812483,2.92669221125087,1351.488,3.1308121939068
,902.5,2.4376872E+026,0.001178,8.79766490942381E+027,27.9443674162951,2.9554472105777,1444,3.15956719323362
,1030.15,2.4376872E+026,0.001608,1.20090366505547E+028,28.0795081702565,3.01290046686948,1648.24,3.21702044952541
,1333.28,2.4376872E+026,0.002216,1.65497669263864E+028,28.2187918819004,3.12492136448158,2133.248,3.3290413471375
,1731.18,2.4376872E+026,0.001659,1.23899202756656E+028,28.0930685118684,3.23834222613222,2769.888,3.44246220878815
,1998.42,2.4376872E+026,0.001385,1.03436043289915E+028,28.0146718992445,3.30068676743027,3197.472,3.50480675008619
,,,,0,,,0,0
95N,(24Mpc),7.405632E+025,0.00469,3.2326841167973E+027,27.5095632694015,2.83806791736008,1102.016,
Z=0.00617,845.54,7.405632E+025,0.00546,3.76342330015208E+027,27.5755830693911,2.92713415760894,1352.864,3.13125414026487
8Ghz,937.44,7.405632E+025,0.00503,3.46703648347344E+027,27.5399584117423,2.97194348066344,1499.904,3.17606346331937
,1087.81,7.405632E+025,0.00477,3.28782585013286E+027,27.5169088057265,3.03655304687192,1740.496,3.24067302952785
,1323.35,7.405632E+025,0.00399,2.75019395011114E+027,27.4393633223731,3.12167472171281,2117.36,3.32579470436874
,1440.05,7.405632E+025,0.00475,3.27404041679897E+027,27.5150840363112,3.15837757150297,2304.08,3.36249755415889
,1812.1,7.405632E+025,0.00361,2.48827071676722E+027,27.395897628592,3.2581821603661,2899.36,3.46230214302202
,2758.51,7.405632E+025,0.00174,1.19933270004847E+027,27.078939674969,3.44067456267728,4413.616,3.64479454533321
,3250.16,7.405632E+025,0.00117,8.06447850032589E+026,26.9065762884325,3.51190474110401,5200.256,3.71602472375994
,3498.25,7.405632E+025,0.00117,8.06447850032589E+026,26.9065762884325,3.54385084280441,5597.2,3.74797082546034
,3726.95,7.405632E+025,0.00096,6.6170080002674E+026,26.8206616597259,3.57135356638685,5963.12,3.77547354904278
,4001.31,7.405632E+025,0.00074,5.10061033353945E+026,26.7076221464173,3.60220219948547,6402.096,3.8063221821414
,4225.09,7.405632E+025,0.00054,3.72206700015041E+026,26.5707841865093,3.62583596443058,6760.144,3.8299559470865
,4234.6,7.405632E+025,0.00067,4.61812016685329E+026,26.6644652293872,3.62681239317979,6775.36,3.83093237583571
,4470.01,7.405632E+025,0.00025,1.7231791667363E+026,26.2363304353584,3.65030849470687,7152.016,3.8544284773628
,,,,0,0,0,0,0
09ip,(26Mpc),8.022768E+025,0.0465,3.76155652272145E+028,28.5753675920947,0.477121254719662,4.8,
Z=0.005944,33,8.022768E+025,0.0363,2.93644089838255E+028,28.4678212642409,1.51851393987789,52.8,1.72263392253381
8Ghz,51,8.022768E+025,0.0726,5.87288179676511E+028,28.7688512599049,1.70757017609794,81.6,1.91169015875386
,71,8.022768E+025,0.0783,6.33397582213096E+028,28.8016764012627,1.85125834871908,113.6,2.055378331375
,168,8.022768E+025,0.0096,7.76579411142493E+027,27.8901858722444,2.22530928172586,268.8,2.42942926438179
,,,,0,0,0,0,0
98S,(17Mpc),5.245656E+025,0.0001691,5.84802733058933E+025,25.7670093936174,2.35964579267454,366.24,
Z=0.00302,603.2,5.245656E+025,0.001185,4.09811495372464E+026,26.6125841363658,2.78046133286172,965.12,2.98458131551764
8Ghz,724,5.245656E+025,0.001015,3.51019972829578E+026,26.5453318282689,2.85973856619715,1158.4,3.06385854885307
,972.3,5.245656E+025,0.0007689,2.65910598136614E+026,26.4247356469236,2.98780028575187,1555.68,3.1919202684078
,1057,5.245656E+025,0.001185,4.09811495372464E+026,26.6125841363658,3.02407498730743,1691.2,3.22819496996335
,,,,0,0,0,0,0
78K,(4.13Mpc),1.27438584E+025,0.069,1.40837120576959E+027,27.1487171373132,3.64414305050992,7051.2,
"z,0.001568,,,,,,,
,,,,,,,,
8Ghz",5107,1.27438584E+025,0.0702,1.43286461804384E+027,27.1562051587058,3.70816585785554,8171.2,3.91228584051146
,,,,0,0,0,0,0
05kd,(8.5hz)(63.3Mpc),1.95323544E+026,0.000254,1.21789284745599E+027,27.0856090799178,2.78493095531687,1036.048,
Z,=,0.01504,,,,0,0,0
86j,(8.6Mpc),2.6536848E+025,0.0242,2.1418063988597E+027,27.3307802117307,2.68322720604143,819.74,
0.00176,614.9,2.6536848E+025,0.05864,5.18989781938565E+027,27.7151588073834,2.78880449304465,,
,699.3,2.6536848E+025,0.06385,5.65100572591702E+027,27.7521257473497,2.84466352824024,1188.81,3.07511244961851
,1239,2.6536848E+025,0.1282,1.13462636501576E+028,28.0548528709331,3.09307130637606,2106.3,3.32352022775434
,1369,2.6536848E+025,0.121,1.07090319942985E+028,28.0297502160667,3.13640344813399,2327.3,3.36685236951226
,,,,0,0,0,0,0
88Z,(70Mpc),2.159976E+026,0.00067,3.92860916971894E+027,27.5942388259925,2.85491302230786,1145.6,
Z,0.02284,2.159976E+026,0.00077,4.51496874728893E+027,27.6546547484642,2.88649072517248,1232,
8Ghz,875,2.159976E+026,0.00121,7.0949508885969E+027,27.8509493936081,2.94200805302231,1400,3.14612803567824
,919,2.159976E+026,0.00126,7.38813067738189E+027,27.8685345684092,2.96331551138611,1470.4,3.16743549404204
,976,2.159976E+026,0.00138,8.09176217046588E+027,27.9080431096929,2.98944981766669,1561.6,3.19356980032262
