Astar,Time,Luminosity,logl,logt,flux,flux(mJy)
100,100,2.41E+27,27.38219721,2,0.058078655,58.07865466
100,103.796,2.64E+27,27.42226145,2.016180617,0.063621431,63.62143083
100,107.737,2.90E+27,27.46209838,2.032364878,0.069887178,69.88717781
100,111.827,3.17E+27,27.50160692,2.048546674,0.076393915,76.39391506
100,116.073,3.48E+27,27.54107977,2.064731209,0.083864613,83.86461337
100,120.479,3.80E+27,27.58001211,2.080911354,0.091576302,91.57630196
100,125.053,4.16E+27,27.61867554,2.097094115,0.100251952,100.2519516
100,129.801,4.54E+27,27.65676878,2.113278038,0.109409582,109.4095818
100,134.728,4.94E+27,27.69407846,2.129457863,0.119049193,119.0491925
100,139.843,5.38E+27,27.73054004,2.145640732,0.129652764,129.6527644
100,145.152,5.83E+27,27.76596642,2.161823024,0.140497326,140.4973264
100,150.663,6.31E+27,27.80002936,2.178006611,0.152064859,152.0648593
100,156.383,6.80E+27,27.83244504,2.19418954,0.163873382,163.8733825
100,162.32,7.29E+27,27.86284666,2.210372034,0.175681906,175.6819056
100,168.482,7.78E+27,27.8909796,2.226553509,0.187490429,187.4904287
100,174.878,8.25E+27,27.91634865,2.242735178,0.198816971,198.8169714
100,181.518,8.68E+27,27.9386698,2.258919698,0.209179553,209.1795529
100,188.409,9.07E+27,27.95765517,2.275101645,0.218578173,218.5781734
100,195.562,9.40E+27,27.97308165,2.29128447,0.226530852,226.5308522
100,202.986,9.66E+27,27.98479726,2.307466086,0.232796599,232.7965992
100,210.692,9.84E+27,27.99286267,2.323648046,0.237134424,237.134424
100,218.691,9.94E+27,27.99743007,2.33983091,0.239544327,239.5443267
100,226.993,9.97E+27,27.99869516,2.356012465,0.240267298,240.2672975
100,235.611,9.93E+27,27.99694925,2.372195563,0.239303336,239.3033364
100,244.556,9.83E+27,27.99264187,2.388378322,0.236893434,236.8934338
100,253.84,9.68E+27,27.98600993,2.404560059,0.23327858,233.2785797
100,263.477,9.50E+27,27.97754071,2.42074271,0.228940755,228.9407549
100,273.48,9.28E+27,27.96745437,2.436925571,0.223638969,223.638969
100,283.862,9.04E+27,27.95612039,2.453107258,0.217855203,217.8552026
100,294.639,8.78E+27,27.94369233,2.469290232,0.211589456,211.5894556
100,305.825,8.52E+27,27.93049057,2.485472984,0.205323709,205.3237086
100,317.435,8.25E+27,27.91661185,2.50165481,0.198816971,198.8169714
100,329.486,7.99E+27,27.90227492,2.517836966,0.192551224,192.5512244
100,341.995,7.72E+27,27.8874485,2.534019757,0.186044487,186.0444871
100,354.979,7.45E+27,27.87238939,2.550202662,0.17953775,179.5377499
100,368.455,7.20E+27,27.8570308,2.566384454,0.173512993,173.5129932
100,382.443,6.94E+27,27.84148461,2.582566716,0.167247246,167.2472462
100,396.963,6.70E+27,27.82581544,2.598750029,0.16146348,161.4634798
100,412.033,6.46E+27,27.81003079,2.614932,0.155679713,155.6797133
100,427.676,6.23E+27,27.79413936,2.63111488,0.150136937,150.1369372
100,443.912,6.00E+27,27.77815125,2.647296885,0.144594161,144.594161
100,460.765,5.78E+27,27.76215319,2.663479482,0.139292375,139.2923751
100,478.258,5.57E+27,27.74616696,2.679662243,0.134231579,134.2315795
100,496.414,5.37E+27,27.73005515,2.695844021,0.129411774,129.4117741
100,515.26,5.18E+27,27.71399427,2.712026429,0.124832959,124.832959
100,534.822,4.99E+27,27.69783937,2.728209264,0.120254144,120.2541439
100,555.126,4.81E+27,27.68169339,2.744391569,0.115916319,115.9163191
100,576.201,4.63E+27,27.66558099,2.760574008,0.111578494,111.5784942
100,598.076,4.46E+27,27.64943222,2.776756375,0.10748166,107.4816597
100,620.782,4.30E+27,27.63326641,2.792939116,0.103625815,103.6258154
