Target,Obs. Date (MJD),date of g-max,days,redshift,D(luminosity),Flux/upper limits,Radioluminosity,logl,restdays,logrt,freqtime,logt
PS1-11ad,57304.551,55563.613,1740.938,0.422,7.211851296E+027,2.72E-05,1.7779870873354E+029,29.2499286025738,1224.28832630099,3.08788370847583,1958.86132208158,3.29200369113176
PS1-12cht,57360.197,56271.364,1088.833,0.148,2.184352872E+027,1.05E-05,6.29652695653834E+027,27.7991010669908,948.460801393727,2.97701938679012,1517.53728222996,3.18113936944604
PS12zc,57314.55871,56040.277,1274.28171,0.167,2.494463712E+027,1.75E-05,1.36854348535403E+028,28.136258601636,1091.92948586118,3.0381945935975,1747.08717737789,3.24231457625342
PS11jf,57312.9,55596.62,1716.28,0.282,4.50046428E+027,1.18E-05,3.00374331651191E+028,28.4776628174848,1338.751950078,3.12670011645055,2142.0031201248,3.33082009910648
PS11kj,57313.839,55674.509,1639.33,0.4,6.768130512E+027,1.08E-05,6.21766582926464E+028,28.7936273770178,1170.95,3.06853835093257,1873.52,3.27265833358849
PS12kn,57306.90116,55970.65,1336.25116,0.473,8.264376744E+027,1.64E-05,1.407765228228E+029,29.148530233935,907.163041412084,2.95768534838553,1451.46086625933,3.16180533104145
PS13byi,57333.03683,56473.72(06-30-2013),859.316829999996,0.682,1.2886108248E+028,1.03E-05,2.14954700898283E+029,29.3323469472519,510.88991082045,2.70832732621276,817.42385731272,2.91244730886868
PS12car,57378.0629,56274.97(12-13-2012),1103.0929,0.68,1.2839823048E+028,2.11E-05,4.37186461376783E+029,29.6406667044204,656.602916666664,2.81730280755784,1050.56466666666,3.02142279021377
PS13cvy,57331.1897,56537.594,793.595700000005,0.78,1.5200985384E+028,8.82E-06,2.56140492372623E+029,29.4084782400221,445.840280898879,2.64917930367275,713.344449438206,2.85329928632868
PS13epy,57341.153,56655.34,685.813000000002,0.294,4.722016104E+027,1.63E-05,4.5678170807694E+028,28.6597087041688,529.994590417312,2.72427143683871,847.991344667699,2.92839141949464
PS12bub,57342.139,55941.278,1400.861,0.325,5.303666784E+027,2.08E-05,7.35329464227278E+028,28.8664819682497,1057.25358490566,3.02417916641492,1691.60573584906,3.22829914907085
PS10cdq,57314.6,55545.5,1769.1,0.374,6.25158768E+027,2.31E-05,1.13464186884165E+029,29.0548588052038,1287.55458515284,3.10976564977394,2060.08733624454,3.31388563242986
PS12apa,57305.96,56072.36(05-25-2012),1233.6,0.528,9.434775168E+027,1.16E-05,1.29773874764258E+029,29.113187271912,807.329842931936,2.90705100646721,1291.7277486911,3.11117098912313
PS12bli,57333,56206.237,1126.763,0.189,2.861351064E+027,3.3E-05,3.39564595679605E+028,28.530922402707,947.656013456685,2.97665072281498,1516.2496215307,3.1807707054709
PS12dm,57307.5139,55947.607,1359.90689999999,0.201,3.065005944E+027,1.92E-05,2.26688789255311E+028,28.3554300429102,1132.31215653622,3.05396616993771,1811.69945045795,3.25808615259363
PS12gy,57306.94196,55981.589,1325.35296,0.285,4.555697952E+027,2.25E-05,5.86892465940696E+028,28.7685585344218,1031.40308171206,3.01342842469387,1650.2449307393,3.2175484073498
PS12ces,57344.3195,56243.57,1100.7495,0.193,2.928927456E+027,2.76E-05,2.97572288125475E+028,28.473592484419,922.673512154231,2.9650480531891,1476.27761944677,3.16916803584502
PS13adh,57335.78999,56387.518,948.271990000001,0.137,2.007851976E+027,8.5E-06,4.30673829891506E+027,27.6341484824452,834.012304309588,2.92117245789714,1334.41968689534,3.12529244055306
PS13epq,57373.157,56663.307,709.849999999999,0.261,4.118457096E+027,1.33E-05,2.83522092297467E+028,28.4525869051657,562.926249008722,2.75045150009715,900.681998413955,2.95457148275307
PS13ecp,57368.4193,56636.614,731.8053,0.184,2.777112E+027,2.32E-05,2.24874881259087E+028,28.3519409470327,618.078800675676,2.79104384809358,988.926081081082,2.99516383074951
PS10acl,57341.11,55467.427,1873.683,0.259,4.08235464E+027,2.15E-05,4.5032503511312E+028,28.6535260915538,1488.23113582208,3.17267038632858,2381.16981731533,3.3767903689845
PS11aqj,57371.916,55821.273,1550.643,0.093,1.323448152E+027,3.09E-05,6.80202956352374E+027,27.8326385151661,1418.70356816102,3.15189166102429,2269.92570905763,3.35601164368022
