time (d)	ertime (d)	lum (erg/s)	erlum
8558.026367	8.0010242	4.17E+39	5.98E+37
4405.625	0.3671875	1.01E+40	3.77E+38
4828.142578	0.5683594	1.14E+40	4.51E+38
5374.350098	0.604537	1.05E+40	4.59E+38
5885.195313	0.0039062	6.93E+39	1.39E+39
750	0	4.83E+40	2.28E+40
770	0	6.53E+40	6.38E+39
1140	0	4.93E+40	4.30E+39
1296	0	1.01E+41	1.24E+40
3310	0	1.16E+40	1.81E+39
3554	0	7.85E+39	1.81E+39
456	0.4304572	1.57E+40	3.15E+39
1213.14209	262.0863037	7.34E+40	5.24E+39
438	0	1.40E+41	2.41E+40
1013.676392	0.271493	8.29E+40	2.41E+40
400	0	2.50E+41	8.10E+40
1200.772705	411.7231445	2.08E+41	2.14E+40
1610.408081	2.0877488	2.03E+41	3.28E+40
4.5	2	1.72E+41	2.96E+40
55.984375	3.9570312	4.78E+41	4.74E+40
236.3710938	0.3671875	1.24E+41	2.96E+40
745.6679688	0.2695312	1.91E+41	3.55E+40
852.6621094	0.2363281	1.01E+41	5.04E+40
1360.5625	0.0078125	4.98E+41	1.30E+41
1.5	0	3.15E+40	4.85E+39
2350	4	1.17E+41	4.27E+40
2924	0	5.33E+40	4.27E+40
3079	6	3.93E+40	2.13E+40
5678	0	1.07E+40	2.56E+39
678	0	1.36E+40	0
735	0	1.29E+40	0
882	0	8.92E+39	0
1048	0	7.75E+39	0
50	0	1.77E+42	0
50.15173	0	1.46255E+42	0
25.40017	0	4.67498E+40	0
32.25842	0	4.28943E+40	0
42.50303	0	5.09519E+40	0
44.09507	0	2.4868E+40	0
52.99578	0	5.55329E+40	0
58.09876	0	4.28943E+40	0
61.39347	0	5.09519E+40	0
195.51706	0	1.35157E+41	0
372.10355	0	1.39091E+41	0
439.06607	0	1.31335E+41	0
1004.29248	0	7.83574E+40	0
1121.42676	0	7.83574E+40	0
54.98086	0	4.51035E+41	0
234.98268	0	1.17093E+41	0
734.70532	0	1.80074E+41	0
866.92047	0	9.57878E+40	0
968.03259	0	9.85757E+40	0
431.06699	0	1.35157E+41	0
748.33887	0	1.31335E+41	0
866.92047	0	1.35157E+41	0
950.39655	0	1.35157E+41	0
985.99585	0	1.20504E+41	0
386.04156	0	3.28958E+41	0
423.21362	0	2.93285E+41	0
463.96503	0	3.28958E+41	0
490.27594	0	2.7693E+41	0
695.27698	0	3.68961E+41	0
899.39301	0	2.39916E+41	0
1061.24475	0	2.07855E+41	0
1100.99609	0	2.39916E+41	0
1590.33337	0	2.54086E+41	0
682.61011	0	8.60161E+39	0
748.33887	0	8.12194E+39	0
883.00745	0	5.75599E+39	0
1100.99609	0	5.13192E+39	0
472.57458	0	5.55329E+40	0
790.77637	0	6.40988E+40	0
805.45038	0	6.05243E+40	0
1142.23645	0	4.67498E+40	0
1323.23499	0	9.85757E+40	0
2917.40723	0	1.48368E+40	0
3198.32544	0	1.2137E+40	0
3318.12622	0	1.0515E+40	0
3637.62964	0	7.45195E+39	0
5760.31787	0	2.57763E+39	0
