F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,3.9264937624530374e+17,0.006621562468602551,32032.93473458965,0.06746222265691589,2.195874325280959e-24,False
0.001,0.05361336110051615,3.6618612243797894e+17,0.007100084393576275,29874.022143970054,0.07756516242486866,2.9028166274489772e-24,False
0.001,0.05748784976988677,3.4150640336784774e+17,0.007613187768738882,27860.6130363299,0.08918108809715433,3.8373527462761845e-24,False
0.001,0.061642336972103286,3.184900147629057e+17,0.008163371699428611,25982.900963899534,0.10253657989688492,5.072754496481609e-24,False
0.001,0.06609705742330142,2.9702485371677203e+17,0.008753315894384009,24231.740400667946,0.11789215002060227,6.705882904965109e-24,False
0.001,0.07087370814634027,2.7700637268376022e+17,0.009385893717449953,22598.60219846825,0.13554732418866697,8.86478254886831e-24,False
0.001,0.07599555414764668,2.5833707027285536e+17,0.010064186182494205,21075.532045173986,0.15584648419336447,1.1718720823552572e-23,False
0.001,0.0814875417310322,2.4092601636047046e+17,0.01079149695969774,19655.11172267381,0.17918558540946347,1.5491459264039857e-23,False
0.001,0.08737642000038418,2.246884092090162e+17,0.011571368466307946,18330.42297592921,0.206019880298969,2.047879745091954e-23,False
0.001,0.09369087114301919,2.0954516243419494e+17,0.012407599120225874,17095.01381713665,0.23687279856474383,2.707176502147178e-23,False
0.001,0.10046165012825234,1.954225198093182e+17,0.013304261840462328,15942.86710087653,0.27234615716925287,3.578728014348685e-23,False
0.001,0.10772173450159418,1.8225169603052246e+17,0.014265723884570492,14868.371217191825,0.3131318993750398,4.7308678213356547e-23,False
0.001,0.11550648500415797,1.6996854169320848e+17,0.01529666811967472,13866.292759855229,0.36002559178863197,6.253928840977439e-23,False
0.001,0.12385381779958553,1.585132308479463e+17,0.016402115830697485,12931.751036703545,0.4139419426811892,8.26732587446654e-23,False
0.001,0.1328043891473343,1.478299696140672e+17,0.017587451176873537,12060.194297890275,0.4759326442862259,1.092891826123521e-22,False
0.001,0.14240179342179007,1.3786672443172376e+17,0.01885844741566838,11247.377566274394,0.5472068871062306,1.4447386757748636e-22,False
0.001,0.15269277544167076,1.2857496862885216e+17,0.020221295021826492,10489.341961966744,0.6291549463802075,1.9098595042871126e-22,False
0.001,0.1637274581438864,1.1990944606867253e+17,0.021682631838505072,9782.395420332787,0.723375300789731,2.524721866506067e-22,False
0.001,0.17555958671075653,1.1182795072655696e+17,0.023249575407346415,9123.09470953744,0.8317058123809343,3.337533723766325e-22,False
0.001,0.18824679033962338,1.0429112112267882e+17,0.02492975763495487,8508.228660047213,0.9562595758979362,4.412023163839759e-22,False
0.001,0.2018508629298277,9.726224860921352e+16,0.026731361964623706,7934.802524407763,1.099466136804724,5.832434968265055e-22,False
0.001,0.2164380640541529,9.070709857834034e+16,0.028663163234359478,7400.023391120102,1.2641188819941556,7.710135780301733e-22,False
0.001,0.23207944168063896,8.459374372022634e+16,0.030734570415335075,6901.286581572721,1.4534295275871458,1.0192345748241103e-21,False
0.001,0.24885117821660555,7.889240851886445e+16,0.03295567243893201,6436.162963774976,1.671090766660947,1.3473681243992688e-21,False
0.001,0.26683496156031544,7.357532422837125e+16,0.035337287335575784,6002.387121102367,1.9213482989129884,1.7811413657748875e-21,False
0.001,0.2861183829675108,6.861659362339709e+16,0.03789101492469842,5597.846318428803,2.2090836472707482,2.354564062652806e-21,False
0.001,0.30679536367065857,6.399206486490592e+16,0.04062929331245808,5220.570211904612,2.5399093768682866,3.112595121120089e-21,False
0.001,0.328966612328784,5.967921386697935e+16,0.04356545947239203,4868.72125226108,2.9202785737306183,4.1146675691232535e-21,False
0.001,0.35274011553593215,5.565703459170441e+16,0.046713814204065125,4540.585734900144,3.3576107186569004,5.439348371882717e-21,False
0.001,0.3782316637773144,5.190593673781868e+16,0.05008969178609928,4234.56545317808,3.860436411598189,7.19049843363346e-21,False
0.001,0.4055654153948436,4.840765032479837e+16,0.053709534662834006,3949.169914229935,4.438563769523154,9.505415757400611e-21,False
0.001,0.43487450130889166,4.5145136707659544e+16,0.057590973528384166,3683.0090794213556,5.103269743528188,1.256560022298525e-20,False
