F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut
0.001,0.049999999999999996,9.280471110312407e+17,0.005469479657644704,80233.06529973491,0.04098723465852132,2.388169958122747e-25,False
0.001,0.05361336110051615,8.654998418130383e+17,0.00586474375834466,74825.62522923271,0.04712535977064341,3.1570201371728515e-25,False
0.001,0.05748784976988677,8.07168049201737e+17,0.00628857249756261,69782.62852141193,0.05418271205693229,4.173394825864659e-25,False
0.001,0.061642336972103286,7.527676241827395e+17,0.00674303016237198,65079.51291337721,0.06229695221707914,5.516982349105709e-25,False
0.001,0.06609705742330142,7.020336057381527e+17,0.007230330220138421,60693.37155654532,0.07162635660354522,7.293125982643609e-25,False
0.001,0.07087370814634027,6.547188903358957e+17,0.0077528460993651176,56602.84144726095,0.082352904559779,9.64108333740335e-25,False
0.001,0.07599555414764668,6.105930283949242e+17,0.008313122749639804,52787.9993768158,0.09468582810892798,1.2744944779503677e-24,False
0.001,0.0814875417310322,5.694411018646672e+17,0.008913889036987092,49230.26489408775,0.1088656932332675,1.6848066938953206e-24,False
0.001,0.08737642000038418,5.310626774518573e+17,0.009558071034998424,45912.30980817373,0.12516909235377324,2.2272152958712325e-24,False
0.001,0.09369087114301919,4.952708303963659e+17,0.010248806276475094,42817.97379024209,0.14391403954133603,2.9442475461051244e-24,False
0.001,0.10046165012825234,4.618912340412824e+17,0.010989459034997913,39932.18566353777,0.16546617369859742,3.892121982466494e-24,False
0.001,0.10772173450159418,4.307613107629206e+17,0.011783636710853461,37240.88999817745,0.19024589071165932,5.145156203471639e-24,False
0.001,0.11550648500415797,4.0172944012530246e+17,0.012635207401125703,34730.97865321012,0.2187365436914034,6.801593700654413e-24,False
0.001,0.12385381779958553,3.7465422040237914e+17,0.013548318739529334,32390.226932513415,0.25149387125831346,8.991306588042402e-24,False
0.001,0.1328043891473343,3.4940377987118234e+17,0.014527418097745522,30207.23404356902,0.28915683777890355,1.1885978157206945e-23,False
0.001,0.14240179342179007,3.2585513452151245e+17,0.015577274246652086,28171.36756911721,0.33246009700338264,1.5712563615780284e-23,False
0.001,0.15269277544167076,3.0389358905384435e+17,0.016703000582950583,26272.711681236106,0.382248322220249,2.0771084391590132e-23,False
0.001,0.1637274581438864,2.8341217824796906e+17,0.01791008003431723,24502.01884561866,0.439492682451779,2.7458151155503463e-23,False
0.001,0.17555958671075653,2.6431114598151968e+17,0.01920439176437989,22850.664780819694,0.5053097860750485,3.629805987326006e-23,False
